Name	Type	DatabaseType	GUID
ActionDefinitionInvocationBondOfTheTalisman	ActionDefinition	ActionDefinition	801a06ae-4074-51d4-8d66-1d75c3dd1eb5
ActionDisableGrapple	ActionDefinition	ActionDefinition	bee24977-3a49-577e-9737-ed40cdce58ee
ActionFarStep	ActionDefinition	ActionDefinition	b50f2135-b4b7-523a-b72a-b21351b2c0df
ActionFlightResume	ActionDefinition	ActionDefinition	2740e501-3e31-5420-b895-859779c281b1
ActionFlightSuspend	ActionDefinition	ActionDefinition	96a9408b-be09-5105-a287-1ca3f08ea5b0
ActionGrapple	ActionDefinition	ActionDefinition	7c1ecbe9-d985-5ad4-9e1c-74bbbe0a7fcf
ActionGrappleBonus	ActionDefinition	ActionDefinition	b278218f-d923-537b-ab83-89f96390a545
ActionGrappleNoCost	ActionDefinition	ActionDefinition	ba583ecd-3954-591f-8af8-48fdc3633642
ActionHailOfArrows	ActionDefinition	ActionDefinition	de4bc76a-66c1-5f42-94a3-9de47c1aeea6
ActionInnovationArtilleristFlamethrower	ActionDefinition	ActionDefinition	a4981895-1d5e-5300-9a39-65e88f83770b
ActionInnovationArtilleristFlamethrowerTiny	ActionDefinition	ActionDefinition	568193d4-db91-545e-a7d7-1227889cb193
ActionInnovationArtilleristForceBallista	ActionDefinition	ActionDefinition	4298b200-48df-53ae-9b01-c25b1bf4f823
ActionInnovationArtilleristForceBallistaTiny	ActionDefinition	ActionDefinition	8e5254e8-959f-516e-bbed-aed7495e5eb9
ActionInnovationArtilleristProtector	ActionDefinition	ActionDefinition	adf13bcd-5339-5bb8-9fba-9fd51dce9332
ActionInnovationArtilleristProtectorTiny	ActionDefinition	ActionDefinition	d7f62373-a940-5cb9-9280-71db79b7a1b0
ActionProxyDawn	ActionDefinition	ActionDefinition	cf155e8a-524d-532b-8918-7cfae04f9fb8
ActionProxyFaithfulHound	ActionDefinition	ActionDefinition	1421b8b1-84d3-5c72-a844-e15a6a64adc9
ActionProxyPactWeapon	ActionDefinition	ActionDefinition	1ee390d4-aa75-5dc2-9f42-3f2b13e68c02
ActionProxyPactWeaponFree	ActionDefinition	ActionDefinition	ccc9fda1-b635-5829-bbd2-24322b64fbf8
ActionProxyPetalStorm	ActionDefinition	ActionDefinition	655a4a71-2ded-5fdb-8c16-524bb52e987e
ActionUseHeroicInspiration	ActionDefinition	ActionDefinition	86f89d9e-b91d-55e5-b6b0-140080fb8efe
AmazingDisplayToggle	ActionDefinition	ActionDefinition	c0f2f097-a6f7-5a01-9f7e-9c5a1634f456
ArcaneArcherToggle	ActionDefinition	ActionDefinition	e91b0068-bbf8-5e37-9b65-97178625b889
AudaciousWhirlToggle	ActionDefinition	ActionDefinition	2b7eef80-f821-55ae-92bc-165e8b57bc04
BalefulScionToggle	ActionDefinition	ActionDefinition	25f1bd4c-210f-54e5-84fc-58460b2f2f4c
BrutalStrikeToggle	ActionDefinition	ActionDefinition	47a2f7ed-285e-5494-957a-61bd625366e1
CastInvocationBonus	ActionDefinition	ActionDefinition	f2d189c0-5e0a-5a69-9ace-b447bbc1185a
CastInvocationNoCost	ActionDefinition	ActionDefinition	0a4870d5-055f-5c2a-a6bd-e9529bb4a963
CastPlaneMagicBonus	ActionDefinition	ActionDefinition	c02d5cad-8d69-5b88-8b98-790acbbca5b9
CastPlaneMagicMain	ActionDefinition	ActionDefinition	77bc881a-c83d-5817-a1b8-b30a01442dfd
CastQuickened	ActionDefinition	ActionDefinition	f49577d4-6ad5-543c-874a-e7b9177150f0
CleavingAttackToggle	ActionDefinition	ActionDefinition	ebe1228c-6d1c-51c5-9e52-7fd26d3483e4
CombatRageStart	ActionDefinition	ActionDefinition	9206ca7c-6ae0-59f1-8f28-ffd769a921d9
CombatWildShape	ActionDefinition	ActionDefinition	24ead3d3-6347-5c8b-99b0-c28850ea83ea
CompellingStrikeToggle	ActionDefinition	ActionDefinition	0fc75ec8-58df-53ea-98a8-79e9287b8fd5
CoordinatedAssaultToggle	ActionDefinition	ActionDefinition	a615334b-e575-51b0-a08b-29ff5b90a887
CrystalDefenseOff	ActionDefinition	ActionDefinition	3121900e-10f3-5e28-8efb-08d7bafbaed0
CrystalDefenseOn	ActionDefinition	ActionDefinition	f16994d5-785b-5fe3-96a4-253aa4ae6a1e
CunningStrikeToggle	ActionDefinition	ActionDefinition	5faac58c-a675-557a-8471-5a5275d4a1a2
DeadEyeToggle	ActionDefinition	ActionDefinition	710267a7-e34d-57e1-8a42-834cfb0cb29a
DestructiveWrathToggle	ActionDefinition	ActionDefinition	cb8f0171-591e-54b7-8a3b-15014dd6870c
DoNothingFree	ActionDefinition	ActionDefinition	0a2a09be-6100-5635-b9c2-f5e18ffaf0fd
DoNothingReaction	ActionDefinition	ActionDefinition	88ca8b0c-fdea-5652-8add-814f1bd04770
DragonHideToggle	ActionDefinition	ActionDefinition	28a48100-249f-592f-a993-5eb2d78b5c91
DyingLightToggle	ActionDefinition	ActionDefinition	1cc5742f-5ec1-5c77-bc99-260bdda18795
EldritchVersatilityBonus	ActionDefinition	ActionDefinition	0b736a7b-5e34-55b5-b465-0b3726a84c7e
EldritchVersatilityMain	ActionDefinition	ActionDefinition	2b1fea1c-dc58-5c3d-8c3b-fd16db5c826f
EldritchVersatilityNoCost	ActionDefinition	ActionDefinition	e6dce066-9c54-5cb6-ab9d-9d5e9c2cf968
FeatCrusherToggle	ActionDefinition	ActionDefinition	be86cb95-c859-56c6-85c0-22d020b4b861
ForcePoweredStrikeToggle	ActionDefinition	ActionDefinition	7539c495-7bc8-51d6-82e3-ca97211ecd5a
