ActivatorButton~Catacombs~MOD	Title='Button Activator <color=yellow>Catacombs</color>'.
ActivatorButton~ElvenPalace~MOD	Title='Button Activator <color=yellow>Elven Palace</color>'.
ActivatorButton~Necropolis~MOD	Title='Button Activator <color=yellow>Necropolis</color>'.
ActivatorButton~Sewers~MOD	Title='Button Activator <color=yellow>Sewers</color>'.
ActivatorButton~Stronghold~MOD	Title='Button Activator <color=yellow>Stronghold</color>'.
ActivatorButton~TownInterior~MOD	Title='Button Activator <color=yellow>Town Interiors</color>'.
ActivatorMechanism~LavaCaves~MOD	Title='Mechanism <color=yellow>Lava Caves</color>'.
ActivatorPlate~Catacombs~MOD	Title='Plate Activator <color=yellow>Catacombs</color>'.
ActivatorPlate~ElvenPalace~MOD	Title='Plate Activator <color=yellow>Elven Palace</color>'.
ActivatorPlate~LavaCaves~MOD	Title='Plate Activator <color=yellow>Lava Caves</color>'.
ActivatorPlate~Necropolis~MOD	Title='Plate Activator <color=yellow>Necropolis</color>'.
ActivatorPlate~Sewers~MOD	Title='Plate Activator <color=yellow>Sewers</color>'.
ActivatorPlate~Stronghold~MOD	Title='Plate Activator <color=yellow>Stronghold</color>'.
ActivatorPlate~TownInterior~MOD	Title='Plate Activator <color=yellow>Town Interiors</color>'.
Activators~Catacombs~MOD	Title='Activators Catacombs<color=yellow> [MODDED]</color>'.
Activators~ElvenPalace~MOD	Title='Activators Elven Palace<color=yellow> [MODDED]</color>'.
Activators~Jungle~MOD	Title='Activators Jungle<color=yellow> [MODDED]</color>'.
Activators~LavaCaves~MOD	Title='Activators Lava Caves<color=yellow> [MODDED]</color>'.
Activators~Necropolis~MOD	Title='Activators Necropolis<color=yellow> [MODDED]</color>'.
Activators~Sewers~MOD	Title='Activators Sewers<color=yellow> [MODDED]</color>'.
Activators~Stronghold~MOD	Title='Activators Stronghold<color=yellow> [MODDED]</color>'.
Activators~Town~MOD	Title='Activators Town<color=yellow> [MODDED]</color>'.
Activators~TownInterior~MOD	Title='Activators Town Interiors<color=yellow> [MODDED]</color>'.
Activators~WoodLand~MOD	Title='Activators Woodland<color=yellow> [MODDED]</color>'.
AddConstructCantrips	Title='Feat/&AddConstructCantripsTitle'.
AddConstructCantrips	Description='Feat/&AddConstructCantripsDescription'.
AddConstructCantrips	Title='Feat/&AddConstructCantripsTitle'.
AddConstructCantrips	Description='Feat/&AddConstructCantripsDescription'.
Adventuring~Catacombs~MOD	Title='Adventuring Catacombs<color=yellow> [MODDED]</color>'.
Adventuring~ElvenPalace~MOD	Title='Adventuring Elven Palace<color=yellow> [MODDED]</color>'.
Adventuring~Jungle~MOD	Title='Adventuring Jungle<color=yellow> [MODDED]</color>'.
Adventuring~LavaCaves~MOD	Title='Adventuring Lava Caves<color=yellow> [MODDED]</color>'.
Adventuring~Necropolis~MOD	Title='Adventuring Necropolis<color=yellow> [MODDED]</color>'.
Adventuring~Sewers~MOD	Title='Adventuring Sewers<color=yellow> [MODDED]</color>'.
Adventuring~Stronghold~MOD	Title='Adventuring Stronghold<color=yellow> [MODDED]</color>'.
Adventuring~Town~MOD	Title='Adventuring Town<color=yellow> [MODDED]</color>'.
Adventuring~TownInterior~MOD	Title='Adventuring Town Interiors<color=yellow> [MODDED]</color>'.
Adventuring~WoodLand~MOD	Title='Adventuring Woodland<color=yellow> [MODDED]</color>'.
AlchemyTable~ElvenPalace~MOD	Title='Alchemy Table <color=yellow>Elven Palace</color>'.
AlchemyTable~Stronghold~MOD	Title='Alchemy Table <color=yellow>Stronghold</color>'.
Altar_A~Catacombs~MOD	Title='Altar <color=yellow>Catacombs</color>'.
Altar_A~Necropolis~MOD	Title='Altar <color=yellow>Necropolis</color>'.
Altar_B~Catacombs~MOD	Title='Altar <color=yellow>Catacombs</color>'.
Altar_B~Necropolis~MOD	Title='Altar <color=yellow>Necropolis</color>'.
Altar_C~Catacombs~MOD	Title='Altar <color=yellow>Catacombs</color>'.
Altar_C~Necropolis~MOD	Title='Altar <color=yellow>Necropolis</color>'.
Altar_D~Catacombs~MOD	Title='Altar <color=yellow>Catacombs</color>'.
Altar_D~Necropolis~MOD	Title='Altar <color=yellow>Necropolis</color>'.
Altar_E~Catacombs~MOD	Title='Altar <color=yellow>Catacombs</color>'.
Altar_E~Necropolis~MOD	Title='Altar <color=yellow>Necropolis</color>'.
Arch_A~Sewers~MOD	Title='Arch <color=yellow>Sewers</color>'.
Arch_B~Sewers~MOD	Title='Arch <color=yellow>Sewers</color>'.
Arch_C~Sewers~MOD	Title='Arch <color=yellow>Sewers</color>'.
Arch_D~Sewers~MOD	Title='Arch <color=yellow>Sewers</color>'.
