ActivatorMechanism~LavaCaves~MOD:	Title='Mechanism <color=yellow>Lava Caves</color>', Desc=''
AlchemyTable~ElvenPalace~MOD:	Title='Alchemy Table <color=yellow>Elven Palace</color>', Desc=''
AlchemyTable~Stronghold~MOD:	Title='Alchemy Table <color=yellow>Stronghold</color>', Desc=''
Altar_A~Catacombs~MOD:	Title='Altar <color=yellow>Catacombs</color>', Desc=''
Altar_A~Necropolis~MOD:	Title='Altar <color=yellow>Necropolis</color>', Desc=''
Altar_B~Catacombs~MOD:	Title='Altar <color=yellow>Catacombs</color>', Desc=''
Altar_B~Necropolis~MOD:	Title='Altar <color=yellow>Necropolis</color>', Desc=''
Altar_C~Catacombs~MOD:	Title='Altar <color=yellow>Catacombs</color>', Desc=''
Altar_C~Necropolis~MOD:	Title='Altar <color=yellow>Necropolis</color>', Desc=''
Altar_D~Catacombs~MOD:	Title='Altar <color=yellow>Catacombs</color>', Desc=''
Altar_D~Necropolis~MOD:	Title='Altar <color=yellow>Necropolis</color>', Desc=''
Altar_E~Catacombs~MOD:	Title='Altar <color=yellow>Catacombs</color>', Desc=''
Altar_E~Necropolis~MOD:	Title='Altar <color=yellow>Necropolis</color>', Desc=''
Arch_A~Sewers~MOD:	Title='Arch <color=yellow>Sewers</color>', Desc=''
Arch_B~Sewers~MOD:	Title='Arch <color=yellow>Sewers</color>', Desc=''
Arch_C~Sewers~MOD:	Title='Arch <color=yellow>Sewers</color>', Desc=''
Arch_D~Sewers~MOD:	Title='Arch <color=yellow>Sewers</color>', Desc=''
ArmorStandProp~Stronghold~MOD:	Title='Armor Stand <color=yellow>Stronghold</color>', Desc=''
ArmorStandProp~TownInterior~MOD:	Title='Armor Stand <color=yellow>Town Interiors</color>', Desc=''
Banner_A~Stronghold~MOD:	Title='Banner <color=yellow>Stronghold</color>', Desc=''
Banner_B~Stronghold~MOD:	Title='Banner <color=yellow>Stronghold</color>', Desc=''
Banner_C~Stronghold~MOD:	Title='Banner <color=yellow>Stronghold</color>', Desc=''
Banner_D~Stronghold~MOD:	Title='Banner <color=yellow>Stronghold</color>', Desc=''
Banner_E~LavaCaves~MOD:	Title='Banner <color=yellow>Lava Caves</color>', Desc=''
Banner_F~LavaCaves~MOD:	Title='Banner <color=yellow>Lava Caves</color>', Desc=''
Banner_G~LavaCaves~MOD:	Title='Banner <color=yellow>Lava Caves</color>', Desc=''
BannerColumn_A~Town~MOD:	Title='Banner <color=yellow>Town</color>', Desc=''
BannerColumn_B~Town~MOD:	Title='Banner <color=yellow>Town</color>', Desc=''
BannerColumn_C~Town~MOD:	Title='Banner <color=yellow>Town</color>', Desc=''
BannerColumn_D~Town~MOD:	Title='Banner <color=yellow>Town</color>', Desc=''
BannerColumn_E~Town~MOD:	Title='Banner <color=yellow>Town</color>', Desc=''
BannerColumn_F~Town~MOD:	Title='Banner <color=yellow>Town</color>', Desc=''
BannerColumn_G~Town~MOD:	Title='Banner <color=yellow>Town</color>', Desc=''
BannerColumn_H~Town~MOD:	Title='Banner <color=yellow>Town</color>', Desc=''
BannerColumn_I~Town~MOD:	Title='Banner <color=yellow>Town</color>', Desc=''
BannerColumn_J~Town~MOD:	Title='Banner <color=yellow>Town</color>', Desc=''
BannerColumn_K~Town~MOD:	Title='Banner <color=yellow>Town</color>', Desc=''
BarCounter~TownInterior~MOD:	Title='Tavern Counter <color=yellow>Town Interiors</color>', Desc=''
Barrack~Town~MOD:	Title='Barrak <color=yellow>Town</color>', Desc=''
Barrel_A~Town~MOD:	Title='Barrels <color=yellow>Town</color>', Desc=''
Barrel_A~TownInterior~MOD:	Title='Barrels <color=yellow>Town Interiors</color>', Desc=''
Barrel_A~WoodLand~MOD:	Title='Barrels <color=yellow>Woodland</color>', Desc=''
Barrel_B~Town~MOD:	Title='Barrels <color=yellow>Town</color>', Desc=''
Barrel_B~TownInterior~MOD:	Title='Barrels <color=yellow>Town Interiors</color>', Desc=''
