ModUi/&AddHelpActionToAllRaces	Adicione a ação <color=orange>Ajuda</color> a todas as corridas
ModUi/&DisableSenseDarkVisionFromAllRaces	Desative <color=orange>Sensor de Visão no Escuro</color> de todas as raças <b><i><color=red>[Requer restart]</color></i></b>
ModUi/&DisableSenseSuperiorDarkVisionFromAllRaces	Desative <color=orange>Superior Sense Dark Vision</color> de todas as raças <b><i><color=red>[Requer restart]</color></i></b>
ModUi/&EnableAlternateHuman	Ative o humano alternativo <i><color=yellow>[+1 talento / +2 escolhas de atributo / +1 habilidade]</color></i>
ModUi/&EnableFlexibleBackgrounds	Ative planos de fundo flexíveis <i><color=yellow>[selecione habilidades e habilidades de ferramentas de planos de fundo]</color></i>
ModUi/&EnableFlexibleRaces	Habilite raças flexíveis <i><color=yellow>[atribua pontos de pontuação de habilidade em vez dos padrões raciais]</color></i>
ModUi/&EnableEpicPointsAndArray	Ative um sistema épico de compra de 35 pontos e uma matriz <i><color=yellow>[17,15,13,12,10,8]</color></i> <b><i><color=red>[ Requer restart]</color></i></b>
ModUi/&TotalFeatsGrantedFistLevel	<color=white>Total de talentos concedidos no primeiro nível</color>
ModUi/&EnableMinInOutAttributes	Aplicar os pré-requisitos mínimos de entrada e saída de pontuações de habilidade
ModUi/&EnableRelearnSpells	Pode selecionar truques ou feitiços já aprendidos de outras classes
ModUi/&DisplayAllKnownSpellsDuringLevelUp	Exiba todos os feitiços conhecidos de outras classes durante o aumento de nível
ModUi/&MaxAllowedClasses	<color=white>Máximo de aulas permitidas</color> <b><i><color=red>[Requer restart]</color></i></b>
ModUi/&EnablesAsiAndFeat	Ative o aumento de pontuação de atributo e a seleção de talentos <i><color=yellow>[em vez de uma escolha exclusiva]</color></i>
ModUi/&EnableFeatsAtEvenLevels	Habilite a seleção de talentos nos níveis de classe 2, 6, 10 e 14
ModUi/&MaxAllowedLevels	<color=white>Níveis máximos permitidos</color> <b><i><color=red>[Requer restart]</color></i></b>
ModUi/&AllowUnmarkedSorcerers	Permitir <color=orange>Feiticeiros</color> desmarcados
ModUi/&OfferAdditionalLoreFriendlyNames	Ofereça nomes amigáveis ​​de lore adicionais na criação de personagens
ModUi/&UnlockAllNpcFaces	Desbloqueie todos os rostos de NPCs
ModUi/&UnlockMarkAndTatoosForAllCharacters	Desbloqueie marcações e tatuagens para todos os personagens
ModUi/&UnlockEyeStyles	Desbloqueie estilos de olhos
ModUi/&UnlockGlowingEyeColors	Desbloqueie cores de olhos brilhantes
ModUi/&UnlockGlowingColorsForAllMarksAndTatoos	Desbloqueie cores brilhantes para todas as marcações e tatuagens
