ModUi/&AddAllToStore	Добавить все в магазин
ModUi/&AddBleedingToLesserRestoration	Добавьте состояние <color=orange>Кровотечение</color> к состояниям, удаленным с помощью <color=orange>Большого и малого восстановления</color>
ModUi/&AddHelpActionToAllRaces	Добавьте действие <color=orange>Помощь</color> ко всем гонкам.
ModUi/&AddPickpocketableLoot	Добавить добычу для карманных краж <i><color=yellow>[предлагается, если умение <color=orange>Карманные кражи</color> включено]</color></i>
ModUi/&AddToStore	Добавить в магазин
ModUi/&Advanced	<color=yellow>Дополнительно:</color>
ModUi/&AdvancedHelp	. <b><color=#C04040E0>ВНИМАНИЕ:</color></b> Этот параметр потребует, чтобы у игрока был установлен этот мод.
ModUi/&Adventure	<color=yellow>Приключение:</color>
ModUi/&AllItemInDm	Все товары в ДМ
ModUi/&AllowAnyClassToWearSylvanArmor	Разрешить любому классу носить лесную броню
ModUi/&AllowDruidToWearMetalArmor	Разрешить <color=orange>Друиду</color> носить металлическую броню
ModUi/&AllowDungeonsMaxLevel20	Разрешить подземелья с максимальным уровнем 20 <b><i><color=#C04040E0>[Требуется перезапуск]</color></i></b>
ModUi/&AllowGadgetsAndPropsToBePlacedAnywhere	Разрешить размещение гаджетов и объектов в любом месте на карте <i><color=yellow>[нажмите <color=cyan>CTRL</color> во время размещения, чтобы обойти любую проверку]</color></i>
ModUi/&AllowStackedMaterialComponent	Разрешить составной компонент материала <i><color=yellow>[e.g. 2 алмаза по 500 зм эквивалентны бриллианту по 1000 зм]</color></i>
ModUi/&AllowTargetingSelectionWhenCastingChainLightningSpell	Разрешить выбор цели при использовании заклинания <color=orange>Цепная молния</color>
ModUi/&AllowUnmarkedSorcerers	Разрешить неотмеченных <color=orange>колдунов</color>
ModUi/&AllRecipesInDm	Все рецепты в DM
ModUi/&AltOnlyHighlightItemsInPartyFieldOfView	Клавиша <color=cyan>ALT</color> выделяет гаджеты только в поле зрения группы [только в пользовательских подземельях]
ModUi/&AutoPauseOnVictory	Приостановить пользовательский интерфейс при победе в бою
ModUi/&Basic	<color=yellow>Основной:</color>
ModUi/&Battle	<color=yellow>Битва:</color>
ModUi/&Bestiary	Бестиарий
