ModUi/&AddAllToStore	全部加入商店
ModUi/&AddBleedingToLesserRestoration	添加<color=orange>流血</color>状态至<color=orange>次级/高等复原术</color>的移除效果范围
ModUi/&AddHelpActionToAllRaces	添加<color=orange>协助</color>至全部种族
ModUi/&AddPickpocketableLoot	添加可扒窃的战利品 <i><color=yellow>[建议在<color=orange>扒窃</color>专长被启用时启用]</color></i>
ModUi/&AddToStore	加入商店
ModUi/&Advanced	<color=yellow>进阶选项：</color>
ModUi/&AdvancedHelp	. <b><color=#C04040E0>注意：</color></b> 此项设置将要求玩家安装此Mod
ModUi/&Adventure	<color=yellow>冒险：</color>
ModUi/&AllItemInDm	所有物品加入DM
ModUi/&AllowAnyClassToWearSylvanArmor	允许任何职业装备木族护甲
ModUi/&AllowDruidToWearMetalArmor	允许<color=orange>德鲁伊</color>装备金属护甲
ModUi/&AllowDungeonsMaxLevel20	允许自定义地下城最大等级达到20级<b><i><color=#C04040E0>[需要重启游戏]</color></i></b>
ModUi/&AllowGadgetsAndPropsToBePlacedAnywhere	允许在地图上任何地方放置工具和道具<i><color=yellow>[在放置时按<color=cyan>CTRL</color>以跳过任何检定]</color></i>
ModUi/&AllowStackedMaterialComponent	允许材料成分叠加计算<i><color=yellow>[e.g. 2个500gp的钻石等同于1000gp的钻石]</color></i>
ModUi/&AllowTargetingSelectionWhenCastingChainLightningSpell	允许在施放<color=orange>连锁闪电</color>法术时选择目标
ModUi/&AllowUnmarkedSorcerers	允许<color=orange>术士</color>没有脸部印记
ModUi/&AllRecipesInDm	所有配方加入DM
ModUi/&AltOnlyHighlightItemsInPartyFieldOfView	<color=cyan>ALT</color>键只高亮队伍可见视野范围内的物件[仅限自定义地牢]
ModUi/&AutoPauseOnVictory	战斗胜利后暂停游戏
ModUi/&Basic	<color=yellow>基础：</color>
ModUi/&Battle	<color=yellow>战斗：</color>
ModUi/&Bestiary	生物手册
ModUi/&BestowCurseNoConcentrationRequiredForSlotLevel5OrAbove	<color=orange>降咒</color>在以5环或以上法术位施放时无需专注
ModUi/&BlindedConditionDontAllowAttackOfOpportunity	<color=orange>目盲</color>状态禁止借机攻击 
ModUi/&Blueprints	蓝图
ModUi/&CampaignsAndLocations	<color=yellow>战役和地点：</color>
ModUi/&Character	角色
ModUi/&CharactersPool	角色库
ModUi/&Classes	<color=yellow>职业</color>
ModUi/&Crafting	<color=yellow>制作：</color>
ModUi/&CraftingHelp	. 点击按钮以立即学习可活动队伍的配方\n. 添加到商店的物品可能需要队伍从该地点离开后再回来
ModUi/&Credits	致敬
ModUi/&CreditsAndDiagnostics	致敬与诊断
ModUi/&DisableAutoEquip	禁止自动装备物品栏的物品
ModUi/&DisableSenseDarkVisionFromAllRaces	将<color=orange>黑暗视觉</color>从所有种族中移除<b><i><color=#C04040E0>[需要重启游戏]</color></i></b>
ModUi/&DisableSenseSuperiorDarkVisionFromAllRaces	将<color=orange>增强黑暗视觉</color>从所有种族中移除<b><i><color=#C04040E0>[需要重启游戏]</color></i></b>
ModUi/&DisplayAllKnownSpellsDuringLevelUp	在升级时显示所有从其它职业上习得的法术
ModUi/&DontFollowCharacterInBattle	摄像机不再跟随已出现在屏幕上的角色
ModUi/&DontFollowMargin	<i>+ 除非角色靠近于 % 的屏幕边缘</i>
ModUi/&DungeonMaker	<color=yellow>地下城制作：</color>
ModUi/&DungeonMakerBasicHelp	. 这些设置不要求玩家安装此Mod
ModUi/&DungeonMakerMenu	地下城制作
ModUi/&EmpressGarbAppearance	<color=orange>女皇服饰链甲衫</color>外形
ModUi/&EnableAdditionalFociInDungeonMaker	<i>+ 添加新的法器至地下城制作</i>
ModUi/&EnableAdditionalIconsOnLevelMap	在地图上给营地、出口和传送点添加额外的图标
ModUi/&EnableAlternateHuman	启用变种人类<i><color=yellow>[+1专长 / +2属性值选择 / +1 技能]</color></i>
ModUI/&EnableBetaContent	启用Beta内容<i><color=yellow>[牢记你的存档或英雄在未来有崩溃风险]</color></i> <b><i><color=#C04040E0>[需要重启游戏]</color></i></b>
ModUi/&EnableCancelEditOnRightMouseClick	启用以右键取消动作
ModUi/&EnableCharacterChecker	启用角色验证界面
ModUi/&EnableCharacterExport	启用<color=cyan>CTRL-SHIFT-E</color>导出角色<i><color=yellow>[仅限角色检查界面]</color></i>
ModUi/&EnableCheatMenu	启用作弊菜单
ModUi/&EnableCtrlClickBypassAttackReactionPanel	启用点击<color=cyan>CTRL</color>以在攻击时忽略任何反应面板
ModUi/&EnableCtrlClickBypassMetamagicPanel	启用点击<color=cyan>CTRL</color>以在施法时忽略<color=orange>术士</color>超魔面板
ModUi/&EnableCtrlClickOnlySwapsMainHand	启用点击<color=cyan>CTRL</color>以在替换所持武器配置时保留副手武器
ModUi/&EnableDungeonMakerModdedContent	启用地下城制作Pro<b><i><color=#C04040E0>[需要重启游戏]</color></i></b>\n\n包括平房，150x150和200x200的地牢尺寸和没有任何装饰的各种环境\n若你选择一个户外环境，你必须有至少一个户外房间
ModUi/&EnableEpicPointsAndArray	启用35点的传奇构点和默认排列<i><color=yellow>[17,15,13,12,10,8]</color></i> <b><i><color=#C04040E0>[需要重启游戏]</color></i></b>
ModUi/&EnableExtraHighLevelMonsters	为11-20级的战役启用额外的高等级怪物（+20CR）<b><i><color=#C04040E0>[需要重启游戏]</color></i></b>
ModUi/&EnableFeatsAtEvenLevels	启用在第2、6、10、14级时获得专长
ModUi/&EnableFlexibleBackgrounds	启用灵活背景<i><color=yellow>[从背景中自由选择技能和工具熟练项]</color></i>
ModUi/&EnableFlexibleRaces	启用灵活种族<i><color=yellow>[自由配置属性值而非使用种族的默认加值]</color></i>
ModUi/&EnableHotkeyDebugOverlay	启用<color=cyan>CTRL-SHIFT-D</color>开启Debug界面
ModUi/&EnableHotkeyToggleHud	启用<color=cyan>CTRL-SHIFT-H</color>控制所有UI界面的显示
ModUi/&EnableHotkeyToggleIndividualHud	启用<color=cyan>CTRL-SHIFT-C</color>控制面板，<color=cyan>CTRL-SHIFT-L</color>日志，<color=cyan>CTRL-SHIFT-M</color>地图，<color=cyan>CTRL-SHIFT-P</color>队伍 控制面板的开关显示
ModUi/&EnableHotkeyZoomCamera	启用<color=cyan>CTRL-SHIFT-Z</color>拉伸镜头<i><color=yellow>[在拍摄地下城截图用以发布时很有用]</color></i>
ModUi/&EnableIgnoreCtrlClickOnCriticalHit	<i>+ 仅在非重击时才略过</i>
ModUi/&EnableInventoryFilteringAndSorting	启用物品栏筛选和排序功能
ModUi/&EnableInventoryTaintNonProficientItemsRed	<i>+ 将角色不熟练的物品染为红色</i>
