ActionAffinity/&DHFeeblemindSpellDescription	Incapaz de lançar feitiços
ActionAffinity/&DHFeeblemindSpellTitle	Feitiço fraco
AttributeModifier/&AncientForestAttributeModifierBarkskinDescription	AC está definido para 16
AttributeModifier/&AncientForestAttributeModifierBarkskinTitle	Barkskin
AttributeModifier/&DHFeeblemindChaSpellDescription	A pontuação de carisma é igual a 1
AttributeModifier/&DHFeeblemindChaSpellTitle	Carisma fraco
AttributeModifier/&DHFeeblemindIntSpellDescription	A pontuação de inteligência é igual a 1
AttributeModifier/&DHFeeblemindIntSpellTitle	Inteligência fraca
BlueprintCategory/&FlatRoomsTitle	Apartamentos
Caption/&GadgetParametersCustomRemoveDescription	Remover:\n{0}
Class/&ClassMonkDescription	Os monges estão unidos em sua capacidade de aproveitar magicamente a energia que flui em seus corpos. Seja canalizada como uma demonstração impressionante de proeza de combate ou um foco mais sutil de habilidade defensiva e velocidade, essa energia infunde tudo o que um monge faz
Class/&ClassMonkTitle	Monge [beta]
Class/&ClassWarlockDescription	Bruxos são buscadores do conhecimento que está escondido no tecido do multiverso. Através de pactos feitos com seres misteriosos de poder sobrenatural, feiticeiros desbloqueiam efeitos mágicos sutis e espetaculares
Class/&ClassWarlockTitle	Bruxo
Class/&TinkererDescription	Tinkerers são inventores, alquimistas e muito mais. Eles preenchem o espaço entre magia e tecnologia
Class/&TinkererTitle	Pensamento
Class/&WitchArmorProficiencyDescription	Armadura leve
Class/&WitchArmorProficiencyTitle	Proficiências em Armadura de Bruxa
Class/&WitchBurnedFireResistanceDescription	Resistência ao fogo queimado
Class/&WitchBurnedFireResistanceTitle	Resistência ao fogo
Class/&WitchBurnedProduceFlameDescription	Queimado Produzir Poder de Chama
Class/&WitchBurnedProduceFlameTitle	Produzir Chama
Class/&WitchCacklePowerDescription	Você pode usar sua ação bônus para gargalhar. A duração de sua Maldição se estende por 1 rodada para cada criatura afetada a até 18 metros de você.\nNem todas as bruxas riem loucamente quando cacarejam, mas todas as gargalhadas requerem um componente verbal, como um feitiço. Estes variam de maldições e insultos mundanos, ao murmúrio de línguas mortas e falar de trás para frente.
Class/&WitchCacklePowerTitle	Cacarejo
Class/&WitchDescription	Afligidas por uma maldição sinistra, as bruxas podem transformar magia negra em Maldições, que elas usam para debilitar os inimigos. Eles também são acompanhados por seus familiares, companheiros mágicos leais que eles usam para desferir o golpe mortal.
Class/&WitchFamiliarPowerDescription	Você aprende o feitiço Witch Familiar, ou seja, um feitiço Find Familiar melhorado, e pode lançá-lo como um ritual sem componentes materiais. A magia não conta para o seu número de magias conhecidas. O feitiço melhora Encontrar Familiar das seguintes maneiras:\n• Seu familiar tem seu turno imediatamente antes ou depois do seu turno a cada rodada (sua escolha).\n• Uma vez por turno como uma ação ou ação bônus, você pode comandar mentalmente seu familiar para usar sua reação para fazer um ataque.\n• Quando você conjura um feitiço, você pode lançá-lo através de seu familiar como se ele tivesse conjurado o feitiço, mesmo que o feitiço não tenha alcance de toque.\n• Seu familiar pode usar seu bônus de ataque mágico para suas jogadas de ataque.\n• Seu familiar adiciona seu bônus de proficiência à sua Classe de Armadura, testes de resistência e jogadas de dano.\n• Você adiciona o dobro do seu nível de bruxa aos pontos de vida máximos do seu familiar
Class/&WitchFamiliarPowerTitle	Familiar
Class/&WitchFeatureSetBurnedCurseDescription	Quase todo o seu corpo foi queimado por chamas arcanas, deixando-o com cicatrizes negras marcantes e brasas de magia que queimam sob a pele. Como resultado, você tem resistência a dano de fogo e conhece o truque Produzir Chama, que não conta no seu número total de truques conhecidos.
Class/&WitchFeatureSetBurnedCurseTitle	Queimado
Class/&WitchFeatureSetLovelessCurseDescription	Você está amaldiçoado a nunca encontrar o amor verdadeiro. Cansado e insatisfeito, nem mesmo a magia pode transformar seu coração; como resultado, você é imune a ser enfeitiçado
Class/&WitchFeatureSetLovelessCurseTitle	sem amor
Class/&WitchFeatureSetRitualCastingDescription	Você pode lançar qualquer feitiço de bruxa que você conheça como um ritual se esse feitiço tiver a marca ritual
Class/&WitchFeatureSetRitualCastingTitle	Elenco de Ritual de Bruxa
Class/&WitchFeatureSetVisionsCurseDescription	Você está amaldiçoado a ter visões terríveis do futuro, pressagiando a morte de seus amigos, familiares e você mesmo. Por mais que muitas dessas visões sejam enganos cruéis, às vezes são sombriamente precisas. Você pode adicionar seu modificador de Carisma, além do seu modificador de Destreza, às suas jogadas de iniciativa
Class/&WitchFeatureSetVisionsCurseTitle	Visões
Class/&WitchLovelessCharmImmunityDescription	Imunidade a Charme sem Amor
Class/&WitchLovelessCharmImmunityTitle	Imunidade a Feitiços
Class/&WitchMaledictionAbateDescription	Com uma ação, escolha uma criatura que você possa ver a até 18 metros de você para fazer um teste de resistência de Carisma. Em uma falha na resistência, a criatura não pode realizar reações até o final do seu próximo turno
Class/&WitchMaledictionAbateTitle	Pegue a maldição
Class/&WitchMaledictionApathyDescription	Com uma ação, escolha uma criatura que você possa ver a até 18 metros de você para fazer um teste de resistência de Carisma. Se falhar na resistência, até o final do seu próximo turno, a criatura se torna indiferente a uma criatura de sua escolha à qual ela é hostil. Esta indiferença termina se o alvo for atacado ou ferido por uma magia da criatura à qual é indiferente.
Class/&WitchMaledictionApathyTitle	Maldição da Apatia
Class/&WitchMaledictionCharmDescription	Com uma ação, escolha uma criatura que você possa ver a até 18 metros para fazer um teste de resistência de Sabedoria. Se falhar na resistência, a criatura fica enfeitiçada por você até o final do seu próximo turno.
Class/&WitchMaledictionCharmTitle	Amuleto Maldição
Class/&WitchMaledictionDisorientDescription	Com uma ação, escolha uma criatura que você possa ver a até 18 metros para fazer um teste de resistência de Constituição. Em uma falha na resistência, sempre que este alvo fizer uma jogada de ataque antes do final do seu próximo turno, ele deve rolar um d6 e subtrair o número rolado da jogada de ataque.
Class/&WitchMaledictionDisorientTitle	Maldição Desorientar
Class/&WitchMaledictionEvilEyeDescription	Com uma ação, escolha uma criatura que você possa ver que possa vê-lo a até 18 metros para fazer um teste de resistência de Sabedoria. Se falhar na resistência, a criatura fica com medo de você até o final do seu próximo turno.
Class/&WitchMaledictionEvilEyeTitle	Maldição do mau-olhado
Class/&WitchMaledictionObfuscateDescription	Com uma ação, você cria uma esfera de neblina de 6 metros de raio centrada em você. A esfera se espalha pelos cantos e sua área é fortemente obscurecida. Este efeito dura até o final do seu próximo turno ou até que um vento de velocidade moderada ou maior (pelo menos 10 milhas por hora) o disperse
Class/&WitchMaledictionObfuscateTitle	Ofuscar Maldição
Class/&WitchMaledictionPoxDescription	Com uma ação, escolha uma criatura que você possa ver a até 1,5 metro para fazer um teste de resistência de Constituição. Se falhar na resistência, a criatura fica envenenada até o final do seu próximo turno
