ModUi/&AddAllToStore	Alle zum Lager hinzufügen
ModUi/&AddBleedingToLesserRestoration	Füge die Bedingung <color=#FFA500>Bluten</color> zu den Bedingungen hinzu, die durch <color=#FFA500>Große und Kleine Wiederherstellung</color> entfernt werden
ModUi/&AddHelpActionToAllRaces	Hinzufügen der Aktion <color=#FFA500>Hilfe</color> für alle Völker
ModUi/&AddNewWeaponsAndRecipesToShops	Füge neue Waffen und Rezepte zu Läden hinzu <i><color=#FFFF00>[Handumhänge, Hellebarden, Piken, lange Streitkolben, Handarmbrüste]</color></i> <b><i><color=#C04040E0>[Erfordert Neustart]</color></i></b>
ModUi/&AddPickpocketableLoot	Taschendiebstahlsfähige Beute hinzufügen <i><color=#FFFF00>[empfohlen, wenn <color=#FFA500>Fähigkeit Taschendiebstahl</color> aktiviert ist]</color></i>
ModUi/&AddToStore	Zum Lager hinzufügen
ModUi/&Advanced	<color=#FFFF00>Erweitert:</color>
ModUi/&AdvancedHelp	. <b><color=#C04040E0>ACHTUNG:</color></b> Für diese Einstellung muss der Spieler diese Mod installiert haben.
ModUi/&Adventure	<color=#FFFF00>Abenteuer:</color>
ModUi/&AllItemInDm	Alle Gegenstände in DM
ModUi/&AllowAnyClassToWearSylvanArmor	Erlaube jeder Klasse, sylvanische Rüstung oder Lichtbringer-Kleidung zu tragen
ModUi/&AllowDruidToWearMetalArmor	Erlaube <color=#FFA500>Druide</color> Metallrüstung zu tragen
ModUi/&AllowDungeonsMaxLevel20	Erlaube Dungeons mit Maximalstufe 20 <b><i><color=#C04040E0>[Erfordert Neustart]</color></i></b>
ModUi/&AllowGadgetsAndPropsToBePlacedAnywhere	Gadgets und Requisiten können nun überall auf der Karte platziert werden <i><color=#FFFF00>[drücken Sie <color=#00FFFF>CTRL</color> während der Platzierung, um jede Prüfung zu umgehen]</color></i>
ModUi/&AllowStackedMaterialComponent	Erlaubt gestapelte Materialkomponenten <i><color=#FFFF00>[z.B. 2x500gp Diamant ist gleichwertig mit 1000gp Diamant]</color></i>
ModUi/&AllowTargetingSelectionWhenCastingChainLightningSpell	Zielauswahl beim Zauber <color=#FFA500>Kettenblitz</color> zulassen
ModUi/&AllowUnmarkedSorcerers	Erlaubt unmarkierte <color=#FFA500>Zauberer</color>
ModUi/&AllRecipesInDm	Alle Rezepte in DM
ModUi/&AltOnlyHighlightItemsInPartyFieldOfView	<color=#00FFFF>ALT</color>-Taste hebt nur Gadgets im Sichtfeld der Gruppe hervor <i><color=#FFFF00>[nur in benutzerdefinierten Dungeons]</color></i>
ModUi/&Ammunition	<color=#FFFF00>Munition</color>
ModUi/&Armor	<color=#FFFF00>Rüstung</color>
ModUi/&AutoPauseOnVictory	Pausiere das UI, wenn du im Kampf siegreich bist
ModUi/&Basic	<color=#FFFF00>Basic:</color>
ModUi/&Battle	<color=#FFFF00>Schlacht:</color>
ModUi/&Bestiary	Bestiarium
