ModUi/&AddAllToStore	Añadir todo al almacén
ModUi/&AddBleedingToLesserRestoration	Añadir la condición <color=naranja>Sangrado</color> a las condiciones eliminadas por <color=naranja>Restauración mayor y menor</color>
ModUi/&AddHelpActionToAllRaces	Añadir la acción <color=naranja>Ayuda</color> a todas las razas
ModUi/&AddNewWeaponsAndRecipesToShops	Añadir nuevas armas y recetas a las tiendas <i><color=amarillo>[envolturas de mano, alabardas, picas, mazas largas, ballestas de mano]</color></i> <b><i><color=#C04040E0>[Requiere reinicio]</color></i></b>.
ModUi/&AddPickpocketableLoot	Añadir botín carterista <i><color=amarillo>[sugerido si la hazaña <color=naranja>Carterista</color> está activada]</color></i>
ModUi/&AddToStore	Añadir a la tienda
ModUi/&Advanced	<color=amarillo>Avanzado:</color>
ModUi/&AdvancedHelp	. <b><color=#C04040E0>ATENCIÓN:</color></b> Este ajuste requerirá que el jugador tenga instalado este mod.
ModUi/&Adventure	<color=amarillo>Aventura:</color>
ModUi/&AllItemInDm	Todos los artículos en DM
ModUi/&AllowAnyClassToWearSylvanArmor	Permitir que cualquier clase lleve armadura sylvan o ropa lightbringer
ModUi/&AllowDruidToWearMetalArmor	Permitir a los <color=naranja>Druidas</color> usar armaduras de metal
ModUi/&AllowDungeonsMaxLevel20	Permitir mazmorras con nivel máximo 20 <b><i><color=#C04040E0>[Requiere reinicio]</color></i></b>
ModUi/&AllowGadgetsAndPropsToBePlacedAnywhere	Permitir que los artilugios y accesorios se coloquen en cualquier lugar del mapa <i><color=amarillo>[pulsar <color=cyan>CTRL</color> durante la colocación para saltarse cualquier comprobación]</color></i>
ModUi/&AllowStackedMaterialComponent	Permitir componente de material apilado <i><color=amarillo>[por ejemplo, 2x500gp de diamante equivale a 1000gp de diamante]</color></i>
ModUi/&AllowTargetingSelectionWhenCastingChainLightningSpell	Permitir la selección del objetivo al lanzar el hechizo <color=naranja>Rayo de cadena</color>
ModUi/&AllowUnmarkedSorcerers	Permitir la selección de <color=naranja>Hechiceros</color>
ModUi/&AllRecipesInDm	Todas las recetas en DM
ModUi/&AltOnlyHighlightItemsInPartyFieldOfView	<color=cyan>ALT</color> tecla sólo resaltar artilugios en el campo de visión del grupo [sólo en mazmorras personalizadas]
ModUi/&Ammunition	<color=amarillo>Munición</color>
ModUi/&Armor	<color=amarillo>Armadura</color>
ModUi/&AutoPauseOnVictory	Poner en pausa la UI cuando se sale victorioso de la batalla
ModUi/&Basic	<color=amarillo>Básico:</color>
ModUi/&Battle	<color=amarillo>Batalla:</color>
ModUi/&Bestiary	Bestiario
ModUi/&BestowCurseNoConcentrationRequiredForSlotLevel5OrAbove	<color=naranja>Maldición de amuleto</color> no requiere concentración cuando se lanza con una ranura de hechizo L5+
ModUi/&BlindedConditionDontAllowAttackOfOpportunity	<color=naranja>La condición Cegado</color> no permite el ataque de oportunidad
ModUi/&Blueprints	Planos
ModUi/&CampaignsAndLocations	<color=amarillo>Campañas y localizaciones:</color>
ModUi/&Character	Personaje
ModUi/&CharactersPool	Fondo de personajes
ModUi/&Classes	<color=amarillo>Clases</color>
ModUi/&Crafting	<color=amarillo>Artesanía:</color>
ModUi/&CraftingHelp	. Pulsa el botón para aprender recetas al instante en el party\n activo. Los objetos añadidos a las tiendas pueden necesitar que el grupo se aleje de la ubicación y regrese.
ModUi/&Credits	Créditos
ModUi/&CreditsAndDiagnostics	Créditos y Diagnóstico
ModUi/&DisableAutoEquip	Desactivar el auto-equipamiento de artículos en el inventario
ModUi/&DisableSenseDarkVisionFromAllRaces	Desactivar <color=naranja>Visión Oscura</color> de todas las razas <b><i><color=#C04040E0>[Requiere Reinicio]</color></i></b>
ModUi/&DisableSenseSuperiorDarkVisionFromAllRaces	Desactivar <color=orange>Visión oscura superior</color> de todas las razas <b><i><color=#C04040E0>[Requiere reinicio]</color></i></b>
ModUi/&DisplayAllKnownSpellsDuringLevelUp	Mostrar todos los hechizos conocidos de otras clases durante la subida de nivel
ModUi/&DontFollowCharacterInBattle	La cámara de batalla no sigue cuando el personaje ya está en pantalla
ModUi/&DontFollowMargin	<i><color=white>+ A menos que el héroe esté fuera o dentro de un % del borde de la pantalla</color></i>
ModUi/&DungeonMaker	<color=amarillo>Hacer mazmorras:</color>
ModUi/&DungeonMakerBasicHelp	. Estos ajustes no requieren que el jugador tenga instalado este mod\n. Puedes incrustar cualquier variable de la campaña en tus diálogos, descripciones, etc.\n CE las sustituirá por su valor durante el juego <i><color=amarillo>[es decir: ¡Hola {Salute} Héroe!]</color></i>.
ModUi/&DungeonMakerMenu	Creador de mazmorras
ModUi/&EmpressGarbAppearance	<color=naranja>Empress Garb</color> apariencia
ModUi/&EnableAdditionalIconsOnLevelMap	Habilitar iconos adicionales para campamentos, salidas y teletransportadores en el mapa de niveles
ModUi/&EnableAdditionalItemsInDungeonMaker	<i>+ Añadir nuevos objetos a Dungeon Maker</i>
ModUi/&EnableAlternateHuman	Habilitar el humano alternativo <i><color=amarillo>[+1 hazaña / +2 opciones de atributos / +1 habilidad]</color></i>
ModUI/&EnableBetaContent	Habilitar el contenido beta <i><color=amarillo>[ten en cuenta que tus salvas o héroes podrían romperse en el futuro]</color></i> <b><i><color=#C04040E0>[Requiere reinicio]</color></i></b>.
ModUi/&EnableCancelEditOnRightMouseClick	Habilitar la acción de cancelar con el botón derecho del ratón
ModUi/&EnableCharacterChecker	Habilitar la pantalla de comprobación de caracteres
