ModUi/&AddAllToStore	Ajouter tout au magasin
ModUi/&AddBleedingToLesserRestoration	Ajouter la condition <color=#FFA500>Saignement</color> aux conditions supprimées par <color=#FFA500>Grande et petite restauration</color>.
ModUi/&AddHelpActionToAllRaces	Ajouter l'action <color=#FFA500>Help</color> à toutes les races.
ModUi/&AddNewWeaponsAndRecipesToShops	Ajouter de nouvelles armes et recettes aux boutiques <i><color=#FFFF00>[enveloppes de main, hallebardes, piques, longues masses, arbalètes de main]</color></i> <b><i><color=#C04040E0>[Nécessite un redémarrage]</color></i></b>.
ModUi/&AddPickpocketableLoot	Ajout de butin pickpocketable <i><color=#FFFF00>[suggéré si l'exploit <color=#FFA500>Pickpocket</color> est activé]</color></i>.
ModUi/&AddToStore	Ajouter au magasin
ModUi/&Advanced	<color=#FFFF00>Avancé:</color>
ModUi/&AdvancedHelp	. <b><color=#C04040E0>ATTENTION:</color></b> Ce paramètre nécessitera que le joueur ait ce mod installé.
ModUi/&Adventure	<color=#FFFF00>Aventure:</color> .
ModUi/&AllItemInDm	Tous les objets dans le DM
ModUi/&AllowAnyClassToWearSylvanArmor	Autoriser n'importe quelle classe à porter une armure sylvestre ou des vêtements de Lightbringer.
ModUi/&AllowDruidToWearMetalArmor	Autoriser <color=#FFA500>Druide</color> à porter une armure métallique.
ModUi/&AllowDungeonsMaxLevel20	Autoriser les donjons de niveau 20 maximum <b><i><color=#C04040E0>[Requiert un redémarrage]</color></i></b>.
ModUi/&AllowGadgetsAndPropsToBePlacedAnywhere	Autoriser les gadgets et les accessoires à être placés n'importe où sur la carte <i><color=#FFFF00>[appuyer sur <color=#00FFFF>CTRL</color> pendant le placement pour contourner toute vérification]</color></i>.
ModUi/&AllowStackedMaterialComponent	Autoriser les composants matériels empilés <i><color=#FFFF00>[par exemple, 2x500gp diamant est équivalent à 1000gp diamant]</color></i>.
ModUi/&AllowTargetingSelectionWhenCastingChainLightningSpell	Autoriser la sélection de la cible lors du lancement du sort <color=#FFA500>Chain Lightning</color>.
ModUi/&AllowUnmarkedSorcerers	Autoriser les <color=#FFA500>Sorciers</color> non marqués.
ModUi/&AllRecipesInDm	Toutes les recettes du DM
ModUi/&AltOnlyHighlightItemsInPartyFieldOfView	<color=#00FFFF>ALT</color> La touche ne met en évidence que les gadgets dans le champ de vision du parti <i><color=#FFFF00>[uniquement dans les donjons personnalisés]</color></i>.
ModUi/&Ammunition	<color=#FFFF00>Ammunition</color>
ModUi/&Armor	</color=#FFFF00>Armure</color>
ModUi/&AutoPauseOnVictory	Mettre en pause l'interface utilisateur lorsqu'on est victorieux au combat.
ModUi/&Basic	<color=#FFFF00>Basic:</color>
ModUi/&Battle	<color=#FFFF00>Battle:</color>
ModUi/&Bestiary	Bestiaire
ModUi/&BestowCurseNoConcentrationRequiredForSlotLevel5OrAbove	<color=#FFA500>Malédiction d'accablement</color> ne nécessite pas de concentration lorsqu'elle est lancée avec un emplacement de sort L5+.
ModUi/&BlindedConditionDontAllowAttackOfOpportunity	<color=#FFA500>Blinded</color> la condition ne permet pas d'attaque d'opportunité.
ModUi/&Blueprints	Blueprints
ModUi/&CampaignsAndLocations	<color=#FFFF00>Campagnes et lieux :</color>
ModUi/&Character	Personnage
ModUi/&CharactersPool	Pool de personnages
ModUi/&Classes	<color=#FFFF00>Classes</color>
ModUi/&Crafting	<color=#FFFF00>Crafting:</color>
ModUi/&CraftingHelp	. Appuyez sur le bouton pour apprendre des recettes instantanément sur le parti actif\n. Les articles ajoutés aux magasins peuvent nécessiter que le groupe voyage loin de l'endroit et revienne.
ModUi/&Credits	Crédits
ModUi/&CreditsAndDiagnostics	Crédits & Diagnostics
ModUi/&DisableAutoEquip	Désactiver l'auto-équipement des objets dans l'inventaire
ModUi/&DisableSenseDarkVisionFromAllRaces	Désactiver <color=#FFA500>Sens Vision Sombre</color> de toutes les races <b><i><color=#C04040E0>[Requiert un redémarrage]</color></i></b>.
ModUi/&DisableSenseSuperiorDarkVisionFromAllRaces	Désactiver <color=#FFA500>Superior Sense Dark Vision</color> de toutes les races <b><i><color=#C04040E0>[Requires Restart]</color></i></b>.
ModUi/&DisplayAllKnownSpellsDuringLevelUp	Affichage de tous les sorts connus des autres classes pendant la montée de niveau.
ModUi/&DontFollowCharacterInBattle	La caméra de combat ne suit pas lorsque le personnage est déjà à l'écran.
ModUi/&DontFollowMargin	<i><color=#FFFFFF>+ Sauf si le héros est hors ou à moins de % du bord de l'écran</color></i>.
ModUi/&DungeonMaker	<color=#FFFF00>Dungeon Maker:</color>
ModUi/&DungeonMakerBasicHelp	. Ces paramètres ne nécessitent pas que le joueur ait installé ce mod\n. Vous pouvez intégrer n'importe quelle variable de campagne dans vos dialogues, descriptions, etc\n. CE les remplacera par leur valeur pendant le gameplay <i><color=#FFFF00>[i.e : Hello {Salute} Hero !]</color></i>.
ModUi/&DungeonMakerMenu	Créateur de donjon
ModUi/&EmpressGarbAppearance	<color=#FFA500>Empress Garb</color> apparence.
ModUi/&EnableAdditionalIconsOnLevelMap	Activation d'icônes supplémentaires pour les camps, les sorties et les téléporteurs sur la carte des niveaux.
ModUi/&EnableAdditionalItemsInDungeonMaker	<i>+ Ajout de nouveaux objets à Dungeon Maker</i>.
ModUi/&EnableAlternateHuman	Activer l'humain alternatif <i><color=#FFFF00>[+1 feat / +2 choix d'attributs / +1 compétence]</color></i>.
ModUI/&EnableBetaContent	Activer le contenu bêta <i><color=#FFFF00>[n'oubliez pas que vos sauvegardes ou vos héros pourraient se briser à l'avenir]</color></i> <b><i><color=#C04040E0>[Nécessite un redémarrage]</color></i></b>.
ModUi/&EnableCancelEditOnRightMouseClick	Activer l'action d'annulation avec le clic droit de la souris.
ModUi/&EnableCharacterChecker	Activer l'écran de vérification des caractères
ModUi/&EnableCharacterExport	Activer <color=#00FFFF>CTRL-SHIFT-(E</color>)xporter le personnage <i><color=#FFFF00>[sur l'écran d'inspection des personnages uniquement]</color></i>.
ModUi/&EnableCheatMenu	Activer le menu des tricheurs
ModUi/&EnableCtrlClickBypassAttackReactionPanel	Activez <color=#00FFFF>CTRL</color> le clic sur les attaques pour ignorer tout panneau de réaction.
ModUi/&EnableCtrlClickBypassMetamagicPanel	Activer <color=#00FFFF>CTRL</color> cliquer sur les sorts pour ignorer le panneau de métamagie <color=#FFA500>Sorcier</color>.
ModUi/&EnableCtrlClickOnlySwapsMainHand	Activer le <color=#00FFFF>CTRL</color> clic pour garder les objets hors main lors du changement de configuration de maniement.
ModUi/&EnableDungeonMakerModdedContent	Enable Dungeon Maker Pro <b><i><color=#C04040E0>[Requiert un redémarrage]</color></i></b>\n\ninclut des pièces plates, des tailles de donjon 150x150 & 200x200 et des actifs de mélange sans fioritures de tous les environnements\nvous devez avoir au moins une pièce extérieure si vous choisissez un environnement extérieur.
ModUi/&EnableEpicPointsAndArray	Activez un système d'achat épique de 35 points et un tableau <i><color=#FFFF00>[17,15,13,12,10,8]</color></i> <b><i><color=#C04040E0>[Requiert un redémarrage]</color></i></b>.
ModUi/&EnableExtraHighLevelMonsters	Activer des monstres de haut niveau supplémentaires (+20 CR) pour les campagnes de niveau 3 et 4 <b><i><color=#C04040E0>[Requiert un redémarrage]</color></i></b>.
ModUi/&EnableFeatsAtEvenLevels	Activer la sélection des feats aux niveaux de classe 2, 6, 10 et 14.
ModUi/&EnableFlexibleBackgrounds	Activer les fonds flexibles <i><color=#FFFF00>[sélectionner les compétences et les outils dans les fonds]</color></i>.
ModUi/&EnableFlexibleRaces	Activer les races flexibles <i><color=#FFFF00>[attribuer des points de score d'aptitude au lieu des valeurs par défaut raciales]</color></i>.
ModUi/&EnableHotkeyDebugOverlay	Activez la superposition de <color=#00FFFF>CTRL-SHIFT-(D</color>)ebug.
ModUi/&EnableHotkeyToggleHud	Activez <color=#00FFFF>CTRL-SHIFT-(H</color>)ud pour basculer la visibilité de tous les panneaux de l'interface utilisateur.
ModUi/&EnableHotkeyToggleIndividualHud	Activez <color=#00FFFF>CTRL-SHIFT-(C</color>)ontrol Panel, <color=#00FFFF>CTRL-SHIFT-(L</color>)og, <color=#00FFFF>CTRL-SHIFT-(M</color>)ap et <color=#00FFFF>CTRL-SHIFT-(P</color>)arty pour basculer la visibilité de chaque panneau IU.
ModUi/&EnableHotkeyZoomCamera	Activer <color=#00FFFF>CTRL-SHIFT-(Z</color>)oom caméra <i><color=#FFFF00>[utile pour prendre des captures d'écran de donjon pour la publication]</color></i>.
ModUi/&EnableIgnoreCtrlClickOnCriticalHit	<i>+ contournement uniquement si ce n'est pas un coup critique</i>.
ModUi/&EnableInventoryFilteringAndSorting	Activer le filtrage et le tri de l'inventaire
ModUi/&EnableInventoryTaintNonProficientItemsRed	<i>+ Tacher en rouge tout objet avec lequel le héros n'est pas compétent</i>.
ModUi/&EnableInvisibleCrownOfTheMagister	Cacher la <color=#FFA500>Couronne du magister</color> sur l'interface utilisateur du jeu.
ModUi/&EnableLevel20	Activer le niveau 20 <b><i><color=#C04040E0>[Requiert un redémarrage]</color></i></b>.
ModUi/&EnableLogDialoguesToConsole	Activer les dialogues de journal sur la console de jeu pendant les séquences narratives.
ModUi/&EnableMinInOutAttributes	Appliquer des pré-requis pour les scores de capacité minimums d'entrée et de sortie.
ModUi/&EnableOnTheFlyTranslations	Activation des traductions de contenu personnalisé en temps réel
ModUi/&EnableRelearnSpells	Peut sélectionner des cantrips ou des sorts déjà appris par d'autres classes.
