ModUi/&AddAllToStore	Aggiungi tutti al negozio
ModUi/&AddBleedingToLesserRestoration	Aggiungere la condizione <color=orange>Sanguinamento</color> alle condizioni rimosse da <color=orange>Restauro maggiore e minore</color>.
ModUi/&AddHelpActionToAllRaces	Aggiungere l'azione <color=orange>Aiuto</color> a tutte le razze
ModUi/&AddNewWeaponsAndRecipesToShops	Aggiungere nuove armi e ricette ai negozi <i><color=yellow>[fasce a mano, alabarde, picche, mazze lunghe, balestre a mano]</color></i> <b><i><color=#C04040E0>[Richiede il riavvio]</color></i></b>
ModUi/&AddPickpocketableLoot	Aggiungi bottino borseggiabile <i><color=giallo>[suggerito se l'impresa <color=arancio>Borseggio</color> è abilitata]</color></i>
ModUi/&AddToStore	Aggiungi al negozio
ModUi/&Advanced	<color=giallo>Avanzato:</color>
ModUi/&AdvancedHelp	. <b><color=#C04040E0>ATTENZIONE:</color></b> Questa impostazione richiede che il giocatore abbia installato questa mod.
ModUi/&Adventure	<color=giallo>Avventura:</color> .
ModUi/&AllItemInDm	Tutti gli oggetti in DM
ModUi/&AllowAnyClassToWearSylvanArmor	Permettere a qualsiasi classe di indossare armature silvane o vestiti da Lightbringer.
ModUi/&AllowDruidToWearMetalArmor	Consentire al <color=orange>Druido</color> di indossare armature di metallo
ModUi/&AllowDungeonsMaxLevel20	Consentire i dungeon con livello massimo 20 <b><i><color=#C04040E0>[Richiede il riavvio]</color></i></b>
ModUi/&AllowGadgetsAndPropsToBePlacedAnywhere	Consentire il posizionamento di gadget e oggetti di scena in qualsiasi punto della mappa <i><color=yellow>[premere <color=cyan>CTRL</color> durante il posizionamento per aggirare qualsiasi controllo]</color></i>
ModUi/&AllowStackedMaterialComponent	Consente di impilare i componenti materiali <i><color=giallo>[ad esempio, 2x500gp diamante equivale a 1000gp diamante]</color></i>.
ModUi/&AllowTargetingSelectionWhenCastingChainLightningSpell	Consentire la selezione del bersaglio quando si lancia l'incantesimo <color=orange>Lampo a catena</color>.
ModUi/&AllowUnmarkedSorcerers	Consentire l'uso di <color=orange>stregoni non marcati</color>.
ModUi/&AllRecipesInDm	Tutte le ricette in DM
ModUi/&AltOnlyHighlightItemsInPartyFieldOfView	Il tasto <color=cyan>ALT</color> evidenzia solo i gadget nel campo visivo del gruppo [solo nei dungeon personalizzati].
ModUi/&Ammunition	<color=giallo>Munizioni</color>
ModUi/&Armor	<color=giallo>Armatura</color>
ModUi/&AutoPauseOnVictory	Mette in pausa l'interfaccia utente in caso di vittoria in battaglia.
ModUi/&Basic	<color=giallo>Basico:</color>
ModUi/&Battle	<color=giallo>Battaglia:</color>
ModUi/&Bestiary	Bestiario
ModUi/&BestowCurseNoConcentrationRequiredForSlotLevel5OrAbove	<color=orange>La Maledizione di Bestow</color> non richiede concentrazione se lanciata con uno slot incantesimi L5+.
ModUi/&BlindedConditionDontAllowAttackOfOpportunity	La condizione <color=orange>Blinded</color> non permette l'attacco di opportunità.
ModUi/&Blueprints	Impronte blu
ModUi/&CampaignsAndLocations	<color=giallo>Campagne e luoghi:</color>
ModUi/&Character	Personaggi
ModUi/&CharactersPool	Pool di personaggi
ModUi/&Classes	<color=giallo>Classi</color>
ModUi/&Crafting	<color=giallo>Artigianato:</color>
ModUi/&CraftingHelp	. Premere il pulsante per imparare istantaneamente le ricette sul party attivo. Gli oggetti aggiunti ai negozi potrebbero richiedere che il gruppo si allontani dal luogo e torni indietro.
ModUi/&Credits	Crediti
ModUi/&CreditsAndDiagnostics	Crediti e diagnostica
ModUi/&DisableAutoEquip	Disabilita l'equipaggiamento automatico degli oggetti nell'inventario
ModUi/&DisableSenseDarkVisionFromAllRaces	Disattivare <color=arancio>Senso Visione Oscura</color> da tutte le razze <b><i><color=#C04040E0>[Richiede Riavvio]</color></i></b>
ModUi/&DisableSenseSuperiorDarkVisionFromAllRaces	Disabilita <color=orange>Senso Superiore Visione Oscura</color> da tutte le razze <b><i><color=#C04040E0>[Richiede Riavvio]</color></i></b>
ModUi/&DisplayAllKnownSpellsDuringLevelUp	Visualizza tutti gli incantesimi conosciuti di altre classi durante l'aumento di livello
ModUi/&DontFollowCharacterInBattle	La telecamera di battaglia non segue quando il personaggio è già sullo schermo
