ModUi/&AddAllToStore	Acrescentar tudo para armazenar
ModUi/&AddBleedingToLesserRestoration	Adicionar a <color=#FFA500>Sangria</color> condição às condições removidas por <color=#FFA500>Reduração Maior e Menor</color>
ModUi/&AddHelpActionToAllRaces	Adicionar a <color=#FFA500>Ajuda</color> ação a todas as raças
ModUi/&AddNewWeaponsAndRecipesToShops	Adicionar novas armas e receitas às lojas <i><color=#FFFFFF00>[hand wraps, halberds, pikes, maças longas, bestas]</color></i>>b>>>i><color=#C04040E0>[Requires Restart]</color></i></b>
ModUi/&AddPickpocketableLoot	Adicionar saque de pickpocketable <i><color=#FFFFFF00>[sugerido se <color=#FFA500>Pickpocket</color> feat is enabled]</color></i>
ModUi/&AddToStore	Adicionar à loja
ModUi/&Advanced	<color=#FFFFFF00>Advanced:</color>
ModUi/&AdvancedHelp	. <b><color=#C04040E0>ATENÇÃO:</color></b> Esta configuração exigirá que o jogador tenha este mod instalado
ModUi/&Adventure	<color=#FFFFFF00>Adventure:</color>
ModUi/&AllItemInDm	Todos os itens em DM
ModUi/&AllowAnyClassToWearSylvanArmor	Permitir que qualquer classe use roupas de armadura silvestre ou lightbringer
ModUi/&AllowDruidToWearMetalArmor	Permitir que <color=#FFA500>Druid</color> use uma armadura metálica
ModUi/&AllowDungeonsMaxLevel20	Permitir masmorras com nível máximo 20 <b><<i><color=#C04040E0>[Requer Reinício]</color><</i></b>
ModUi/&AllowGadgetsAndPropsToBePlacedAnywhere	Permitir que gadgets e adereços sejam colocados em qualquer lugar no mapa <i><color=#FFFFFF00>[pressione <color=##00FFFFFF>CTRL</color> durante a colocação para contornar qualquer verificação]</color></i>
ModUi/&AllowStackedMaterialComponent	Permitir o empilhamento do componente material <i><color=#FFFFFF00>[por exemplo, 2x500gp diamante é equivalente a 1000gp diamante]</color></i>
ModUi/&AllowTargetingSelectionWhenCastingChainLightningSpell	Permitir a seleção do alvo ao fundir a <color=#FFA500>Chain Lightning</color> feitiço
ModUi/&AllowUnmarkedSorcerers	Permitir sem marca <color=#FFA500>Sorcerers</color>
ModUi/&AllRecipesInDm	Todas as receitas em DM
ModUi/&AltOnlyHighlightItemsInPartyFieldOfView	<color=##00FFFFFF>ALT</color>chave apenas destacar gadgets no campo de visão do partido <i><color=#FFFFFF00>[apenas em masmorras personalizadas]</color></i>
ModUi/&Ammunition	<color=#FFFFFF00>Ammunição</color>
ModUi/&Armor	<color=#FFFFFF00>Armor</color>
ModUi/&AutoPauseOnVictory	Pausa a IU quando vitoriosos na batalha
ModUi/&Basic	<color=#FFFFFF00>Basic:</color>
ModUi/&Battle	<color=#FFFF00>Battle:</color>
ModUi/&Bestiary	Bestiário
ModUi/&BestowCurseNoConcentrationRequiredForSlotLevel5OrAbove	<color=#FFA500>Bestow Curse</color> não requer concentração quando fundido com feitiço L5+
ModUi/&BlindedConditionDontAllowAttackOfOpportunity	<color=#FFA500>Blinded</color> condição não permite ataque de oportunidade
ModUi/&Blueprints	Plantas
ModUi/&CampaignsAndLocations	<color=#FFFFFF00>Campanhas e localizações:</color>
ModUi/&Character	Caráter
ModUi/&CharactersPool	Pool de caracteres
ModUi/&Classes	<color=#FFFF00>Classes</color>
ModUi/&Crafting	<color=#FFFF00>Crafting:</color>
ModUi/&CraftingHelp	. Pressione o botão para aprender receitas instantaneamente na parte ativa\n. Os itens adicionados às lojas podem precisar que a festa viaje para longe do local e volte
ModUi/&Credits	Créditos
ModUi/&CreditsAndDiagnostics	Créditos e diagnósticos
ModUi/&DisableAutoEquip	Desativar o auto-equipamento dos itens em estoque
ModUi/&DisableSenseDarkVisionFromAllRaces	Desativar <color=#FFA500>Sense Dark Vision</color> de todas as raças <b><i><color=#C04040E0>[Requires Restart]</color></i></b>
ModUi/&DisableSenseSuperiorDarkVisionFromAllRaces	Desativar <color=#FFA500>Superior Sense Dark Vision</color> de todas as raças <b><i><color=#C04040E0>[Requires Restart]</color></i></b>
ModUi/&DisplayAllKnownSpellsDuringLevelUp	Exibir todos os feitiços conhecidos de outras classes durante a subida de nível
ModUi/&DontFollowCharacterInBattle	A câmera de batalha não segue quando o personagem já está na tela
ModUi/&DontFollowMargin	<i><color=#FFFFFFFF>+ A menos que o herói esteja desligado ou dentro de % da borda da tela</color><</i>
ModUi/&DungeonMaker	<color=#FFFFFF00>Dungeon Maker:</color>
ModUi/&DungeonMakerBasicHelp	. Estas configurações não exigirão que o jogador tenha este mod instalado\n. Você pode incorporar qualquer variável de campanha em seus diálogos, descrições, etc.\n. CE as substituirá com seu valor durante o jogo <i><color=#FFFFFF00>[i.e: Olá {Salute} Hero!]</color></i>
ModUi/&DungeonMakerMenu	Dungeon Maker
ModUi/&EmpressGarbAppearance	<color=#FFA500>Empress Garb</color> aparência
ModUi/&EnableAdditionalIconsOnLevelMap	Habilitar ícones adicionais para campos, saídas e teletransportadores no mapa de nível
