ActionAffinity/&DHFeeblemindSpellDescription	Kann keine Zaubersprüche wirken.
AttributeModifier/&AncientForestAttributeModifierBarkskinDescription	AC wird auf 16 gesetzt.
AttributeModifier/&AncientForestAttributeModifierBarkskinTitle	Rindenhaut
AttributeModifier/&DHFeeblemindChaSpellDescription	Charisma-Wert ist gleich 1.
AttributeModifier/&DHFeeblemindChaSpellTitle	Schwaches Charisma
AttributeModifier/&DHFeeblemindIntSpellDescription	Intelligenzwert ist gleich 1.
AttributeModifier/&DHFeeblemindIntSpellTitle	Schwache Intelligenz
BlueprintCategory/&FlatRoomsTitle	Flache Räume
Caption/&GadgetParametersCustomRemoveDescription	Entfernen:\n{0}.
Class/&ClassMonkDescription	Mönche sind in ihrer Fähigkeit vereint, die Energie, die in ihren Körpern fließt, auf magische Weise nutzbar zu machen. Egal, ob sie diese Energie in Form einer eindrucksvollen Demonstration von Kampffähigkeiten oder eines subtileren Fokus auf Verteidigungsfähigkeit und Schnelligkeit kanalisieren, sie durchdringt alles, was ein Mönch tut.
Class/&ClassMonkTitle	Mönch
Class/&ClassWarlockDescription	Hexenmeister sind auf der Suche nach dem Wissen, das im Gewebe des Multiversums verborgen liegt. Durch Pakte mit mysteriösen Wesen von übernatürlicher Macht entfalten Hexenmeister sowohl subtile als auch spektakuläre magische Effekte.
Class/&ClassWarlockTitle	Hexenmeister
Class/&TinkererDescription	Tüftler sind Erfinder, Alchemisten und mehr. Sie bilden die Brücke zwischen Magie und Technologie.
Class/&TinkererTitle	Tüftler
Class/&WitchArmorProficiencyDescription	Leichte Rüstung.
Class/&WitchArmorProficiencyTitle	Eigenschaften von Hexer-Rüstungen
Class/&WitchBurnedFireResistanceDescription	Verbrannte Feuerresistenz.
Class/&WitchBurnedFireResistanceTitle	Feuerwiderstand
Class/&WitchBurnedProduceFlameDescription	Verbrannt Macht der Flamme erzeugen.
Class/&WitchBurnedProduceFlameTitle	Flamme erzeugen
Class/&WitchCacklePowerDescription	Du kannst deine Bonusaktion nutzen, um zu gackern. Die Dauer deiner Malediction verlängert sich für jede betroffene Kreatur im Umkreis von 60 Fuß um 1 Runde.\n Nicht alle Hexen lachen wahnsinnig, wenn sie gackern, aber alle Gackern erfordern eine verbale Komponente, wie ein Zauberspruch. Diese reichen von banalen Flüchen und Beleidigungen bis hin zum Murmeln toter Sprachen und dem Sprechen rückwärts.
Class/&WitchCacklePowerTitle	Gackern
