ActionAffinity/&DHFeeblemindSpellDescription	No puede lanzar hechizos.
AttributeModifier/&AncientForestAttributeModifierBarkskinDescription	La CA es de 16.
AttributeModifier/&AncientForestAttributeModifierBarkskinTitle	Piel de corteza
AttributeModifier/&DHFeeblemindChaSpellDescription	La puntuación de carisma es igual a 1.
AttributeModifier/&DHFeeblemindChaSpellTitle	Carisma débil
AttributeModifier/&DHFeeblemindIntSpellDescription	La puntuación de Inteligencia es igual a 1.
AttributeModifier/&DHFeeblemindIntSpellTitle	Inteligencia débil
BlueprintCategory/&FlatRoomsTitle	Habitaciones planas
Caption/&GadgetParametersCustomRemoveDescription	Eliminar:\N - 0.
Class/&ClassMonkDescription	Los monjes están unidos por su capacidad de aprovechar mágicamente la energía que fluye en sus cuerpos. Ya sea canalizada como una muestra llamativa de destreza en el combate o como un foco más sutil de habilidad defensiva y velocidad, esta energía infunde todo lo que un Monje hace.
Class/&ClassMonkTitle	Monje
Class/&ClassWarlockDescription	Los brujos son buscadores del conocimiento que se esconde en el tejido del multiverso. A través de pactos realizados con seres misteriosos de poder sobrenatural, los brujos desbloquean efectos mágicos tanto sutiles como espectaculares.
Class/&ClassWarlockTitle	Brujo
Class/&TinkererDescription	Los brujos son inventores, alquimistas y mucho más. Son un puente entre la magia y la tecnología.
Class/&TinkererTitle	Hechicero
Class/&WitchArmorProficiencyDescription	Armadura ligera.
Class/&WitchArmorProficiencyTitle	Proficiencias de la armadura de brujo
Class/&WitchBurnedFireResistanceDescription	Resistencia al fuego quemado.
Class/&WitchBurnedFireResistanceTitle	Resistencia al fuego
Class/&WitchBurnedProduceFlameDescription	Quemado Produce poder de llama.
Class/&WitchBurnedProduceFlameTitle	Producir Llama
Class/&WitchCacklePowerDescription	Puedes usar tu acción de bonificación para cacarear. La duración de tu cacareo se extiende 1 asalto por cada criatura afectada en un radio de 60 pies de ti.\NNo todas las brujas se ríen maniáticamente cuando cacarean, pero todos los cacareos requieren un componente verbal, como un hechizo. Estos van desde maldiciones e insultos mundanos, hasta el murmullo de lenguas muertas y el hablar al revés.
Class/&WitchCacklePowerTitle	Cacareo
Class/&WitchDescription	Afectadas por una siniestra maldición, las brujas pueden convertir la magia oscura en maldiciones, que utilizan para debilitar a los enemigos. También van acompañadas de sus familiares, fieles compañeros mágicos que utilizan para asestar el golpe mortal.
Class/&WitchFamiliarPowerDescription	Aprendes el hechizo Familiar Brujo, es decir, un hechizo mejorado de Encontrar Familiar, y puedes lanzarlo como un ritual sin componentes materiales. El hechizo no cuenta en tu número de hechizos conocidos. El hechizo mejora Encontrar Familiar de las siguientes maneras:\N- Tu familiar toma su turno inmediatamente antes o después de tu turno cada ronda (a tu elección).\N- Una vez por turno, como una acción o una acción de bonificación, puedes ordenar mentalmente a tu familiar que use su reacción para hacer un ataque. \Cuando lanzas un conjuro, puedes lanzarlo a través de tu familiar como si éste lo hubiera hecho, incluso si el conjuro no tiene un alcance de toque.Tu familiar puede usar tu bonificador de ataque a conjuros para sus tiradas de ataque.Tu familiar añade tu bonificador de competencia a su clase de armadura, tiradas de salvación y tiradas de daño.Añades el doble de tu nivel de brujo a los puntos de golpe máximos de tu familiar.
Class/&WitchFamiliarPowerTitle	Familiar
Class/&WitchFeatureSetBurnedCurseDescription	Casi todo tu cuerpo ha sido abrasado por las llamas arcanas, dejándote con llamativas cicatrices negras y ascuas de magia que arden bajo la piel. Como resultado, tienes resistencia al daño por fuego, y conoces el cantrip Producir llamas, que no cuenta en tu número total de cantrips conocidos.
Class/&WitchFeatureSetBurnedCurseTitle	Quemado
Class/&WitchFeatureSetLovelessCurseDescription	Estás condenado a no encontrar nunca el amor verdadero. Hastiado y desamparado, ni siquiera la magia puede cambiar tu corazón; como resultado, eres inmune a los encantos.
Class/&WitchFeatureSetLovelessCurseTitle	Sin amor
Class/&WitchFeatureSetRitualCastingDescription	Puedes lanzar cualquier hechizo de bruja que conozcas como ritual si ese hechizo tiene la etiqueta de ritual.
Class/&WitchFeatureSetRitualCastingTitle	Lanzamiento de rituales de bruja
Class/&WitchFeatureSetVisionsCurseDescription	Estás maldito para tener terribles visiones del futuro, presagiando la muerte de tus amigos, tu familia y tú mismo. Sin embargo, muchas de estas visiones son crueles engaños, pero a veces son terriblemente precisas. Puedes añadir tu modificador de Carisma, además de tu modificador de Destreza, a tus tiradas de iniciativa.
Class/&WitchFeatureSetVisionsCurseTitle	Visiones
Class/&WitchLovelessCharmImmunityDescription	Inmunidad al Encanto
Class/&WitchLovelessCharmImmunityTitle	Inmunidad al encanto
Class/&WitchMaledictionAbateDescription	Como acción, elige una criatura que puedas ver en un radio de 60 pies para hacer una tirada de salvación de Carisma. Si fallas la tirada de salvación, la criatura no puede realizar reacciones hasta el final de tu siguiente turno.
Class/&WitchMaledictionAbateTitle	Abatir la maldición
Class/&WitchMaledictionApathyDescription	Como acción, elige una criatura que puedas ver en un radio de 60 pies para hacer una tirada de salvación de Carisma. Si fallas la tirada de salvación, hasta el final de tu siguiente turno, la criatura se vuelve indiferente hacia una criatura de tu elección hacia la que sea hostil. Esta indiferencia termina si el objetivo es atacado o dañado por un hechizo de la criatura a la que es indiferente.
Class/&WitchMaledictionApathyTitle	Maldición de Apatía
