ActionAffinity/&DHFeeblemindSpellDescription	Impossible de lancer des sorts.
AttributeModifier/&AncientForestAttributeModifierBarkskinDescription	La CA est fixée à 16.
AttributeModifier/&AncientForestAttributeModifierBarkskinTitle	Peau d'écorce
AttributeModifier/&DHFeeblemindChaSpellDescription	Le score de Charisme est égal à 1.
AttributeModifier/&DHFeeblemindChaSpellTitle	Charisme faible
AttributeModifier/&DHFeeblemindIntSpellDescription	Le score d'intelligence est égal à 1.
AttributeModifier/&DHFeeblemindIntSpellTitle	Intelligence faible
BlueprintCategory/&FlatRoomsTitle	Pièces plates
Caption/&GadgetParametersCustomRemoveDescription	Suppression:\n{0}.
Class/&ClassMonkDescription	Les moines sont unis par leur capacité à maîtriser magiquement l'énergie qui circule dans leur corps. Qu'elle soit canalisée sous la forme d'une démonstration frappante de prouesses au combat ou d'une concentration plus subtile de capacités défensives et de rapidité, cette énergie infuse tout ce que fait un moine.
Class/&ClassMonkTitle	Moine
Class/&ClassWarlockDescription	Les sorciers sont des chercheurs de connaissances qui se cachent dans le tissu du multivers. Grâce à des pactes conclus avec des êtres mystérieux aux pouvoirs surnaturels, les sorciers débloquent des effets magiques aussi bien subtils que spectaculaires.
Class/&ClassWarlockTitle	Sorcier
Class/&TinkererDescription	Les bricoleurs sont des inventeurs, des alchimistes et bien plus encore. Ils font le lien entre la magie et la technologie.
Class/&TinkererTitle	Bricoleur
Class/&WitchArmorProficiencyDescription	Armure légère.
Class/&WitchArmorProficiencyTitle	Compétences de l'armure de sorcière
Class/&WitchBurnedFireResistanceDescription	Résistance au feu brûlé.
Class/&WitchBurnedFireResistanceTitle	Résistance au feu
Class/&WitchBurnedProduceFlameDescription	Brûlé Puissance de production de flammes.
Class/&WitchBurnedProduceFlameTitle	Produire de la flamme
Class/&WitchCacklePowerDescription	Vous pouvez utiliser votre action bonus pour glousser. La durée de votre malédiction se prolonge de 1 round pour chaque créature affectée dans un rayon de 60 pieds autour de vous.\NToutes les sorcières ne rient pas de façon maniaque lorsqu'elles caquettent, mais tous les caquètements nécessitent une composante verbale, comme un sort. Cela va des malédictions et insultes banales au murmure de langues mortes et à la parole à l'envers.
Class/&WitchCacklePowerTitle	Gloussement
