ActionAffinity/&DHFeeblemindSpellDescription	Incapaz de lançar feitiços.
AttributeModifier/&AncientForestAttributeModifierBarkskinDescription	AC está ajustado para 16.
AttributeModifier/&AncientForestAttributeModifierBarkskinTitle	Barkskin
AttributeModifier/&DHFeeblemindChaSpellDescription	A pontuação do carisma é igual a 1.
AttributeModifier/&DHFeeblemindChaSpellTitle	Carisma fraco
AttributeModifier/&DHFeeblemindIntSpellDescription	A pontuação da inteligência é igual a 1.
AttributeModifier/&DHFeeblemindIntSpellTitle	Inteligência fraca
BlueprintCategory/&FlatRoomsTitle	Salas Planas
Caption/&GadgetParametersCustomRemoveDescription	Remover:\n{0}.
Class/&ClassMonkDescription	Os monges estão unidos em sua capacidade de aproveitar magicamente a energia que flui em seus corpos. Seja canalizada como uma exibição marcante de proeza de combate ou um foco mais sutil de habilidade defensiva e velocidade, esta energia infunde tudo o que um monge faz.
Class/&ClassMonkTitle	Monge
Class/&ClassWarlockDescription	Os magos são buscadores do conhecimento que está escondido no tecido do multiverso. Através de pactos feitos com seres misteriosos de poder sobrenatural, os magos desbloqueiam efeitos mágicos tanto sutis quanto espetaculares.
Class/&ClassWarlockTitle	Feiticeiro
Class/&TinkererDescription	Os funileiros são inventores, alquimistas, e muito mais. Eles fazem a ponte entre a magia e a tecnologia.
Class/&TinkererTitle	Funileiro
Class/&WitchArmorProficiencyDescription	Armadura leve.
Class/&WitchArmorProficiencyTitle	Proficiências da armadura de bruxa
Class/&WitchBurnedFireResistanceDescription	Resistência ao fogo queimado.
Class/&WitchBurnedFireResistanceTitle	Resistência ao fogo
Class/&WitchBurnedProduceFlameDescription	Poder de chama do produto queimado.
Class/&WitchBurnedProduceFlameTitle	Produzir Chama
Class/&WitchCacklePowerDescription	Você pode usar sua ação bônus para cacarejar. A duração de sua Maldição se estende por 1 round para cada criatura afetada a menos de 60 pés de você. Estas vão desde maldições e insultos mundanos, até o murmúrio de línguas mortas e o falar ao contrário.
Class/&WitchCacklePowerTitle	Cackle
Class/&WitchDescription	Afetadas por uma maldição sinistra, as bruxas podem transformar magia negra em maldições, que elas utilizam para debilitar os inimigos. Elas também são acompanhadas por seus familiares, leais companheiros mágicos que elas usam para lidar com o golpe mortal.
Class/&WitchFamiliarPowerDescription	Você aprende o feitiço Feitiço da Feiticeira Familiar, ou seja, um feitiço melhorado de Encontrar Familiaridade, e pode lançá-lo como um ritual sem componentes materiais. O feitiço não conta contra o seu número de feitiços conhecidos. O feitiço melhora o Find Familiar das seguintes maneiras: \n- Seu feitiço familiar toma sua vez imediatamente antes ou depois de cada rodada (sua escolha).\n- Uma vez por rodada como uma ação ou uma ação bônus, você pode mentalmente comandar seu familiar a usar sua reação para fazer um ataque. \n- Quando você lança um feitiço, você pode entregá-lo através de seu familiar como se ele tivesse lançado o feitiço, mesmo que o feitiço não tenha um alcance de toque.\n- Seu familiar pode usar seu bônus de ataque de feitiços para seus rolos de ataque.\n- Seu familiar adiciona seu bônus de proficiência à sua Classe de Armadura, salvando lançamentos e rolos de dano.\n- Você adiciona duas vezes seu nível de Feiticeiro aos pontos máximos de ataque de seu familiar.
Class/&WitchFamiliarPowerTitle	Familiar
Class/&WitchFeatureSetBurnedCurseDescription	Quase todo o seu corpo foi queimado por chamas arcanas, deixando você com cicatrizes negras impressionantes e brasas de magia que queimam sob a pele. Como resultado, você tem resistência aos danos causados pelo fogo, e sabe que a caneta Produce Flame, que não conta contra seu número total de cancros conhecidos.
Class/&WitchFeatureSetBurnedCurseTitle	Queimadas
Class/&WitchFeatureSetLovelessCurseDescription	Você está amaldiçoado a nunca encontrar o verdadeiro amor. Desmaiado e desinteressado, nem mesmo a magia pode transformar seu coração; como resultado, você é imune a ser encantado.
Class/&WitchFeatureSetLovelessCurseTitle	Loveless
Class/&WitchFeatureSetRitualCastingDescription	Você pode lançar qualquer feitiço de Bruxa que você conhece como um ritual se esse feitiço tiver a etiqueta do ritual.
Class/&WitchFeatureSetRitualCastingTitle	Fundição Ritual de Feiticeiros
Class/&WitchFeatureSetVisionsCurseDescription	Você está amaldiçoado a ter visões terríveis do futuro, pressagiando a morte de seus amigos, família e de você mesmo. Por mais que muitas dessas visões sejam decepções cruéis, elas às vezes são extremamente precisas. Você pode adicionar seu modificador de Carisma, além de seu modificador de destreza, aos seus rolos de iniciativa.
Class/&WitchFeatureSetVisionsCurseTitle	Visões
Class/&WitchLovelessCharmImmunityDescription	Imunidade ao encanto sem amor.
Class/&WitchLovelessCharmImmunityTitle	Imunidade ao encanto
Class/&WitchMaledictionAbateDescription	Como uma ação, escolha uma criatura que você possa ver a menos de 60 pés de você para fazer um lançamento salvador de Carisma. Em um salvamento fracassado, a criatura não pode ter reações até o final de sua próxima vez.
Class/&WitchMaledictionAbateTitle	Abate à Maldição
Class/&WitchMaledictionApathyDescription	Como uma ação, escolha uma criatura que você possa ver a menos de 60 pés de você para fazer um lançamento salvador de Carisma. Em uma salvação falhada, até o final de sua próxima volta, a criatura se torna indiferente a uma criatura de sua escolha para a qual ela é hostil. Esta indiferença termina se o alvo for atacado ou prejudicado por um feitiço da criatura à qual ela é indiferente.
Class/&WitchMaledictionApathyTitle	Apatia Maldição
Class/&WitchMaledictionCharmDescription	Como uma ação, escolha uma criatura que você possa ver a menos de 60 pés para fazer um lançamento salvador de Sabedoria. Em um salvamento falhado, a criatura fica encantada por você até o final de sua próxima jogada.
Class/&WitchMaledictionCharmTitle	Maldição de Encantamento
Class/&WitchMaledictionDisorientDescription	Como ação, escolha uma criatura que você possa ver a menos de 60 pés para fazer um lançamento salvador da Constituição. Em um salvamento falhado, sempre que este alvo fizer um lançamento de ataque antes do final de sua próxima vez, ele deve lançar um d6 e subtrair o número lançado do lançamento de ataque.
Class/&WitchMaledictionDisorientTitle	Desorientando a Maldição
Class/&WitchMaledictionEvilEyeDescription	Como uma ação, escolha uma criatura que você possa ver e que possa vê-lo a 60 pés para fazer um lançamento salvador de Sabedoria. Em um salvamento fracassado, a criatura tem medo de você até o final de sua próxima jogada.
Class/&WitchMaledictionEvilEyeTitle	Maldição dos olhos do mal
Class/&WitchMaledictionObfuscateDescription	Como ação, você cria uma esfera de nevoeiro de 20 pés de raio centrada em você mesmo. A esfera se espalha pelas esquinas e sua área é fortemente obscurecida. Este efeito dura até o final de sua próxima curva ou até que um vento de velocidade moderada ou maior (pelo menos 10 milhas por hora) a disperse.
Class/&WitchMaledictionObfuscateTitle	Obfuscar a maldição
