ActionAffinity/&DHFeeblemindSpellDescription	Unfähig zu zaubern
ActionAffinity/&DHFeeblemindSpellTitle	Schwache Zauberei
AttributeModifier/&DHFeeblemindChaSpellDescription	Charisma-Wert ist gleich 1
AttributeModifier/&DHFeeblemindChaSpellTitle	Schwaches Charisma
AttributeModifier/&DHFeeblemindIntSpellDescription	Intelligenzwert ist gleich 1
AttributeModifier/&DHFeeblemindIntSpellTitle	Schwache Intelligenz
BlindingWeaponStrike	Blendende Waffe
BlueprintCategory/&FlatRoomsTitle	Flache Räume
Caption/&GadgetParametersCustomRemoveDescription	Entfernen:\n{0}
Class/&ClassWarlockDescription	Hexenmeister sind auf der Suche nach dem Wissen, das im Gewebe des Multiversums verborgen liegt. Durch Pakte mit mysteriösen Wesen mit übernatürlichen Kräften entfalten Hexenmeister magische Effekte, die sowohl subtil als auch spektakulär sind.
Class/&ClassWarlockTitle	Hexenmeister
Class/&TinkererDescription	Tüftler sind Erfinder, Alchemisten und mehr. Sie überbrücken den Raum zwischen Magie und Technologie.
Class/&TinkererTitle	Tüftler
Class/&WitchArmorProficiencyDescription	Leichte Rüstung
Class/&WitchArmorProficiencyTitle	Hexer-Rüstungsfähigkeiten
Class/&WitchCacklePowerDescription	Du kannst deine Bonusaktion nutzen, um zu gackern. Die Dauer deiner Malediction verlängert sich für jede betroffene Kreatur im Umkreis von 60 Fuß um 1 Runde.\n Nicht alle Hexen lachen wahnsinnig, wenn sie gackern, aber alle Gackern erfordern eine verbale Komponente, wie ein Zauber. Diese reichen von banalen Flüchen und Beleidigungen bis hin zum Murmeln toter Sprachen und dem Sprechen rückwärts.
Class/&WitchCacklePowerTitle	Gackern
Class/&WitchDescription	Hexen, die von einem finsteren Fluch befallen sind, können dunkle Magie in Malediktionen verwandeln, mit denen sie ihre Feinde schwächen. Sie werden auch von ihren Vertrauten begleitet, treuen magischen Begleitern, die sie einsetzen, um den tödlichen Schlag auszuführen.
Class/&WitchFamiliarPowerDescription	Du erlernst den Zauber Hexenvertrauter, d.h. einen verbesserten Zauber Vertrauter finden, und kannst ihn als Ritual ohne materielle Komponenten wirken. Der Zauber wird nicht auf die Anzahl deiner bekannten Zaubersprüche angerechnet. Der Zauber verbessert "Vertrauten finden" auf folgende Weise:\n- Dein Vertrauter ist jede Runde unmittelbar vor oder nach deinem Zug an der Reihe (du hast die Wahl).\n- Einmal pro Zug kannst du deinem Vertrauten als Aktion oder Bonusaktion geistig befehlen, seine Reaktion zu nutzen, um einen Angriff durchzuführen. \n- Wenn du einen Zauber wirkst, kannst du ihn durch deinen Vertrauten wirken, als ob er den Zauber gewirkt hätte, auch wenn der Zauber keine Berührungsreichweite hat.\n- Dein Vertrauter kann deinen Zauberangriffsbonus für seine Angriffswürfe verwenden.\n- Dein Vertrauter addiert deinen Fertigkeitsbonus zu seiner Rüstungsklasse, seinen Schutzwürfen und Schadenswürfen.\n- Du addierst das Doppelte deiner Hexenstufe zu den maximalen Trefferpunkten deines Vertrauten.
Class/&WitchFamiliarPowerTitle	Vertrauter
Class/&WitchFeatureSetBurnedCurseDescription	Fast dein ganzer Körper wurde von arkanen Flammen verbrannt, was zu auffälligen schwarzen Narben und Glutnarben führt, die unter der Haut brennen. Du bist resistent gegen Feuerschaden und kennst den Zauber Flamme erzeugen, der nicht auf die Gesamtzahl deiner Zaubersprüche angerechnet wird.
Class/&WitchFeatureSetBurnedCurseTitle	Verbrannt
Class/&WitchFeatureSetLovelessCurseDescription	Du bist dazu verflucht, niemals die wahre Liebe zu finden. Abgestumpft und unzufrieden, kann nicht einmal Magie dein Herz umstimmen; daher bist du immun dagegen, verzaubert zu werden.
Class/&WitchFeatureSetLovelessCurseTitle	Lieblos
Class/&WitchFeatureSetMaledictionsDescription	Du kannst eine Reihe mächtiger Beschwörungsformeln erlernen, die als Unheilsverheißungen bekannt sind und von derselben heimtückischen Magie stammen, die dich verflucht hat.
Class/&WitchFeatureSetMaledictionsTitle	Verhexungen
Class/&WitchFeatureSetRitualCastingDescription	Du kannst jeden Hexenzauber, den du kennst, als Ritual wirken, wenn der Zauber das Etikett Ritual trägt.
Class/&WitchFeatureSetRitualCastingTitle	Hexenrituale wirken
Class/&WitchFeatureSetVisionsCurseDescription	Du bist verflucht, schreckliche Zukunftsvisionen zu haben, die den Tod deiner Freunde, deiner Familie und deiner selbst voraussagen. Auch wenn viele dieser Visionen grausame Täuschungen sind, so sind sie doch manchmal erschreckend genau. Du kannst deinen Charisma-Modifikator zusätzlich zu deinem Geschicklichkeitsmodifikator zu deinen Initiativwürfen addieren.
Class/&WitchFeatureSetVisionsCurseTitle	Visionen
Class/&WitchFeatureSetWitchCurseDescription	Du wirst von einem schrecklichen Fluch geplagt, der deinen Körper und deine Seele befällt.
Class/&WitchFeatureSetWitchCurseTitle	Hexenfluch
Class/&WitchMaledictionAbateDescription	Als Aktion wählst du eine Kreatur, die du im Umkreis von 60 Fuß sehen kannst, um einen Charisma-Sparwurf zu machen. Bei einem misslungenen Schutzwurf kann die Kreatur bis zum Ende deines nächsten Zuges keine Reaktionen ausführen.
Class/&WitchMaledictionAbateTitle	Verhexung abschwächen
Class/&WitchMaledictionApathyDescription	Wähle als Aktion eine Kreatur, die du im Umkreis von 60 Fuß sehen kannst, um einen Charisma-Sicherungswurf zu machen. Bei einem misslungenen Schutzwurf wird die Kreatur bis zum Ende deines nächsten Zuges gleichgültig gegenüber einer Kreatur deiner Wahl, der sie feindlich gesinnt ist. Diese Gleichgültigkeit endet, wenn das Ziel von der Kreatur, der gegenüber es gleichgültig ist, angegriffen oder durch einen Zauber verletzt wird.
Class/&WitchMaledictionApathyTitle	Apathie-Malediktion
