ActionAffinity/&DHFeeblemindSpellDescription	Incapable de lancer des sorts
ActionAffinity/&DHFeeblemindSpellTitle	Faible capacité de lancer des sorts
AttributeModifier/&DHFeeblemindChaSpellDescription	Le score de Charisme est égal à 1
AttributeModifier/&DHFeeblemindChaSpellTitle	Charisme faible
AttributeModifier/&DHFeeblemindIntSpellDescription	Score d'intelligence égal à 1
AttributeModifier/&DHFeeblemindIntSpellTitle	Intelligence faible
BlueprintCategory/&FlatRoomsTitle	Pièces plates
Caption/&GadgetParametersCustomRemoveDescription	Suppression:\n{0}
Class/&ClassWarlockDescription	Les sorciers sont des chercheurs du savoir qui se cache dans le tissu du multivers. Grâce à des pactes conclus avec des êtres mystérieux aux pouvoirs surnaturels, les sorciers débloquent des effets magiques aussi bien subtils que spectaculaires.
Class/&ClassWarlockTitle	Sorcier
Class/&TinkererDescription	Les bricoleurs sont des inventeurs, des alchimistes et bien plus encore. Ils font le lien entre la magie et la technologie.
Class/&TinkererTitle	Bricoleur
Class/&WitchArmorProficiencyDescription	Armure légère
Class/&WitchArmorProficiencyTitle	Compétences de l'armure de la sorcière
Class/&WitchCacklePowerDescription	Vous pouvez utiliser votre action bonus pour glousser. La durée de votre malédiction s'allonge de 1 round pour chaque créature affectée dans un rayon de 60 pieds autour de vous.\NToutes les sorcières ne rient pas de façon maniaque quand elles caquettent, mais tous les caquètements nécessitent une composante verbale, comme un sort. Cela va des malédictions et insultes banales au murmure de langues mortes, en passant par le fait de parler à l'envers.
Class/&WitchCacklePowerTitle	Gloussement
Class/&WitchDescription	Affligées d'une sinistre malédiction, les sorcières peuvent transformer la magie noire en malédictions, qu'elles utilisent pour affaiblir leurs ennemis. Elles sont également accompagnées de leurs familiers, de fidèles compagnons magiques qu'elles utilisent pour porter le coup fatal.
