ActionAffinity/&DHFeeblemindSpellDescription	Incapaz de lançar feitiços
ActionAffinity/&DHFeeblemindSpellTitle	Feitiçaria fraca
AttributeModifier/&DHFeeblemindChaSpellDescription	Pontuação de carisma igual a 1
AttributeModifier/&DHFeeblemindChaSpellTitle	Fraco Carisma
AttributeModifier/&DHFeeblemindIntSpellDescription	Nota de inteligência igual a 1
AttributeModifier/&DHFeeblemindIntSpellTitle	Fraca inteligência
BlindingWeaponStrike	Arma Cegante
BlueprintCategory/&FlatRoomsTitle	Salas Planas
Caption/&GadgetParametersCustomRemoveDescription	Remover:\n{0}
Class/&ClassWarlockDescription	Os magos são buscadores do conhecimento que está escondido no tecido do multiverso. Através de pactos feitos com seres misteriosos de poder sobrenatural, os magos desbloqueiam efeitos mágicos tanto sutis quanto espetaculares.
Class/&ClassWarlockTitle	Feiticeiro
Class/&TinkererDescription	Os funileiros são inventores, alquimistas, e muito mais. Eles fazem a ponte entre a magia e a tecnologia
Class/&TinkererTitle	Tinkerer
Class/&WitchArmorProficiencyDescription	Armadura leve
Class/&WitchArmorProficiencyTitle	Proficiências da armadura de bruxa
Class/&WitchCacklePowerDescription	Você pode usar sua ação bônus para cacarejar. A duração de sua Maldição se estende por 1 round para cada criatura afetada a menos de 60 pés de você. Estas vão desde maldições e insultos mundanos, até o murmúrio de línguas mortas e o falar ao contrário.
Class/&WitchCacklePowerTitle	Cackle
Class/&WitchDescription	Afetadas por uma maldição sinistra, as bruxas podem transformar magia negra em maldições, que elas utilizam para debilitar os inimigos. Elas também são acompanhadas por seus familiares, leais companheiros mágicos que elas usam para lidar com o golpe mortal.
Class/&WitchFamiliarPowerDescription	Você aprende o feitiço Feitiço da Feiticeira Familiar, ou seja, um feitiço melhorado de Encontrar Familiaridade, e pode lançá-lo como um ritual sem componentes materiais. O feitiço não conta contra o seu número de feitiços conhecidos. O feitiço melhora o Find Familiar das seguintes maneiras: \n- Seu feitiço familiar toma sua vez imediatamente antes ou depois de cada rodada (sua escolha).\n- Uma vez por rodada como uma ação ou uma ação bônus, você pode mentalmente comandar seu familiar a usar sua reação para fazer um ataque. \n- Quando você lança um feitiço, você pode entregá-lo através de seu familiar como se ele tivesse lançado o feitiço, mesmo que o feitiço não tenha um alcance de toque.\n- Seu familiar pode usar seu bônus de ataque de feitiços para seus rolos de ataque.\n- Seu familiar adiciona seu bônus de proficiência à sua Classe de Armadura, salvando lançamentos e rolos de dano.\n- Você adiciona duas vezes seu nível de bruxa aos pontos máximos de golpe de seu familiar.
Class/&WitchFamiliarPowerTitle	Familiar
Class/&WitchFeatureSetBurnedCurseDescription	Quase todo o seu corpo foi queimado por chamas arcanas, deixando você com cicatrizes negras impressionantes e brasas de magia que queimam sob a pele. Como resultado, você tem resistência aos danos causados pelo fogo, e sabe que a caneta Produce Flame, que não conta contra seu número total de cancros conhecidos.
Class/&WitchFeatureSetBurnedCurseTitle	Queimadas
Class/&WitchFeatureSetLovelessCurseDescription	Você está amaldiçoado a nunca encontrar o verdadeiro amor. Desmaiado e desinteressado, nem mesmo a magia pode transformar seu coração; como resultado, você é imune a ser encantado.
Class/&WitchFeatureSetLovelessCurseTitle	Loveless
Class/&WitchFeatureSetMaledictionsDescription	Você pode aprender uma série de poderosos encantamentos, conhecidos como Maledições, derivados da mesma magia insidiosa que o amaldiçoou.
Class/&WitchFeatureSetMaledictionsTitle	Maledicções
