ActionAffinity/&DHFeeblemindSpellDescription	Невозможно использовать заклинания
ActionAffinity/&DHFeeblemindSpellTitle	Слабое колдовство
AttributeModifier/&AncientForestAttributeModifierBarkskinDescription	AC установлен на 16
AttributeModifier/&AncientForestAttributeModifierBarkskinTitle	Дубовая кожа
AttributeModifier/&DHFeeblemindChaSpellDescription	Показатель харизмы равен 1
AttributeModifier/&DHFeeblemindChaSpellTitle	Слабая харизма
AttributeModifier/&DHFeeblemindIntSpellDescription	Интеллект равен 1
AttributeModifier/&DHFeeblemindIntSpellTitle	Слабый интеллект
BlueprintCategory/&FlatRoomsTitle	Плоские комнаты
Caption/&GadgetParametersCustomRemoveDescription	Удалять:\n{0}
Class/&ClassMonkDescription	Монахов объединяет их способность волшебным образом использовать энергию, которая течет в их телах. Независимо от того, направлена ​​ли она как поразительное проявление боевой доблести или как более тонкий фокус защитных способностей и скорости, эта энергия наполняет все, что делает монах.
Class/&ClassMonkTitle	Монах [бета]
Class/&ClassWarlockDescription	Чернокнижники — искатели знаний, скрытых в ткани мультивселенной. Благодаря договорам, заключенным с таинственными существами, обладающими сверхъестественной силой, колдуны открывают магические эффекты, как тонкие, так и впечатляющие.
Class/&ClassWarlockTitle	Чернокнижник
Class/&TinkererDescription	Тинкереры — изобретатели, алхимики и многие другие. Они соединяют пространство между магией и технологиями.
Class/&TinkererTitle	мышление
Class/&WitchArmorProficiencyDescription	Легкая броня
Class/&WitchArmorProficiencyTitle	Навыки доспехов ведьмы
Class/&WitchBurnedFireResistanceDescription	Сопротивление огню
Class/&WitchBurnedFireResistanceTitle	Огнестойкость
Class/&WitchBurnedProduceFlameDescription	Мощность пламени сожженной продукции
Class/&WitchBurnedProduceFlameTitle	Произвести пламя
Class/&WitchCacklePowerDescription	Вы можете использовать бонусное действие, чтобы кудахтать. Продолжительность вашего Проклятия увеличивается на 1 раунд за каждое затронутое существо в пределах 60 футов от вас.\nНе все ведьмы маниакально смеются, когда кудахчут, но все кудахтанья требуют словесного компонента, как заклинание. Они варьируются от приземленных проклятий и оскорблений до бормотания мертвых языков и речи задом наперёд.
Class/&WitchCacklePowerTitle	кудахтанье
Class/&WitchDescription	Пораженные зловещим проклятием, ведьмы могут превращать темную магию в проклятия, которые они используют для ослабления противников. Их также сопровождают их фамильяры, верные магические компаньоны, которых они используют для нанесения смертельного удара.
Class/&WitchFamiliarPowerDescription	Вы изучаете заклинание Ведьма-фамильяр, т. е. улучшенное заклинание «Найти фамильяра», и можете использовать его как ритуал без материальных компонентов. Заклинание не засчитывается в число известных вам заклинаний. Заклинание улучшает функцию «Найти фамильяра» следующими способами:\n• Ваш фамильяр совершает свой ход непосредственно перед или после вашего хода в каждом раунде (по вашему выбору).\n• Один раз за ход в качестве действия или бонусного действия вы можете мысленно приказать своему фамильяру использовать его реакцию для совершения одной атаки.\n• Когда вы накладываете заклинание, вы можете передать его через своего фамильяра, как если бы он наложил заклинание, даже если у заклинания нет диапазона касания.\n• Ваш фамильяр может использовать ваш бонус атаки заклинаний для своих бросков атаки.\n• Ваш фамильяр добавляет ваш бонус мастерства к своему Классу Доспеха, спасброскам и броскам урона.\n• Вы добавляете удвоенный уровень ведьмы к максимальному количеству хитов вашего фамильяра.
Class/&WitchFamiliarPowerTitle	Знакомый
Class/&WitchFeatureSetBurnedCurseDescription	Почти все ваше тело было выжжено тайным пламенем, оставив на вас поразительные черные шрамы и угольки магии, горящие под кожей. В результате у вас есть сопротивление урону от огня, и вы знаете колдовство «Производить пламя», которое не засчитывается в общее количество известных вам колдовств.
Class/&WitchFeatureSetBurnedCurseTitle	Сгорел
Class/&WitchFeatureSetLovelessCurseDescription	Ты обречен никогда не найти настоящую любовь. Измученное и недовольное, даже магия не может повернуть ваше сердце; в результате вы невосприимчивы к очарованию
Class/&WitchFeatureSetLovelessCurseTitle	нелюбимый
Class/&WitchFeatureSetRitualCastingDescription	Вы можете разыграть любое заклинание ведьмы, которое вы знаете, как ритуал, если у этого заклинания есть тег «Ритуал».
Class/&WitchFeatureSetRitualCastingTitle	Ритуальный кастинг ведьмы
Class/&WitchFeatureSetVisionsCurseDescription	Вы обречены на ужасные видения будущего, предвещающие смерть ваших друзей, семьи и вас самих. Хотя многие из этих видений являются жестоким обманом, иногда они мрачно точны. Вы можете добавить модификатор Харизмы в дополнение к модификатору Ловкости к броскам инициативы.
Class/&WitchFeatureSetVisionsCurseTitle	Видения
Class/&WitchLovelessCharmImmunityDescription	Иммунитет к очарованию без любви
Class/&WitchLovelessCharmImmunityTitle	Иммунитет к очарованию
Class/&WitchMaledictionAbateDescription	В качестве действия выберите одно существо, которое вы можете видеть в пределах 60 футов от себя, чтобы совершить спасбросок Харизмы. При провале существо не может совершать реакции до конца вашего следующего хода.
Class/&WitchMaledictionAbateTitle	поймать проклятие
Class/&WitchMaledictionApathyDescription	В качестве действия выберите одно существо, которое вы можете видеть в пределах 60 футов от себя, чтобы совершить спасбросок Харизмы. При провале до конца вашего следующего хода существо становится безразличным к одному существу по вашему выбору, к которому оно враждебно. Это безразличие заканчивается, если цель подвергается нападению или повреждению заклинанием существа, к которому она безразлична.
Class/&WitchMaledictionApathyTitle	Апатия
Class/&WitchMaledictionCharmDescription	В качестве действия выберите одно существо, которое вы можете видеть в пределах 60 футов, чтобы совершить спасбросок Мудрости. При провале существо очаровано вами до конца вашего следующего хода.
Class/&WitchMaledictionCharmTitle	Очарование Проклятие
Class/&WitchMaledictionDisorientDescription	В качестве действия выберите одно существо, которое вы можете видеть в пределах 60 футов, чтобы совершить спасбросок Телосложения. При провале всякий раз, когда эта цель совершает бросок атаки до конца вашего следующего хода, она должна бросить d6 и вычесть выпавшее число из броска атаки.
Class/&WitchMaledictionDisorientTitle	Дезориентирующее проклятие
Class/&WitchMaledictionEvilEyeDescription	В качестве действия выберите одно видимое вам существо, которое может видеть вас в пределах 60 футов, чтобы совершить спасбросок Мудрости. При провале существо пугается вас до конца вашего следующего хода.
Class/&WitchMaledictionEvilEyeTitle	Проклятие сглаза
Class/&WitchMaledictionObfuscateDescription	Вы действием создаете туманную сферу радиусом 20 футов с центром на себе. Сфера распространяется по углам, и ее площадь сильно затемнена. Этот эффект длится до конца вашего следующего хода или до тех пор, пока ветер средней или большей скорости (не менее 10 миль в час) не рассеет его.
Class/&WitchMaledictionObfuscateTitle	Затемнение проклятия
Class/&WitchMaledictionPoxDescription	В качестве действия выберите одно существо, которое вы можете видеть в пределах 5 футов, чтобы совершить спасбросок Телосложения. При провале существо становится отравленным до конца вашего следующего хода.
Class/&WitchMaledictionPoxTitle	Оспа Проклятие
Class/&WitchMaledictionRuinDescription	В качестве действия выберите одно существо, которое вы можете видеть в пределах 60 футов, чтобы совершить спасбросок Телосложения. При провале Класс Защиты существа уменьшается на 3, минимум до 10, до конца вашего следующего хода.
Class/&WitchMaledictionRuinTitle	Проклятие руин
Class/&WitchRitualCastingMagicAffinityDescription	Ритуальное сотворение родства
Class/&WitchRitualCastingMagicAffinityTitle	ритуальное литье
Class/&WitchSavingthrowProficiencyDescription	Мудрость, Харизма
Class/&WitchSavingthrowProficiencyTitle	Навыки спасброска ведьмы
Class/&WitchSkillProficiencyDescription	Выберите два из «Магия», «Обман», «Проницательность», «Запугивание», «Убеждение», «Природа» и «Религия».
Class/&WitchSkillProficiencyTitle	Навыки Ведьмы
Class/&WitchSpellcastingDescription	Может использовать заклинания из списка заклинаний Ведьмы.
Class/&WitchSpellcastingTitle	Колдовство Ведьмы
Class/&WitchTitle	Ведьма
Class/&WitchToolProficiencyDescription	Выберите один из наборов травника и набора отравителя.
Class/&WitchToolProficiencyTitle	Владение ведьмовскими инструментами
Class/&WitchVisionsInitiativeDescription	Инициатива Видения
Class/&WitchVisionsInitiativeTitle	Инициатива Видения
Class/&WitchWeaponProficiencyDescription	Простое оружие
Class/&WitchWeaponProficiencyTitle	Мастерство оружия ведьмы
Condition/&AbateDescription	Состояние смягчения
Condition/&AbateTitle	Убавлять
Condition/&AncientForestPhotosynthesisDescription	Вы можете поглощать энергию солнечного света. Пока вы находитесь под прямым ярким светом, вы получаете 2 HP за раунд.
Condition/&AncientForestPhotosynthesisTitle	Фотосинтез
Condition/&AncientForestRootedConditionDescription	Древесные усики растут из ваших ног и впиваются в землю. Ваша скорость становится равной 0, и вы получаете преимущество в любых спасбросках, которые отталкивают вас, притягивают или сбивают с ног. Вы можете использовать запутывание по своему желанию.
Condition/&AncientForestRootedConditionTitle	Укорененный
Condition/&ApathyDescription	Состояние апатии
Condition/&ApathyTitle	Апатия
Condition/&CharmDescription	Состояние очарования
Condition/&CharmTitle	Очарование
Condition/&ClassMonkEmptyBodyConditionDescription	У вас есть сопротивление ко всем видам урона, кроме форсированного урона.
Condition/&ClassMonkEmptyBodyConditionTitle	Пустое тело
Condition/&ClassMonkOpenHandDistractConditionDescription	Не могу реагировать
Condition/&ClassMonkOpenHandDistractConditionTitle	Несосредоточенный
Condition/&ClassMonkStepOfTheWindConditionDescription	Вы можете совершить действие «Отрыв» или «Рывок» в качестве бонусного действия, и расстояние вашего прыжка удвоится за ход.
Condition/&ClassMonkStepOfTheWindConditionTitle	Шаг Ветра
Condition/&ClassMonkTanquilityConditionDescription	Вы совершаете спасброски от заклинаний с преимуществом, а враги атакуют вас с помехой. Удаляется, когда вы атакуете или применяете заклинание.
