ActionAffinity/&DHFeeblemindSpellDescription	No puede lanzar hechizos.
AttributeModifier/&AncientForestAttributeModifierBarkskinDescription	La CA es de 16.
AttributeModifier/&AncientForestAttributeModifierBarkskinTitle	Piel de corteza
AttributeModifier/&DHFeeblemindChaSpellDescription	La puntuaciÃ³n de carisma es igual a 1.
AttributeModifier/&DHFeeblemindChaSpellTitle	Carisma dÃ©bil
AttributeModifier/&DHFeeblemindIntSpellDescription	La puntuaciÃ³n de Inteligencia es igual a 1.
AttributeModifier/&DHFeeblemindIntSpellTitle	Inteligencia dÃ©bil
BlueprintCategory/&FlatRoomsTitle	Habitaciones planas
Caption/&GadgetParametersCustomRemoveDescription	Eliminar:\n{0}.
Class/&ClassMonkDescription	Los monjes estÃ¡n unidos por su capacidad de aprovechar mÃ¡gicamente la energÃ­a que fluye en sus cuerpos. Ya sea canalizada como una muestra llamativa de destreza en el combate o como un foco mÃ¡s sutil de habilidad defensiva y velocidad, esta energÃ­a infunde todo lo que un Monje hace.
Class/&ClassMonkTitle	Monje
Class/&ClassWarlockDescription	Los brujos son buscadores del conocimiento que se esconde en el tejido del multiverso. A travÃ©s de pactos realizados con seres misteriosos de poder sobrenatural, los brujos desbloquean efectos mÃ¡gicos tanto sutiles como espectaculares.
Class/&ClassWarlockTitle	Brujo
Class/&TinkererDescription	Los brujos son inventores, alquimistas y mucho mÃ¡s. Son un puente entre la magia y la tecnologÃ­a.
Class/&TinkererTitle	Tinkerer
Class/&WitchArmorProficiencyDescription	Armadura ligera.
Class/&WitchArmorProficiencyTitle	Proficiencias de la armadura de brujo
Class/&WitchBurnedFireResistanceDescription	Resistencia al fuego quemado.
Class/&WitchBurnedFireResistanceTitle	Resistencia al fuego
Class/&WitchBurnedProduceFlameDescription	Quemado Produce poder de llama.
Class/&WitchBurnedProduceFlameTitle	Producir Llama
Class/&WitchCacklePowerDescription	Puedes usar tu acciÃ³n de bonificaciÃ³n para cacarear. La duraciÃ³n de tu cacareo se extiende 1 asalto por cada criatura afectada en un radio de 60 pies de ti.\nNo todas las brujas se rÃ­en manÃ­acamente cuando cacarean, pero todos los cacareos requieren un componente verbal, como un hechizo. Estos van desde maldiciones e insultos mundanos, hasta el murmullo de lenguas muertas y hablar al revÃ©s.
Class/&WitchCacklePowerTitle	Cacareo
Class/&WitchDescription	Afectadas por una siniestra maldiciÃ³n, las brujas pueden convertir la magia oscura en maldiciones, que utilizan para debilitar a los enemigos. TambiÃ©n van acompaÃ±adas de sus familiares, fieles compaÃ±eros mÃ¡gicos que utilizan para asestar el golpe mortal.
Class/&WitchFamiliarPowerDescription	Aprendes el hechizo Familiar Brujo, es decir, un hechizo mejorado de Encontrar Familiar, y puedes lanzarlo como un ritual sin componentes materiales. El hechizo no cuenta en tu nÃºmero de hechizos conocidos. El hechizo mejora Encontrar Familiar de las siguientes maneras:\n- Tu familiar toma su turno inmediatamente antes o despuÃ©s de tu turno cada ronda (a tu elecciÃ³n).\n- Una vez por turno como una acciÃ³n o una acciÃ³n de bonificaciÃ³n, puedes ordenar mentalmente a tu familiar que use su reacciÃ³n para hacer un ataque. \n- Cuando lanzas un hechizo, puedes lanzarlo a travÃ©s de tu familiar como si Ã©ste lo hubiera hecho, incluso si el hechizo no tiene un alcance de toque. 0]- Tu familiar puede usar tu bonificador de ataque a hechizos para sus tiradas de ataque. 0]- Tu familiar aÃ±ade tu bonificador de competencia a su clase de armadura, tiradas de salvaciÃ³n y tiradas de daÃ±o. 0]- AÃ±ades el doble de tu nivel de brujo a los puntos de golpe mÃ¡ximos de tu familiar.
Class/&WitchFamiliarPowerTitle	Familiar
Class/&WitchFeatureSetBurnedCurseDescription	Casi todo tu cuerpo ha sido abrasado por llamas arcanas, dejÃ¡ndote con llamativas cicatrices negras y ascuas de magia que arden bajo la piel. Como resultado, tienes resistencia al daÃ±o por fuego, y conoces el cantrip Producir llamas, que no cuenta en tu nÃºmero total de cantrips conocidos.
Class/&WitchFeatureSetBurnedCurseTitle	Quemado
Class/&WitchFeatureSetLovelessCurseDescription	EstÃ¡s condenado a no encontrar nunca el amor verdadero. Hastiado y desamparado, ni siquiera la magia puede cambiar tu corazÃ³n; como resultado, eres inmune a los encantos.
Class/&WitchFeatureSetLovelessCurseTitle	Sin amor
Class/&WitchFeatureSetRitualCastingDescription	Puedes lanzar cualquier hechizo de bruja que conozcas como ritual si ese hechizo tiene la etiqueta de ritual.
Class/&WitchFeatureSetRitualCastingTitle	Lanzamiento de rituales de bruja
Class/&WitchFeatureSetVisionsCurseDescription	EstÃ¡s maldito para tener terribles visiones del futuro, presagiando la muerte de tus amigos, tu familia y tÃº mismo. Sin embargo, muchas de estas visiones son crueles engaÃ±os, pero a veces son terriblemente precisas. Puedes aÃ±adir tu modificador de Carisma, ademÃ¡s de tu modificador de Destreza, a tus tiradas de iniciativa.
Class/&WitchFeatureSetVisionsCurseTitle	Visiones
Class/&WitchLovelessCharmImmunityDescription	Inmunidad al Encanto
Class/&WitchLovelessCharmImmunityTitle	Inmunidad al encanto
Class/&WitchMaledictionAbateDescription	Como acciÃ³n, elige una criatura que puedas ver en un radio de 60 pies para hacer una tirada de salvaciÃ³n de Carisma. Si fallas la tirada de salvaciÃ³n, la criatura no puede realizar reacciones hasta el final de tu siguiente turno.
Class/&WitchMaledictionAbateTitle	Abatir la maldiciÃ³n
