ActionAffinity/&DHFeeblemindSpellDescription	Impossibile lanciare incantesimi.
AttributeModifier/&AncientForestAttributeModifierBarkskinDescription	La CA Ã¨ impostata a 16.
AttributeModifier/&AncientForestAttributeModifierBarkskinTitle	Pelle di corteccia
AttributeModifier/&DHFeeblemindChaSpellDescription	Il punteggio di Carisma Ã¨ uguale a 1.
AttributeModifier/&DHFeeblemindChaSpellTitle	Carisma debole
AttributeModifier/&DHFeeblemindIntSpellDescription	Il punteggio di Intelligenza Ã¨ pari a 1.
AttributeModifier/&DHFeeblemindIntSpellTitle	Intelligenza debole
BlueprintCategory/&FlatRoomsTitle	Stanze piatte
Caption/&GadgetParametersCustomRemoveDescription	Rimuovere:\n{0}.
Class/&ClassMonkDescription	I monaci sono uniti dalla capacitÃ  di sfruttare magicamente l'energia che scorre nel loro corpo. Sia che venga incanalata come un'impressionante dimostrazione di abilitÃ  di combattimento o come un piÃ¹ sottile focus di abilitÃ  difensiva e velocitÃ , questa energia infonde tutto ciÃ² che un Monaco fa.
Class/&ClassMonkTitle	Monaco
Class/&ClassWarlockDescription	Gli stregoni sono ricercatori della conoscenza che si cela nel tessuto del multiverso. Grazie a patti stipulati con misteriosi esseri dal potere soprannaturale, gli stregoni sbloccano effetti magici sia sottili che spettacolari.
Class/&ClassWarlockTitle	Stregone
Class/&TinkererDescription	Gli stregoni sono inventori, alchimisti e altro ancora. Fanno da ponte tra la magia e la tecnologia.
Class/&TinkererTitle	Stagnino
Class/&WitchArmorProficiencyDescription	Armatura leggera.
Class/&WitchArmorProficiencyTitle	AbilitÃ  dell'armatura da stregone
Class/&WitchBurnedFireResistanceDescription	Resistenza al fuoco bruciato.
Class/&WitchBurnedFireResistanceTitle	Resistenza al fuoco
Class/&WitchBurnedProduceFlameDescription	Bruciato Potere di produrre fiamme.
Class/&WitchBurnedProduceFlameTitle	Produrre fiamme
Class/&WitchCacklePowerDescription	Potete usare la vostra azione bonus per schiamazzare. La durata della Maledizione si estende di 1 round per ogni creatura colpita entro 60 piedi da voi.\nNon tutte le streghe ridono in modo maniacale quando schiamazzano, ma tutte le risate richiedono una componente verbale, come un incantesimo. Si va dalle banali maledizioni e insulti al mormorio di lingue morte e al parlare al contrario.
Class/&WitchCacklePowerTitle	Gracchiare
Class/&WitchDescription	Afflitte da una sinistra maledizione, le streghe possono trasformare la magia oscura in Maledizioni, che usano per debilitare i nemici. Sono anche accompagnate dai loro famigliari, fedeli compagni magici che usano per sferrare il colpo di grazia.
Class/&WitchFamiliarPowerDescription	Si apprende l'incantesimo Familiare della Strega, ovvero un incantesimo di Trovare Familiare migliorato, e lo si puÃ² lanciare come rituale senza componenti materiali. L'incantesimo non conta nel numero di incantesimi conosciuti. L'incantesimo migliora Trova Familiare nei seguenti modi:\n- Il vostro famiglio compie il suo turno immediatamente prima o dopo il vostro turno ogni round (a vostra scelta).\n- Una volta per turno, come azione o azione bonus, potete comandare mentalmente al vostro famiglio di usare la sua reazione per compiere un attacco. [Quando si lancia un incantesimo, lo si puÃ² lanciare attraverso il proprio famiglio come se fosse lui a lanciarlo, anche se l'incantesimo non ha raggio d'azione al tocco.\n- Il famiglio puÃ² usare il proprio bonus di attacco agli incantesimi per i suoi tiri di attacco.\n- Il famiglio aggiunge il proprio bonus di competenza alla propria Classe Armatura, ai tiri salvezza e ai tiri per i danni.\n- Si aggiunge il doppio del proprio livello da Strega ai punti ferita massimi del famiglio.
Class/&WitchFamiliarPowerTitle	Familiare
Class/&WitchFeatureSetBurnedCurseDescription	Quasi tutto il tuo corpo Ã¨ stato bruciato da fiamme arcane, lasciandoti cicatrici nere e suggestive e braci di magia che bruciano sotto la pelle. Di conseguenza, avete resistenza ai danni da fuoco e conoscete il cantrip Produrre fiamme, che non viene conteggiato nel numero totale di cantrip conosciuti.
Class/&WitchFeatureSetBurnedCurseTitle	Bruciato
Class/&WitchFeatureSetLovelessCurseDescription	Avete la maledizione di non trovare mai il vero amore. Smarrito e disaffezionato, nemmeno la magia puÃ² trasformare il tuo cuore; di conseguenza, sei immune al fascino.
Class/&WitchFeatureSetLovelessCurseTitle	Senza amore
Class/&WitchFeatureSetRitualCastingDescription	Potete lanciare qualsiasi incantesimo da strega che conoscete come rituale, se quell'incantesimo ha l'etichetta rituale.
Class/&WitchFeatureSetRitualCastingTitle	Rituale della Strega
Class/&WitchFeatureSetVisionsCurseDescription	Avete la maledizione di avere terribili visioni del futuro, che preannunciano la morte dei vostri amici, della vostra famiglia e di voi stessi. Per quanto molte di queste visioni siano crudeli inganni, a volte sono tristemente accurate. Puoi aggiungere il tuo modificatore di Carisma, oltre a quello di Destrezza, ai tuoi tiri iniziativa.
Class/&WitchFeatureSetVisionsCurseTitle	Visioni
Class/&WitchLovelessCharmImmunityDescription	ImmunitÃ  agli incantesimi senza amore.
Class/&WitchLovelessCharmImmunityTitle	ImmunitÃ  al fascino
Class/&WitchMaledictionAbateDescription	Come azione, scegliete una creatura che potete vedere entro 60 piedi da voi per effettuare un tiro salvezza di Carisma. Se il tiro salvezza Ã¨ fallito, la creatura non puÃ² compiere reazioni fino alla fine del proprio turno successivo.
Class/&WitchMaledictionAbateTitle	Abbattere maledizione
Class/&WitchMaledictionApathyDescription	Come azione, scegliete una creatura che potete vedere entro 60 piedi da voi per effettuare un tiro salvezza in Carisma. Se il tiro salvezza fallisce, fino alla fine del turno successivo la creatura diventa indifferente nei confronti di una creatura a scelta verso cui Ã¨ ostile. Questa indifferenza termina se il bersaglio viene attaccato o danneggiato da un incantesimo della creatura a cui Ã¨ indifferente.
Class/&WitchMaledictionApathyTitle	Maledizione dell'apatia
Class/&WitchMaledictionCharmDescription	Come azione, scegliete una creatura che potete vedere entro 60 piedi per effettuare un tiro salvezza di Saggezza. Se il tiro salvezza fallisce, la creatura viene ammaliata da voi fino alla fine del vostro turno successivo.
Class/&WitchMaledictionCharmTitle	Incanto Maledizione
Class/&WitchMaledictionDisorientDescription	Come azione, scegliete una creatura che potete vedere entro 60 piedi per effettuare un tiro salvezza di Costituzione. Se il tiro salvezza fallisce, ogni volta che il bersaglio effettua un tiro di attacco prima della fine del vostro prossimo turno, deve tirare un dado e sottrarre il numero tirato dal tiro di attacco.
Class/&WitchMaledictionDisorientTitle	Disorientare Maledizione
Class/&WitchMaledictionEvilEyeDescription	Come azione, scegliete una creatura che potete vedere entro 60 piedi per effettuare un tiro salvezza di Saggezza. Se il tiro salvezza fallisce, la creatura Ã¨ spaventata da voi fino alla fine del vostro prossimo turno.
Class/&WitchMaledictionEvilEyeTitle	Malocchio maligno
Class/&WitchMaledictionObfuscateDescription	Come azione, si crea una sfera di nebbia del raggio di 6 metri centrata su se stessi. La sfera si diffonde intorno agli angoli e la sua area Ã¨ fortemente oscurata. Questo effetto dura fino alla fine del turno successivo o finchÃ© un vento di velocitÃ  moderata o superiore (almeno 10 miglia orarie) non la disperde.
Class/&WitchMaledictionObfuscateTitle	Offuscare maledizione
Class/&WitchMaledictionPoxDescription	Come azione, scegliete una creatura che potete vedere entro un raggio di 2 metri per effettuare un tiro salvezza di Costituzione. Se il tiro salvezza fallisce, la creatura Ã¨ avvelenata fino alla fine del proprio turno successivo.
Class/&WitchMaledictionPoxTitle	Maledizione del veleno
Class/&WitchMaledictionRuinDescription	Come azione, scegliete una creatura che potete vedere entro 60 piedi per effettuare un tiro salvezza di Costituzione. Se il tiro salvezza fallisce, la Classe Armatura della creatura diminuisce di 3, fino a un minimo di 10, fino alla fine del turno successivo.
Class/&WitchMaledictionRuinTitle	Maledizione della rovina
Class/&WitchRitualCastingMagicAffinityDescription	AffinitÃ  di lancio rituale.
Class/&WitchRitualCastingMagicAffinityTitle	Arresto rituale
Class/&WitchSavingthrowProficiencyDescription	Saggezza, Carisma.
Class/&WitchSavingthrowProficiencyTitle	PotenzialitÃ  dei tiri salvezza della strega
Class/&WitchSkillProficiencyDescription	Sceglierne due tra Arcana, Inganno, Intuizione, Intimidazione, Persuasione, Natura e Religione.
Class/&WitchSkillProficiencyTitle	AbilitÃ  da strega
Class/&WitchSpellcastingDescription	PuÃ² lanciare incantesimi dalla lista degli incantesimi delle streghe.
Class/&WitchSpellcastingTitle	Incantesimi della strega
Class/&WitchTitle	Strega
Class/&WitchToolProficiencyDescription	Scegliere uno tra Kit dell'Erborista e Kit dell'Avvelenatore.
Class/&WitchToolProficiencyTitle	Competenze degli strumenti della strega
Class/&WitchVisionsInitiativeDescription	Iniziativa delle visioni.
Class/&WitchVisionsInitiativeTitle	Iniziativa delle visioni
Class/&WitchWeaponProficiencyDescription	Armi semplici.
Class/&WitchWeaponProficiencyTitle	Competenze delle armi da strega
Condition/&AbateDescription	Abbattere le condizioni.
Condition/&AbateTitle	Abbattere
Condition/&AncientForestPhotosynthesisDescription	Si puÃ² assorbire energia dalla luce del sole. Quando si Ã¨ in piena luce, si recuperano 2 HP all'inizio del proprio turno.
Condition/&AncientForestPhotosynthesisTitle	Fotosintesi
Condition/&AncientForestRootedConditionDescription	Dai vostri piedi partono viticci arborei che scavano nel terreno. Si puÃ² lanciare Ingarbugliamento a volontÃ . La velocitÃ  diventa 0 e si ottiene un vantaggio nei tiri salvezza per spingervi, tirarvi o farvi cadere a terra.
Condition/&AncientForestRootedConditionTitle	Radice
Condition/&ApathyDescription	Condizione di apatia.
Condition/&ApathyTitle	Apatia
Condition/&CharmDescription	Condizione di Fascino.
Condition/&CharmTitle	Fascino
Condition/&ClassMonkEmptyBodyConditionDescription	Si ha resistenza a tutti i danni tranne che alla forza.
Condition/&ClassMonkEmptyBodyConditionTitle	Corpo vuoto
Condition/&ClassMonkOpenHandDistractConditionDescription	Non puÃ² utilizzare le reazioni.
Condition/&ClassMonkOpenHandDistractConditionTitle	Distratto
Condition/&ClassMonkStepOfTheWindConditionDescription	Si puÃ² effettuare l'azione Disimpegno o Fuga come azione bonus e la distanza di salto viene raddoppiata per il turno.
Condition/&ClassMonkStepOfTheWindConditionTitle	Passo del vento
