Item/&CEHalberd+1Title	Hellebarde +1
Item/&CEHalberd+1UnidentifiedTitle	Qualität Hellebarde
Item/&CEHalberd+2Title	Hellebarde +2
Item/&CEHalberd+2UnidentifiedTitle	Prächtige Hellebarde
Item/&CEHalberdLightningTitle	Blitzhellebarde
Item/&CEHalberdLightningUnidentifiedTitle	Prächtige Hellebarde
Item/&CEHalberdPrimedTitle	Grundierte Hellebarde
Item/&CEHalberdTitle	Hellebarde
Item/&CEHandXbow+1Title	Handarmbrust +1
Item/&CEHandXbow+1UnidentifiedTitle	Hochwertige Handarmbrust
Item/&CEHandXbow+2Title	Handarmbrust +2
Item/&CEHandXbow+2UnidentifiedTitle	Prächtige Handarmbrust
Item/&CEHandXbowAcidTitle	Säurehaltige Handarmbrust
Item/&CEHandXbowAcidUnidentifiedTitle	Prächtige Handarmbrust
Item/&CEHandXbowPrimedTitle	Grundierte Handarmbrust
Item/&CEHandXbowTitle	Hand-Armbrust
Item/&CELongMace+1Title	Langer Streitkolben +1
Item/&CELongMace+1UnidentifiedTitle	Hochwertiger langer Streitkolben
Item/&CELongMace+2Title	Langer Streitkolben +2
Item/&CELongMace+2UnidentifiedTitle	Herrlicher langer Streitkolben
Item/&CELongMacePrimedTitle	Grundierter langer Streitkolben
Item/&CELongMaceThunderTitle	Donnernder langer Streitkolben
Item/&CELongMaceThunderUnidentifiedTitle	Herrlicher langer Streitkolben
Item/&CELongMaceTitle	Langer Streitkolben
Item/&CEPike+1Title	Hecht +1
Item/&CEPike+1UnidentifiedTitle	Qualitätshecht
Item/&CEPike+2Title	Hecht +2
Item/&CEPike+2UnidentifiedTitle	Prächtiger Hecht
Item/&CEPikePrimedTitle	Grundierter Hecht
Item/&CEPikePsychicTitle	Hellseher Pike
Item/&CEPikePsychicUnidentifiedTitle	Prächtiger Hecht
Item/&CEPikeTitle	Pike
Item/&Handwraps+1Title	Handwickel +1
Item/&Handwraps+1UnidentifiedTitle	Handbandagen von guter Qualität
Item/&Handwraps+2Title	Handwickel +2
Item/&Handwraps+2UnidentifiedTitle	Prächtige Handwickel
Item/&HandwrapsOfForceTitle	Kraftvolle Handwickel
Item/&HandwrapsOfForceUnidentifiedTitle	Prächtige Handwickel
Item/&HandwrapsOfPullingTitle	Handbandagen des Ziehens
Item/&HandwrapsOfPullingUnidentifiedTitle	Prächtige Handwickel
