ActionAffinity/&DHFeeblemindSpellDescription	Kann keine Zauber wirken.
ActionAffinity/&DHFeeblemindSpellTitle	Schwachsinn
AttributeModifier/&AncientForestAttributeModifierBarkskinDescription	AC ist auf 16 eingestellt.
AttributeModifier/&AncientForestAttributeModifierBarkskinTitle	Rindenleder
AttributeModifier/&DHFeeblemindChaSpellDescription	Charismawert wird auf 1 gesetzt.
AttributeModifier/&DHFeeblemindChaSpellTitle	Schwaches Charisma
AttributeModifier/&DHFeeblemindIntSpellDescription	Charismawert wird auf 1 gesetzt.
AttributeModifier/&DHFeeblemindIntSpellTitle	Schwache Intelligenz
BlueprintCategory/&FlatRoomsTitle	Flache Zimmer
Caption/&GadgetParametersCustomRemoveDescription	Entfernen:\n{0}.
Class/&ClassMonkDescription	Mönche sind sich einig in ihrer Fähigkeit, die Energie, die in ihren Körpern fließt, auf magische Weise zu nutzen. Ob als auffällige Demonstration von Kampfstärke oder als subtilerer Fokus auf Verteidigungsfähigkeit und Schnelligkeit kanalisiert, diese Energie durchdringt alles, was ein Mönch tut.
Class/&ClassMonkTitle	Mönch
Class/&ClassWarlockDescription	Hexenmeister sind Sucher des Wissens, das im Gefüge des Multiversums verborgen liegt. Durch Pakte, die mit mysteriösen Wesen mit übernatürlichen Kräften geschlossen werden, entfesseln Warlocks sowohl subtile als auch spektakuläre magische Effekte.
Class/&ClassWarlockTitle	Hexenmeister
Class/&TinkererDescription	Tüftler sind Erfinder, Alchemisten und mehr. Sie überbrücken den Raum zwischen Magie und Technologie.
Class/&TinkererTitle	Denken
Class/&WitchArmorProficiencyDescription	Leichte Rüstung.
Class/&WitchArmorProficiencyTitle	Hexenrüstungskenntnisse
Class/&WitchBurnedFireResistanceDescription	Sie haben Widerstand gegen Feuerschaden.
Class/&WitchBurnedFireResistanceTitle	Verbrannt: Feuerwiderstand
Class/&WitchBurnedProduceFlameDescription	Du kennst die Cantrip Produce Flame, die nicht zu deiner Gesamtzahl bekannter Cantrips zählt.
Class/&WitchBurnedProduceFlameTitle	Verbrannt: Erzeuge Flamme
Class/&WitchCacklePowerDescription	Sie können Ihre Bonusaktion zum Gackern verwenden. Die Dauer deines Fluchs verlängert sich um 1 Runde für jede betroffene Kreatur innerhalb von 60 Fuß von dir.\nNicht alle Hexen lachen wahnsinnig, wenn sie gackern, aber jedes Gackern erfordert eine verbale Komponente als Zauber. Diese reichen von weltlichen Flüchen und Beleidigungen bis hin zum Murmeln toter Sprachen und Rückwärtssprechen.
Class/&WitchCacklePowerTitle	Gackern
