AttributeModifier/&AncientForestAttributeModifierBarkskinDescription	AC ist auf 16 eingestellt.
AttributeModifier/&AncientForestAttributeModifierBarkskinTitle	Rindenleder
Class/&ClassWarlockDescription	Hexenmeister sind Sucher des Wissens, das im Gefüge des Multiversums verborgen liegt. Durch Pakte, die mit mysteriösen Wesen mit übernatürlichen Kräften geschlossen werden, entfesseln Warlocks sowohl subtile als auch spektakuläre magische Effekte.
Class/&ClassWarlockTitle	Hexenmeister
Condition/&AncientForestPhotosynthesisDescription	Sie können Energie aus Sonnenlicht absorbieren. Während Sie sich in direktem hellem Licht befinden, erhalten Sie zu Beginn Ihres Zuges 2 HP zurück.
Condition/&AncientForestPhotosynthesisTitle	Photosynthese
Condition/&AncientForestRootedConditionDescription	Baumranken wachsen aus deinen Füßen und graben sich in den Boden. Du kannst nach Belieben verstricken. Deine Geschwindigkeit wird 0 und du erhältst einen Vorteil bei Rettungswürfen, die dich stoßen, ziehen oder zu Boden werfen.
Condition/&AncientForestRootedConditionTitle	Verwurzelt
Condition/&MoonTouchedConditionDescription	Ihre Schwerkraft wird negiert.
Condition/&MoonTouchedConditionTitle	Mond berührt
Equipment/&HerbalBrewDamageAffinityAcidResistanceDescription	Erhaltet 1 Stunde lang Widerstand gegen Säureschaden.
Equipment/&HerbalBrewDamageAffinityAcidResistanceTitle	Säureschutzgebräu
Equipment/&HerbalBrewDamageAffinityLightningResistanceDescription	Erhaltet 1 Stunde lang Resistenz gegen Blitzschaden.
Equipment/&HerbalBrewDamageAffinityLightningResistanceTitle	Gebräu des Blitzschutzes
Equipment/&HerbalBrewDamageAffinityNecroticResistanceDescription	Erhaltet 1 Stunde lang Resistenz gegen nekrotischen Schaden.
Equipment/&HerbalBrewDamageAffinityNecroticResistanceTitle	Gebräu des nekrotischen Schutzes
Equipment/&HerbalBrewDamageAffinityPoisonResistanceDescription	Erhalte 1 Stunde lang Resistenz gegen Giftschaden.
Equipment/&HerbalBrewDamageAffinityPoisonResistanceTitle	Gebräu des Giftschutzes
Equipment/&HerbalBrewDamageAffinityRadiantResistanceDescription	Erhaltet 1 Stunde lang Resistenz gegen Strahlungsschaden.
Equipment/&HerbalBrewDamageAffinityRadiantResistanceTitle	Gebräu des strahlenden Schutzes
Equipment/&HerbalBrewHealingTitle	Gebräu der Beschleunigung
Equipment/&HerbalBrewToxifyingTitle	Gebräu der Vergiftung
Feat/&MoonlitBonusCantripsDescription	Deine Kontrolle über das Mondlicht hat sich auf ein neues Niveau gesteigert. Du kannst die Zauber Mondstrahl und Feenfeuer nach Belieben wirken.
Feat/&MoonlitBonusCantripsTitle	Lichtsteuerung
Feature/&AdditionalDamageAgonizingBlastDescription	Du addierst deinen Charisma-Modifikator zum ersten Schadenswurf eines Eldritch-Explosionsangriffs.
Feature/&AdditionalDamageAgonizingBlastTitle	Qualvolle Explosion
Feature/&AdditionalDamageHinderingBlastDescription	Wenn du eine Kreatur mit deiner unheimlichen Explosion triffst, kannst du die Geschwindigkeit dieser Kreatur bis zum Ende deines nächsten Zuges um 3 m reduzieren.
Feature/&AdditionalDamageHinderingBlastTitle	Hinderliche Explosion
Feature/&AgonizingBlastDescription	Fügen Sie Ihren Charisma-Modifikator zum Schaden von Eldritch Basts hinzu.
Feature/&AgonizingBlastTitle	Qualvolle Explosion
Feature/&AHSoulBladeEmpowerDamageBonusDescription	Du bist ermächtigt und fügst bei all deinen Angriffen einen Schadensbonus in Höhe deines Könnens zu.
Feature/&AHSoulBladeEmpowerWeaponConditionDescription	Du bist ermächtigt und fügst bei all deinen Angriffen einen Schadensbonus in Höhe deines Könnens zu.
Feature/&AHSoulBladeEmpowerWeaponConditionTitle	Seele ermächtigt
Feature/&AHSoulBladeEmpowerWeaponDamageBonusDescription	Du bist ermächtigt und fügst bei all deinen Angriffen einen Schadensbonus in Höhe deines Könnens zu.
Feature/&AHSoulBladeEmpowerWeaponDamageBonusTitle	Seele ermächtigt
Feature/&AHSoulBladeSummonPactWeaponPowerDescription	Einmal pro kurzer Rast kannst du als Freie Aktion eine spirituelle Form einer Waffe aus deinem Pakt beschwören. Als Bonusaktion kannst du die Waffe wie gewünscht lenken, um deine Feinde anzugreifen. Die Waffe bewegt sich jedes Mal bis zu 20 Fuß, bevor sie zuschlägt.
Feature/&AHSoulBladeSummonPactWeaponPowerTitle	Waffe des spirituellen Pakts
Feature/&AHWarlockClassPactBoonSetDescription	Auf der 3. Stufe verleiht Ihnen Ihr jenseitiger Gönner ein Geschenk für Ihre treuen Dienste. Sie können wählen zwischen:
Feature/&AHWarlockClassPactBoonSetTitle	Pakt Segen
Feature/&AHWarlockClassPactOfTheBladeSetDescription	Sie beherrschen alle Waffen und Ihre Waffenangriffe gelten als magisch.
Feature/&AHWarlockClassPactOfTheBladeSetTitle	Pakt der Klinge
