Item/&CEHalberd+1Title	Halberd +1
Item/&CEHalberd+1UnidentifiedTitle	Quality Halberd
Item/&CEHalberd+2Title	Halberd +2
Item/&CEHalberd+2UnidentifiedTitle	Magnificent Halberd
Item/&CEHalberdLightningTitle	Lightning Halberd 
Item/&CEHalberdLightningUnidentifiedTitle	Magnificent Halberd 
Item/&CEHalberdPrimedTitle	Primed Halberd
Item/&CEHalberdTitle	Halberd
Item/&CEHandXbow+1Title	Hand Crossbow +1
Item/&CEHandXbow+1UnidentifiedTitle	Quality Hand Crossbow
Item/&CEHandXbow+2Title	Hand Crossbow +2
Item/&CEHandXbow+2UnidentifiedTitle	Magnificent Hand Crossbow
Item/&CEHandXbowAcidTitle	Acidic Hand Crossbow
Item/&CEHandXbowAcidUnidentifiedTitle	Magnificent Hand Crossbow
Item/&CEHandXbowPrimedTitle	Primed Hand Crossbow
Item/&CEHandXbowTitle	Hand Crossbow
Item/&CELongMace+1Title	Long Mace +1
Item/&CELongMace+1UnidentifiedTitle	Quality Long Mace
Item/&CELongMace+2Title	Long Mace +2
Item/&CELongMace+2UnidentifiedTitle	Magnificent Long Mace
Item/&CELongMacePrimedTitle	Primed Long Mace
Item/&CELongMaceThunderTitle	Thundering Long Mace
Item/&CELongMaceThunderUnidentifiedTitle	Magnificent Long Mace
Item/&CELongMaceTitle	Long Mace
Item/&CEPike+1Title	Pike +1
Item/&CEPike+1UnidentifiedTitle	Quality Pike
Item/&CEPike+2Title	Pike +2
Item/&CEPike+2UnidentifiedTitle	Magnificent Pike
Item/&CEPikePrimedTitle	Primed Pike
Item/&CEPikePsychicTitle	Psychic Pike
Item/&CEPikePsychicUnidentifiedTitle	Magnificent Pike
Item/&CEPikeTitle	Pike
Item/&Handwraps+1Title	Handwraps +1
Item/&Handwraps+1UnidentifiedTitle	Good Quality Handwraps
Item/&Handwraps+2Title	Handwraps +2
Item/&Handwraps+2UnidentifiedTitle	Magnificent Handwraps
Item/&HandwrapsOfForceTitle	Forceful Handwraps
Item/&HandwrapsOfForceUnidentifiedTitle	Magnificent Handwraps
Item/&HandwrapsOfPullingTitle	Handwraps Of Pulling
Item/&HandwrapsOfPullingUnidentifiedTitle	Magnificent Handwraps
