BlueprintCategory/&FlatRoomsTitle	Flat Rooms
Caption/&GadgetParametersCustomRemoveDescription	Remove:\n{0}.
Condition/&ConditionBarkWardDescription	Protected by the spirits of the forest. Gain 4 temp HP for each level of Druid, lasting 10 minutes.
Condition/&ConditionBarkWardTitle	Bark Ward
Condition/&ConditionDualFlurryApplyDescription	You are building momentum...
Condition/&ConditionDualFlurryApplyTitle	Dual Flurry!
Condition/&ConditionDualFlurryGrantDescription	Your foes are reeling!
Condition/&ConditionDualFlurryGrantTitle	Dual Flurry!
Condition/&ConditionImprovedBarkWardDescription	The spirits of the forest deal 2d8 piercing damage to creatures that hit with a melee attack.
Condition/&ConditionImprovedBarkWardTitle	Improved Bark Ward
Condition/&ConditionMuleDescription	Your speed is not reduced by encumbrance or heavy armor. You can carry 20 additional pounds.
Condition/&ConditionMuleTitle	Mule
Condition/&ConditionSuperiorBarkWardDescription	The spirits of the forest grant poison immunity, and deal 3d8 piercing damage to creatures that hit with a melee attack.
Condition/&ConditionSuperiorBarkWardTitle	Superior Bark Ward
Condition/&EWResonatingStrikeDamageDescription	At 5th level, attacks triggered by this cantrip deals an additional 1d8 thunder damage. The damage further increases by 1d8 at 11th and 17th levels.
Condition/&EWResonatingStrikeDamageTitle	Resonance
Condition/&EWSunlightBladeDamageDescription	At 5th level, attacks triggered by this cantrip deals an additional 1d8 radiant damage. The damage further increases by 1d8 at 11th and 17th levels.
Condition/&EWSunlightBladeDamageTitle	Sunlit Blade's burn
Condition/&HelpActionDescription	This creature has been distracted.
Condition/&HelpActionTitle	Distracted
ContentPack/&CommunityExpansionPackDescription	The Community Expansion pack adds new classes, sub-classes, feats and spells. There's a higher level cap, multi-class, QOL features, bug fixes and more. It's a veritable Horn of Plenty (TM)...
ContentPack/&CommunityExpansionPackTitle	Community Expansion Pack
Failure/&FailureFlagTargetMeleeWeaponError	Can't perform melee attack on this target with current weapon
Feature/&AdditionalActionDualFlurryDescription	You may make an additional off-hand attack.
Feature/&AdditionalActionDualFlurryTitle	Dual Flurry!
Feature/&AdditionalDamageFeatShadySneakAttackDescription	Once per turn, you can deal an extra 1d6 damage to one creature you hit with an attack that meets Rogue's Sneak Attack. At 7th level this damage increases to 2d6 and at 14th level to 3d6. This can stack with Rogue's Sneak Attack.
Feature/&AdditionalDamageFeatShadySneakAttackTitle	Shady Sneak Attack
Feature/&AlwaysBeardDescription	{0}% chances to grow a glorious beard!
Feature/&ArmorofShadowsTitle	Armor of Shadows
Feature/&AscendantStepTitle	Ascendant Step
Feature/&AttributeModifier{0}Description	{0}
Feature/&BarbarianIndomitableMightDescription	If your total for a Strength check is less than your Strength score, you can use that score in place of the total.
Feature/&BarbarianIndomitableMightTitle	Indomitable Might
Feature/&BardSkillsTitle	Bard Skills
Feature/&DeadeyeDescription	Attacking at long range doesn't impose disadvantage on your ranged weapon attack rolls. Your ranged weapons ignore half cover and three-quarters cover. You can choose to take a -5 Bonus penalty to your to hit in order to do a +10 bonus damage.
Feature/&DeadeyeTitle	Deadeye
Feature/&DHConjureMinorElementalsBonusCantripDescription	Your control of elemental energies has increased to the point than you now have dominion over weaker elementals. You can cast conjure minor elemental at will.
Feature/&DHConjureMinorElementalsBonusCantripTitle	Elemental Minions
Feature/&DHHolyAuraBlindingPowerDescription	When a fiend or an undead hits an affected creature with a melee attack, the aura flashes with brilliant light. The attacker must succeed on a Constitution saving throw or be blinded until the spell ends.
Feature/&DHHolyAuraBlindingPowerTitle	Holy Aura Retaliation
Feature/&DHWardingBondBonusCantripDescription	Your control of rift portals has increased to the point than you can now grant the protection of the rift to others. You can cast warding bond at will (without the sharing of damage).
Feature/&DHWardingBondBonusCantripTitle	Rift Cloak
Feature/&DreadfulWordTitle	Dreadful Word
Feature/&DualFlurryDescription	You are a master of fighting with paired weapons. On any turn where you hit twice with melee attacks while wielding a weapon in each hand, you may make an additional off-hand attack.
Feature/&DualFlurryTitle	Dual Flurry
Feature/&EmptyString	
Feature/&FiendishVigorTitle	Fiendish Vigor
Feature/&IndomitableResistanceAddDescription	+1 Indomitable Resistance use between rests.
Feature/&IndomitableResistanceAddTitle	Indomitable Resistance (increased)
Feature/&IndomitableResistanceTitle	Indomitable Resistance
Feature/&MiretheMindTitle	Mire the Mind
Feature/&PowerAttackDescription	Take a -3 to hit penalty to your attack to do 3 + Proficiency Bonus extra damage when you land your strikes with melee weapons.
Feature/&PowerAttackTitle	Power attack
Feature/&PowerPaladinAuraOfCourage18Description	Grant a saving throw bonus to allies within 30ft.
Feature/&PowerPaladinAuraOfCourage18Title	Improved Aura of Courage
Feature/&PowerPaladinAuraOfProtection18Description	You and your allies within 30ft cannot be frightened.
Feature/&PowerPaladinAuraOfProtection18Title	Improved Aura of Protection
Feature/&PowerTorchbearerDescription	Attempt to set a melee target on fire!
Feature/&PowerTorchbearerTitle	Torchbearer
Feature/&PrimalChampionDescription	At 20th level, you embody the power of the wilds. Your Strength and Constitution scores increase by 4.
Feature/&PrimalChampionTitle	Primal Champion
Feature/&ProficiencyRogueBlindSenseDescription	Starting at 14th level, if you are able to hear, you are aware of the location of any hidden or invisible creature within 10 feet of you.
Feature/&ProficiencyRogueBlindSenseTitle	Blindsense
Feature/&ProficiencyRogueSlipperyMindDescription	By 15th level, you have acquired greater mental strength. You gain proficiency in Wisdom saving throws.
Feature/&ProficiencyRogueSlipperyMindTitle	Slippery Mind
Feature/&RageDamageBonusAttackModifierDescription	Add +2 damage to your attacks while raging.
Feature/&RageDamageBonusAttackModifierTitle	Rage damage
Feature/&RageFeatConditionDescription	While in a rage you gain the following: Advantage on Strength checks and Strength saving throws, a bonus to damage rolls of +2, and resistance to bludgeoning, piercing, and slashing damage.
Feature/&RageFeatConditionTitle	Raging
Feature/&RagePowerDescription	As a bonus action, you enter a rage for one minute and gain the following: Advantage on Strength checks and Strength saving throws, a bonus to damage rolls of +2, and resistance to bludgeoning, piercing, and slashing damage.
Feature/&RagePowerTitle	Rage
Feature/&RageStrengthSavingThrowAffinityDescription	You get advantage on Strength saves while raging.
Feature/&RageStrengthSavingThrowAffinityTitle	Rage Strength save advantage
Feature/&RangerFeralSensesDescription	You gain preternatural senses that help you fight creatures you can't see. When you attack a creature you can't see, your inability to see it doesn't impose disadvantage on your attack rolls against it.
