ActionAffinity/&DHFeeblemindSpellDescription	Unable to cast spells.
AttributeModifier/&AncientForestAttributeModifierBarkskinDescription	AC is set to 16.
AttributeModifier/&AncientForestAttributeModifierBarkskinTitle	Barkskin
AttributeModifier/&DHFeeblemindChaSpellDescription	Charisma score is set to 1.
AttributeModifier/&DHFeeblemindChaSpellTitle	Feeble Charisma
AttributeModifier/&DHFeeblemindIntSpellDescription	Charisma score is set to 1.
AttributeModifier/&DHFeeblemindIntSpellTitle	Feeble Intelligence
BlueprintCategory/&FlatRoomsTitle	Flat Rooms
Caption/&GadgetParametersCustomRemoveDescription	Remove:\n{0}.
Class/&ClassMonkDescription	Monks are united in their ability to magically harness the energy that flows in their bodies. Whether channeled as a striking display of combat prowess or a subtler focus of defensive ability and speed, this energy infuses all that a Monk does.
Class/&ClassMonkTitle	Monk
Class/&ClassWarlockDescription	Warlocks are seekers of the knowledge that lies hidden in the fabric of the multiverse. Through pacts made with mysterious beings of supernatural power, warlocks unlock magical effects both subtle and spectacular.
Class/&ClassWarlockTitle	Warlock
Class/&TinkererDescription	Tinkerers are inventors, alchemists, and more. They bridge the space between magic and technology.
Class/&TinkererTitle	Tinkerer
Class/&WitchArmorProficiencyDescription	Light Armor.
Class/&WitchArmorProficiencyTitle	Witch Armor Proficiencies
Class/&WitchBurnedFireResistanceDescription	You have resistance to fire damage.
Class/&WitchBurnedFireResistanceTitle	Burned: Fire Resistance
Class/&WitchBurnedProduceFlameDescription	You know the cantrip Produce Flame, which does not count against your total number of cantrips known.
Class/&WitchBurnedProduceFlameTitle	Burned: Produce Flame
Class/&WitchCacklePowerDescription	You can use your bonus action to cackle. The duration of your Malediction extends by 1 round for each creature affected within 60 feet of you.\nNot all witches laugh maniacally when they cackle, but all cackles require a verbal component, as a spell. These range from mundane curses and insults, to the murmuring of dead languages and speaking backwards.
Class/&WitchCacklePowerTitle	Cackle
Class/&WitchDescription	Afflicted by a sinister curse, witches can spin dark magic into Maledictions, which they use to debilitate foes. They are also accompanied by their familiars, loyal magical companions which they use to deal the killing blow.
