AttributeModifier/&AncientForestAttributeModifierBarkskinDescription	AC is set to 16.
AttributeModifier/&AncientForestAttributeModifierBarkskinTitle	Barkskin
Class/&ClassWarlockDescription	Warlocks are seekers of the knowledge that lies hidden in the fabric of the multiverse. Through pacts made with mysterious beings of supernatural power, warlocks unlock magical effects both subtle and spectacular.
Class/&ClassWarlockTitle	Warlock
Condition/&AncientForestPhotosynthesisDescription	You can absorb energy from sunlight. While you are in direct bright light, you regain 2 HP at the start of your turn.
Condition/&AncientForestPhotosynthesisTitle	Photosynthesis
Condition/&AncientForestRootedConditionDescription	Arboreal tendrils grow from your feet and dig into the ground. You can cast entangle at will. Your speed becomes 0 and you gain advantage on any saving throws to push you, pull you, or knock you prone.
Condition/&AncientForestRootedConditionTitle	Rooted
Condition/&MoonTouchedConditionDescription	Your gravity is negated.
Condition/&MoonTouchedConditionTitle	Moon Touched
Equipment/&HerbalBrewDamageAffinityAcidResistanceDescription	Gain resistance to acid damage for 1 hour.
Equipment/&HerbalBrewDamageAffinityAcidResistanceTitle	Brew of Acid Protection
Equipment/&HerbalBrewDamageAffinityLightningResistanceDescription	Gain resistance to lightning damage for 1 hour.
Equipment/&HerbalBrewDamageAffinityLightningResistanceTitle	Brew of Lightning Protection
Equipment/&HerbalBrewDamageAffinityNecroticResistanceDescription	Gain resistance to necrotic damage for 1 hour.
Equipment/&HerbalBrewDamageAffinityNecroticResistanceTitle	Brew of Necrotic Protection
Equipment/&HerbalBrewDamageAffinityPoisonResistanceDescription	Gain resistance to poison damage for 1 hour.
Equipment/&HerbalBrewDamageAffinityPoisonResistanceTitle	Brew of Poison Protection
Equipment/&HerbalBrewDamageAffinityRadiantResistanceDescription	Gain resistance to radiant damage for 1 hour.
Equipment/&HerbalBrewDamageAffinityRadiantResistanceTitle	Brew of Radiant Protection
Equipment/&HerbalBrewHealingTitle	Brew of Quickening
Equipment/&HerbalBrewToxifyingTitle	Brew of Toxifying
Feat/&MoonlitBonusCantripsDescription	Your control of moon light has increased to a new level. You can cast the spells moonbeam and faerie fire at will.
Feat/&MoonlitBonusCantripsTitle	Light Control
Feature/&AdditionalDamageAgonizingBlastDescription	You add your Charisma modifier to the first damage roll of an eldritch blast attack.
Feature/&AdditionalDamageAgonizingBlastTitle	Agonizing Blast
Feature/&AdditionalDamageHinderingBlastDescription	When you hit a creature with your eldritch blast, you can reduce that creature's speed by 10 feet until the end of your next turn.
Feature/&AdditionalDamageHinderingBlastTitle	Hindering Blast
Feature/&AgonizingBlastDescription	Add your Charisma modifier to the damage of Eldritch Basts.
Feature/&AgonizingBlastTitle	Agonizing Blast
Feature/&AHSoulBladeEmpowerDamageBonusDescription	You are empowered and do a damage bonus equal to your proficiency on all your attacks.
