Item/&CEHalberd+1Title	Alabarda +1
Item/&CEHalberd+1UnidentifiedTitle	Alabarda de calidad
Item/&CEHalberd+2Title	Alabarda +2
Item/&CEHalberd+2UnidentifiedTitle	Alabarda magnífica
Item/&CEHalberdLightningTitle	Alabarda relámpago
Item/&CEHalberdLightningUnidentifiedTitle	Alabarda magnífica
Item/&CEHalberdPrimedTitle	Alabarda imprimada
Item/&CEHalberdTitle	Alabarda
Item/&CEHandXbow+1Title	Ballesta de mano +1
Item/&CEHandXbow+1UnidentifiedTitle	Ballesta de mano de calidad
Item/&CEHandXbow+2Title	Ballesta de mano +2
Item/&CEHandXbow+2UnidentifiedTitle	Ballesta de mano magnífica
Item/&CEHandXbowAcidTitle	Ballesta de mano ácida
Item/&CEHandXbowAcidUnidentifiedTitle	Ballesta de mano magnífica
Item/&CEHandXbowPrimedTitle	Ballesta de mano imprimada
Item/&CEHandXbowTitle	ballesta de mano
Item/&CELongMace+1Title	Maza larga +1
Item/&CELongMace+1UnidentifiedTitle	Maza larga de calidad
Item/&CELongMace+2Title	Maza larga +2
Item/&CELongMace+2UnidentifiedTitle	Maza larga magnífica
Item/&CELongMacePrimedTitle	Maza larga imprimada
Item/&CELongMaceThunderTitle	Maza larga atronadora
Item/&CELongMaceThunderUnidentifiedTitle	Maza larga magnífica
Item/&CELongMaceTitle	Maza larga
Item/&CEPike+1Title	lucio +1
Item/&CEPike+1UnidentifiedTitle	Lucio de calidad
Item/&CEPike+2Title	Lucio +2
Item/&CEPike+2UnidentifiedTitle	Lucio magnífico
Item/&CEPikePrimedTitle	Lucio imprimado
Item/&CEPikePsychicTitle	Lucio psíquico
Item/&CEPikePsychicUnidentifiedTitle	Lucio magnífico
Item/&CEPikeTitle	Lucio
Item/&Handwraps+1Title	Vendas de manos +1
Item/&Handwraps+1UnidentifiedTitle	Vendas de buena calidad.
Item/&Handwraps+2Title	Vendajes +2
Item/&Handwraps+2UnidentifiedTitle	Manijas magníficas
Item/&HandwrapsOfForceTitle	Vendajes contundentes
Item/&HandwrapsOfForceUnidentifiedTitle	Manijas magníficas
Item/&HandwrapsOfPullingTitle	Vendas de tirar
Item/&HandwrapsOfPullingUnidentifiedTitle	Manijas magníficas
