ModUi/&AddAllToStore	Añadir todo a la tienda
ModUi/&AddBleedingToLesserRestoration	Añade la condición <color=#FFA500>Sangrado</color> a las condiciones eliminadas por <color=#FFA500>Restauración mayor y menor</color>
ModUi/&AddHelpActionToAllRaces	Añadir la acción <color=#FFA500>Ayuda</color> a todas las razas
ModUi/&AddNewWeaponsAndRecipesToShops	Añade nuevas armas y recetas a las tiendas <i><color=#FFFF00>[envolturas de mano, alabardas, picas, mazas largas, ballestas de mano]</color></i> <b><i><color=#C04040E0>[Requiere reinicio]</color></i></b>.
ModUi/&AddPickpocketableLoot	Añadir botín carterista <i><color=#FFFF00>[sugerido si la hazaña <color=#FFA500>Carterista</color> está activada]</color></i>
ModUi/&AddToStore	Añadir a la tienda
ModUi/&Advanced	<color=#FFFF00>Avanzado:</color>
ModUi/&AdvancedHelp	. <b><color=#C04040E0>ATENCIÓN:</color></b> Este ajuste requerirá que el jugador tenga instalado este mod.
ModUi/&Adventure	<color=#FFFF00>Aventura:</color>
ModUi/&AllItemInDm	Todos los objetos en DM
ModUi/&AllowAnyClassToWearSylvanArmor	Permitir a cualquier clase llevar armadura sylvan o ropa lightbringer
ModUi/&AllowDruidToWearMetalArmor	Permitir a los <color=#FFA500>Druidas</color> llevar armaduras metálicas
ModUi/&AllowDungeonsMaxLevel20	Permitir mazmorras con nivel máximo 20 <b><i><color=#C04040E0>[Requiere reinicio]</color></i></b>
ModUi/&AllowGadgetsAndPropsToBePlacedAnywhere	Permitir que los artilugios y los accesorios se coloquen en cualquier lugar del mapa <i><color=#FFFF00>[pulsar <color=#00FFFF>CTRL</color> durante la colocación para saltarse cualquier comprobación]</color></i>
ModUi/&AllowStackedMaterialComponent	Permitir componente de material apilado <i><color=#FFFF00>[por ejemplo, 2x500gp de diamante equivale a 1000gp de diamante]</color></i>
ModUi/&AllowTargetingSelectionWhenCastingChainLightningSpell	Permitir la selección del objetivo al lanzar el hechizo <color=#FFA500>Rayo de cadena</color>.
ModUi/&AllowUnmarkedSorcerers	Permitir que los <color=#FFA500>Hechiceros</color> no estén marcados
ModUi/&AllRecipesInDm	Todas las recetas en DM
ModUi/&AltOnlyHighlightItemsInPartyFieldOfView	<color=#00FFFF>ALT</color> tecla sólo resaltar los artilugios en el campo de visión del grupo <i><color=#FFFF00>[sólo en mazmorras personalizadas]</color></i>
ModUi/&Ammunition	<color=#FFFF00>Munición</color>
ModUi/&Armor	<color=#FFFF00>Armadura</color>
ModUi/&AutoPauseOnVictory	Poner en pausa la interfaz de usuario cuando se sale victorioso de una batalla
ModUi/&Basic	<color=#FFFF00>Básico:</color>
ModUi/&Battle	<color=#FFFF00>Batalla:</color>
ModUi/&Bestiary	Bestiario
ModUi/&BestowCurseNoConcentrationRequiredForSlotLevel5OrAbove	<color=#FFA500>Bestow Curse</color> no requiere concentración cuando se lanza con una ranura de hechizo L5+.
ModUi/&BlindedConditionDontAllowAttackOfOpportunity	<color=#FFA500>La condición Cegado</color> no permite el ataque de oportunidad
ModUi/&Blueprints	Planos
ModUi/&Campaigns	<color=yellow>Campañas:</color>
ModUi/&CampaignsAndLocations	<color=#FFFF00>Campañas y localizaciones:</color>
ModUi/&Character	Personaje
ModUi/&CharactersPool	Fondo de personajes
ModUi/&Classes	<color=#FFFF00>Clases</color>
ModUi/&Crafting	<color=#FFFF00>Artesanía:</color>
ModUi/&CraftingHelp	. Pulsa el botón para aprender recetas al instante en la party\n activa. Los objetos añadidos a los almacenes pueden necesitar que el grupo se aleje de la ubicación y regrese.
ModUi/&Credits	Créditos
ModUi/&CreditsAndDiagnostics	Créditos y diagnósticos
ModUi/&DisableAutoEquip	Desactivar el auto-equipamiento de objetos en el inventario
ModUi/&DisableSenseDarkVisionFromAllRaces	Desactivar <color=#FFA500>Visión Oscura</color> de todas las razas <b><i><color=#C04040E0>[Requiere Reinicio]</color></i></b>
ModUi/&DisableSenseSuperiorDarkVisionFromAllRaces	Desactivar <color=#FFA500>Visión oscura superior</color> de todas las razas <b><i><color=#C04040E0>[Requiere reinicio]</color></i></b>
ModUi/&DisplayAllKnownSpellsDuringLevelUp	Mostrar todos los hechizos conocidos de otras clases durante la subida de nivel
ModUi/&DontFollowCharacterInBattle	La cámara de batalla no sigue cuando el personaje ya está en pantalla
ModUi/&DontFollowMargin	<i><color=#FFFFFF>+ A menos que el héroe esté fuera o dentro de un % del borde de la pantalla</color></i>
ModUi/&DungeonMaker	<color=#FFFF00>Hacer mazmorras:</color>
ModUi/&DungeonMakerBasicHelp	. Estos ajustes no requieren que el jugador tenga instalado este mod\n. Puedes incrustar cualquier variable de campaña en tus diálogos, descripciones, etc.\n. CE las sustituirá por su valor durante el juego <i><color=#FFFF00>[es decir: ¡Hola {Salute} Héroe!]</color></i>.
ModUi/&DungeonMakerMenu	Creador de mazmorras
ModUi/&EmpressGarbAppearance	<color=#FFA500>Empress Garb</color> apariencia
ModUi/&EnableAdditionalIconsOnLevelMap	Habilitar iconos adicionales para campamentos, salidas y teletransportadores en el mapa de niveles
ModUi/&EnableAdditionalItemsInDungeonMaker	<i>+ Añadir nuevos objetos a Dungeon Maker</i>
ModUi/&EnableAlternateHuman	Habilitar el humano alternativo <i><color=#FFFF00>[+1 hazaña / +2 opciones de atributos / +1 habilidad]</color></i>
