BlueprintCategory/&FlatRoomsTitle	Habitaciones planas
Caption/&GadgetParametersCustomRemoveDescription	Remover:\n{0}.
Condition/&ConditionBarkWardDescription	Protegido por los espíritus del bosque. Gana 4 HP temporales por cada nivel de Druida, con una duración de 10 minutos.
Condition/&ConditionBarkWardTitle	Guardián de la corteza
Condition/&ConditionDualFlurryApplyDescription	Estás ganando impulso...
Condition/&ConditionDualFlurryApplyTitle	¡Ráfaga dual!
Condition/&ConditionDualFlurryGrantDescription	¡Tus enemigos están tambaleándose!
Condition/&ConditionDualFlurryGrantTitle	¡Ráfaga dual!
Condition/&ConditionImprovedBarkWardDescription	Los espíritus del bosque infligen 2d8 de daño perforante a las criaturas que golpean con un ataque cuerpo a cuerpo.
Condition/&ConditionImprovedBarkWardTitle	Guardián de ladridos mejorado
Condition/&ConditionMuleDescription	Tu velocidad no se ve reducida por estorbos o armaduras pesadas. Puedes llevar 20 libras adicionales.
Condition/&ConditionMuleTitle	Mula
Condition/&ConditionSuperiorBarkWardDescription	Los espíritus del bosque otorgan inmunidad al veneno e infligen 3d8 de daño perforante a las criaturas que golpean con un ataque cuerpo a cuerpo.
Condition/&ConditionSuperiorBarkWardTitle	Guardián de corteza superior
Condition/&EWResonatingStrikeDamageDescription	A nivel 5, los ataques provocados por este cantrip infligen 1d8 de daño de trueno adicional. El daño aumenta aún más en 1d8 en los niveles 11 y 17.
Condition/&EWResonatingStrikeDamageTitle	Resonancia
Condition/&EWSunlightBladeDamageDescription	A nivel 5, los ataques provocados por este cantrip infligen 1d8 de daño radiante adicional. El daño aumenta aún más en 1d8 en los niveles 11 y 17.
Condition/&EWSunlightBladeDamageTitle	Quemadura de Sunlit Blade
Condition/&HelpActionDescription	Esta criatura se ha distraído.
Condition/&HelpActionTitle	Distraído
ContentPack/&CommunityExpansionPackDescription	El paquete Community Expansion agrega nuevas clases, subclases, dotes y hechizos. Hay un límite de nivel más alto, varias clases, funciones de QOL, correcciones de errores y más. Es un verdadero Cuerno de la Abundancia (TM)...
ContentPack/&CommunityExpansionPackTitle	Paquete de expansión de la comunidad
Failure/&FailureFlagTargetMeleeWeaponError	No se puede realizar un ataque cuerpo a cuerpo en este objetivo con el arma actual
Feature/&AdditionalActionDualFlurryDescription	Puedes realizar un ataque adicional con la mano torpe.
Feature/&AdditionalActionDualFlurryTitle	¡Ráfaga dual!
Feature/&AdditionalDamageFeatShadySneakAttackDescription	Una vez por turno, puedes infligir 1d6 de daño adicional a una criatura que golpees con un ataque que se encuentre con el Ataque furtivo de Rogue. En el nivel 7 este daño aumenta a 2d6 y en el nivel 14 a 3d6. Esto puede acumularse con el ataque furtivo de Rogue.
Feature/&AdditionalDamageFeatShadySneakAttackTitle	Ataque furtivo sombrío
Feature/&AlwaysBeardDescription	¡{0}% de posibilidades de dejarse crecer una barba gloriosa!
Feature/&ArmorofShadowsTitle	Armadura de sombras
Feature/&AscendantStepTitle	Paso ascendente
Feature/&AttributeModifier{0}Description	{0}
Feature/&BarbarianIndomitableMightDescription	Si su total para una prueba de Fuerza es menor que su puntaje de Fuerza, puede usar ese puntaje en lugar del total.
Feature/&BarbarianIndomitableMightTitle	Poder indomable
Feature/&BardSkillsTitle	Habilidades de bardo
Feature/&DeadeyeDescription	Atacar a larga distancia no supone una desventaja en las tiradas de ataque con armas a distancia. Tus armas a distancia ignoran la media cobertura y la cobertura de tres cuartos. Puedes elegir recibir una penalización de bonificación de -5 a tu golpe para hacer un daño de bonificación de +10.
Feature/&DeadeyeTitle	Vigota
Feature/&DHConjureMinorElementalsBonusCantripDescription	Tu control de las energías elementales ha aumentado hasta el punto de que ahora tienes dominio sobre los elementales más débiles. Puedes lanzar conjurar elemental menor a voluntad.
Feature/&DHConjureMinorElementalsBonusCantripTitle	Esbirros elementales
Feature/&DHHolyAuraBlindingPowerDescription	Cuando un demonio o un no-muerto golpea a una criatura afectada con un ataque cuerpo a cuerpo, el aura destella con una luz brillante. El atacante debe tener éxito en una tirada de salvación de Constitución o quedar cegado hasta que termine el conjuro.
Feature/&DHHolyAuraBlindingPowerTitle	Represalia del aura sagrada
Feature/&DHWardingBondBonusCantripDescription	Tu control de los portales de grietas ha aumentado hasta el punto de que ahora puedes otorgar la protección de la grieta a otros. Puedes lanzar un vínculo de protección a voluntad (sin compartir el daño).
Feature/&DHWardingBondBonusCantripTitle	Capa de grieta
Feature/&DreadfulWordTitle	palabra terrible
Feature/&DualFlurryDescription	Eres un maestro de la lucha con armas combinadas. En cualquier turno en el que golpees dos veces con ataques cuerpo a cuerpo mientras empuñas un arma en cada mano, puedes realizar un ataque adicional con la mano izquierda.
Feature/&DualFlurryTitle	ráfaga dual
Feature/&EmptyString	VACÍO
Feature/&FiendishVigorTitle	Vigor diabólico
Feature/&IndomitableResistanceAddDescription	+1 uso de Resistencia Indomable entre descansos.
Feature/&IndomitableResistanceAddTitle	Resistencia indomable (aumentada)
Feature/&IndomitableResistanceTitle	Resistencia Indomable
Feature/&MiretheMindTitle	Mire la mente
Feature/&PowerAttackDescription	Recibe una penalización de -3 para golpear a tu ataque para hacer 3 + bonificación de competencia de daño adicional cuando lanzas tus golpes con armas cuerpo a cuerpo.
Feature/&PowerAttackTitle	Ataque de poder
Feature/&PowerPaladinAuraOfCourage18Description	Otorga una bonificación de tiro de salvación a los aliados dentro de los 30 pies.
Feature/&PowerPaladinAuraOfCourage18Title	Aura de coraje mejorada
Feature/&PowerPaladinAuraOfProtection18Description	Usted y sus aliados dentro de los 30 pies no pueden asustarse.
Feature/&PowerPaladinAuraOfProtection18Title	Aura de protección mejorada
Feature/&PowerTorchbearerDescription	¡Intenta prender fuego a un objetivo cuerpo a cuerpo!
Feature/&PowerTorchbearerTitle	portador de la antorcha
Feature/&PrimalChampionDescription	En el nivel 20, encarnas el poder de la naturaleza. Tus puntuaciones de Fuerza y ​​Constitución aumentan en 4.
Feature/&PrimalChampionTitle	Campeón primigenio
Feature/&ProficiencyRogueBlindSenseDescription	A partir del nivel 14, si eres capaz de oír, eres consciente de la ubicación de cualquier criatura oculta o invisible a 10 pies de ti.
Feature/&ProficiencyRogueBlindSenseTitle	sentido ciego
Feature/&ProficiencyRogueSlipperyMindDescription	Para el nivel 15, habrás adquirido mayor fuerza mental. Obtienes competencia en las tiradas de salvación de Sabiduría.
Feature/&ProficiencyRogueSlipperyMindTitle	Mente resbaladiza
Feature/&RageDamageBonusAttackModifierDescription	Añade +2 de daño a tus ataques mientras estás en furia.
Feature/&RageDamageBonusAttackModifierTitle	Daño de rabia
Feature/&RageFeatConditionDescription	Mientras estás furioso, obtienes lo siguiente: Ventaja en las pruebas de Fuerza y ​​en las tiradas de salvación de Fuerza, una bonificación a las tiradas de daño de +2 y resistencia al daño contundente, perforante y cortante.
Feature/&RageFeatConditionTitle	Furioso
Feature/&RagePowerDescription	Como acción adicional, entras en furia durante un minuto y obtienes lo siguiente: Ventaja en las pruebas de Fuerza y ​​tiradas de salvación de Fuerza, una bonificación a las tiradas de daño de +2 y resistencia al daño contundente, perforante y cortante.
Feature/&RagePowerTitle	Rabia
Feature/&RageStrengthSavingThrowAffinityDescription	Obtienes ventaja en las salvaciones de Fuerza mientras estás en furia.
Feature/&RageStrengthSavingThrowAffinityTitle	Ventaja de salvación de fuerza de ira
Feature/&RangerFeralSensesDescription	Obtienes sentidos sobrenaturales que te ayudan a luchar contra criaturas que no puedes ver. Cuando atacas a una criatura que no puedes ver, tu incapacidad para verla no supone una desventaja en tus tiradas de ataque contra ella.
Feature/&RangerFeralSensesTitle	Sentidos salvajes
Feature/&RangerVanishActionDescription	A partir del nivel 14, puedes usar la acción Esconderse como acción adicional en tu turno.
Feature/&RangerVanishActionTitle	Desaparecer
Feature/&SignofIllOmenTitle	Signo de mal presagio
Feature/&TrickstersEscapeTitle	Escape del tramposo
Feature/&ZSPowerPaladinCleansingTouchDescription	Elimina los efectos de los hechizos tocando a un aliado. Puedes hacer esto un número de veces al día igual a tu modificador de Carisma.
Feature/&ZSPowerPaladinCleansingTouchTitle	Toque Limpiador
Feedback/&AdditionalDamageBlindingWeaponStrikeFormat	Arma cegadora
Feedback/&AdditionalDamageBlindingWeaponStrikeLine	Daño adicional y tratando de aplicar Ceguera de Arma cegadora
Feedback/&AdditionalDamageElementalDamageFormat	Daño Elemental
Feedback/&AdditionalDamageElementalDamageLine	La forma elemental otorga daño adicional
Feedback/&AdditionalDamageResonatingStrikeFormat	¡Golpe resonante!
Feedback/&AdditionalDamageResonatingStrikeLine	¡{0} resuena {1}! (+{2})
Feedback/&AdditionalDamageSoulEmpoweredFormat	¡Alma empoderada!
Feedback/&AdditionalDamageSoulEmpoweredLine	¡Soul Empowered hace daño adicional!
Feedback/&AdditionalDamageSunlightBladeFormat	¡Hoja iluminada por el sol!
Feedback/&AdditionalDamageSunlightBladeLine	¡{0} quema {1} con Sunlit Blade! (+{2})
Feedback/&AdditionalDamageUpgradedConstructFormat	Daño mejorado
Feedback/&AdditionalDamageUpgradedConstructLine	La construcción mejorada inflige 1d8 más de daño por golpe.
Feedback/&ExtraDamageDescription	Daño adicional de Lightning Spear.
Feedback/&ExtraDamageTitle	Daño adicional de Lightning Spear
