ActionAffinity/&DHFeeblemindSpellDescription	Incapaz de lanzar hechizos.
ActionAffinity/&DHFeeblemindSpellTitle	Débil mental
AttributeModifier/&AncientForestAttributeModifierBarkskinDescription	AC está configurado en 16.
AttributeModifier/&AncientForestAttributeModifierBarkskinTitle	piel de corteza
AttributeModifier/&DHFeeblemindChaSpellDescription	La puntuación de carisma se establece en 1.
AttributeModifier/&DHFeeblemindChaSpellTitle	carisma débil
AttributeModifier/&DHFeeblemindIntSpellDescription	La puntuación de carisma se establece en 1.
AttributeModifier/&DHFeeblemindIntSpellTitle	Inteligencia débil
BlueprintCategory/&FlatRoomsTitle	Habitaciones planas
Caption/&GadgetParametersCustomRemoveDescription	Remover:\n{0}.
Class/&ClassMonkDescription	Los monjes están unidos en su capacidad de aprovechar mágicamente la energía que fluye en sus cuerpos. Ya sea que se canalice como una demostración sorprendente de destreza en el combate o como un enfoque más sutil de habilidad defensiva y velocidad, esta energía infunde todo lo que hace un Monje.
Class/&ClassMonkTitle	Monje
Class/&ClassWarlockDescription	Los brujos son buscadores del conocimiento que se encuentra oculto en el tejido del multiverso. A través de pactos hechos con seres misteriosos de poder sobrenatural, los brujos desbloquean efectos mágicos tanto sutiles como espectaculares.
Class/&ClassWarlockTitle	Brujo
Class/&TinkererDescription	Los tinkerers son inventores, alquimistas y más. Ellos unen el espacio entre la magia y la tecnología.
Class/&TinkererTitle	Pensamiento
Class/&WitchArmorProficiencyDescription	Armadura ligera.
Class/&WitchArmorProficiencyTitle	Competencias de armadura de bruja
Class/&WitchBurnedFireResistanceDescription	Tienes resistencia al daño por fuego.
Class/&WitchBurnedFireResistanceTitle	Quemado: Resistencia al fuego
Class/&WitchBurnedProduceFlameDescription	Conoces el cantrip Produce Flame, que no cuenta en tu número total de cantrips conocidos.
Class/&WitchBurnedProduceFlameTitle	Quemado: Producir Llama
Class/&WitchCacklePowerDescription	Puedes usar tu acción adicional para reírte. La duración de tu Maldición se extiende 1 asalto por cada criatura afectada dentro de los 60 pies de ti.\nNo todas las brujas se ríen como maníacas cuando cacarean, pero todas las carcajadas requieren un componente verbal, como un hechizo. Estos van desde maldiciones e insultos mundanos, hasta el murmullo de lenguas muertas y hablar al revés.
Class/&WitchCacklePowerTitle	Cacareo
Class/&WitchDescription	Afligidas por una maldición siniestra, las brujas pueden convertir la magia oscura en maldiciones, que usan para debilitar a los enemigos. También están acompañados por sus familiares, leales compañeros mágicos que utilizan para asestar el golpe mortal.
