AttributeModifier/&AncientForestAttributeModifierBarkskinDescription	AC está configurado en 16.
AttributeModifier/&AncientForestAttributeModifierBarkskinTitle	piel de corteza
Class/&ClassWarlockDescription	Los brujos son buscadores del conocimiento que se encuentra oculto en el tejido del multiverso. A través de pactos hechos con seres misteriosos de poder sobrenatural, los brujos desbloquean efectos mágicos tanto sutiles como espectaculares.
Class/&ClassWarlockTitle	Brujo
Condition/&AncientForestPhotosynthesisDescription	Puede absorber energía de la luz solar. Mientras estás bajo la luz brillante directa, recuperas 2 HP al comienzo de tu turno.
Condition/&AncientForestPhotosynthesisTitle	Fotosíntesis
Condition/&AncientForestRootedConditionDescription	Los zarcillos arbóreos crecen de tus pies y se clavan en el suelo. Puedes lanzar enredar a voluntad. Tu velocidad se convierte en 0 y obtienes ventaja en cualquier tirada de salvación para empujarte, jalarte o derribarte.
Condition/&AncientForestRootedConditionTitle	Arraigado
Condition/&MoonTouchedConditionDescription	Su gravedad es negada.
Condition/&MoonTouchedConditionTitle	luna tocada
Equipment/&HerbalBrewDamageAffinityAcidResistanceDescription	Gana resistencia al daño por ácido durante 1 hora.
Equipment/&HerbalBrewDamageAffinityAcidResistanceTitle	Brebaje de protección ácida
Equipment/&HerbalBrewDamageAffinityLightningResistanceDescription	Obtienes resistencia al daño por rayos durante 1 hora.
Equipment/&HerbalBrewDamageAffinityLightningResistanceTitle	Brebaje de protección contra rayos
Equipment/&HerbalBrewDamageAffinityNecroticResistanceDescription	Gana resistencia al daño necrótico durante 1 hora.
Equipment/&HerbalBrewDamageAffinityNecroticResistanceTitle	Brebaje de protección necrótica
Equipment/&HerbalBrewDamageAffinityPoisonResistanceDescription	Gana resistencia al daño por veneno durante 1 hora.
Equipment/&HerbalBrewDamageAffinityPoisonResistanceTitle	Brebaje de protección contra el veneno
Equipment/&HerbalBrewDamageAffinityRadiantResistanceDescription	Obtienes resistencia al daño radiante durante 1 hora.
Equipment/&HerbalBrewDamageAffinityRadiantResistanceTitle	Brebaje de protección radiante
Equipment/&HerbalBrewHealingTitle	Brebaje de aceleración
Equipment/&HerbalBrewToxifyingTitle	Brebaje de intoxicación
Feat/&MoonlitBonusCantripsDescription	Tu control de la luz de la luna ha aumentado a un nuevo nivel. Puedes lanzar los hechizos rayo de luna y fuego de hadas a voluntad.
Feat/&MoonlitBonusCantripsTitle	Control de luz
Feature/&AdditionalDamageAgonizingBlastDescription	Agregas tu modificador de Carisma a la primera tirada de daño de un ataque explosivo sobrenatural.
Feature/&AdditionalDamageAgonizingBlastTitle	Explosión agonizante
Feature/&AdditionalDamageHinderingBlastDescription	Cuando golpeas a una criatura con tu explosión sobrenatural, puedes reducir la velocidad de esa criatura en 10 pies hasta el final de tu próximo turno.
Feature/&AdditionalDamageHinderingBlastTitle	Explosión obstaculizadora
Feature/&AgonizingBlastDescription	Agrega tu modificador de Carisma al daño de Eldritch Basts.
Feature/&AgonizingBlastTitle	Explosión agonizante
Feature/&AHSoulBladeEmpowerDamageBonusDescription	Tienes poder y haces una bonificación de daño igual a tu competencia en todos tus ataques.
Feature/&AHSoulBladeEmpowerWeaponConditionDescription	Tienes poder y haces una bonificación de daño igual a tu competencia en todos tus ataques.
Feature/&AHSoulBladeEmpowerWeaponConditionTitle	alma empoderada
Feature/&AHSoulBladeEmpowerWeaponDamageBonusDescription	Tienes poder y haces una bonificación de daño igual a tu competencia en todos tus ataques.
Feature/&AHSoulBladeEmpowerWeaponDamageBonusTitle	alma empoderada
Feature/&AHSoulBladeSummonPactWeaponPowerDescription	Una vez por breve descanso puedes invocar una forma espiritual de un arma de tu pacto como acción gratuita. Como acción adicional, puedes dirigir el arma como desees para atacar a tus enemigos. El arma se mueve hasta 20 pies cada vez antes de golpear.
Feature/&AHSoulBladeSummonPactWeaponPowerTitle	Arma del Pacto Espiritual
Feature/&AHWarlockClassPactBoonSetDescription	En el 3er nivel, tu patrón de otro mundo te otorga un regalo por tu leal servicio. Puedes elegir entre:
Feature/&AHWarlockClassPactBoonSetTitle	bendición del pacto
Feature/&AHWarlockClassPactOfTheBladeSetDescription	Te vuelves competente con todas las armas y tus ataques con armas se consideran mágicos.
Feature/&AHWarlockClassPactOfTheBladeSetTitle	Pacto de la Espada
Feature/&AHWarlockSoulBladePactEmpowerWeaponPowerDescription	Una vez por descanso prolongado puedes potenciar un arma con el poder de las almas. Esa arma usa el modificador Carisma para las tiradas de ataque y daño y cuenta como mágica hasta un descanso prolongado.
Feature/&AHWarlockSoulBladePactEmpowerWeaponPowerTitle	Empoderamiento del alma
Feature/&AHWarlockSoulBladePactExtendedSpellListDescription	La hoja del alma te permite elegir entre una lista ampliada de hechizos cuando aprendes un hechizo de brujo. Los siguientes hechizos se agregan a la lista de hechizos de Warlock para ti: {0}
Feature/&AHWarlockSoulBladePactExtendedSpellListTitle	Hechizos de hoja de alma
Feature/&AHWarlockSoulBladePactSoulShieldPowerDescription	Una vez por breve descanso, usas el poder de las almas para defenderte. Usando una acción de bonificación, obtienes hp temporales iguales a tu nivel + modificador de Carisma.
Feature/&AHWarlockSoulBladePactSoulShieldPowerTitle	Escudo del alma
Feature/&AncientForestExpandedSpelllistAfinityDescription	Eliges de una lista ampliada de hechizos cuando aprendes un hechizo de brujo. Los siguientes hechizos se agregan a la lista de hechizos de Warlock para ti: {0}
Feature/&AncientForestExpandedSpelllistAfinityTitle	Hechizos del Bosque Antiguo
Feature/&AncientForestLightAffinityDescription	Puede absorber energía de la luz solar. Mientras estás bajo la luz brillante directa, ganas 2 HP por ronda.
Feature/&AncientForestLightAffinityTitle	Fotosíntesis
Feature/&AncientForestRegrowthDescription	Tienes una reserva de poder curativo que se repone cuando descansas por mucho tiempo. Con ese grupo, puedes restaurar un número total de puntos de golpe igual a tu nivel de Warlock × 5.
Feature/&AncientForestRegrowthTitle	rebrote
Feature/&ArmorofShadowsTitle	Armadura de sombras
Feature/&AscendantStepTitle	Paso ascendente
Feature/&AspectoftheMoonDescription	Ya no necesita dormir y puede vigilar, lo que reduce las posibilidades de ataque y garantiza que esté despierto si atacan el campamento.
Feature/&AspectoftheMoonTitle	Aspecto de la Luna
Feature/&BeguilingInfluenceDescription	Obtienes competencia en las habilidades de Engaño y Persuasión.
Feature/&BeguilingInfluenceTitle	Influencia seductora
Feature/&BondoftheTalismanDescription	Teletransportarse hasta 30 pies de distancia.
Feature/&BondoftheTalismanTitle	Talismán de teletransporte
Feature/&ChainsofCarceriDescription	Paraliza a un celestial, infernal o elemental a menos que tenga éxito en una tirada de salvación de Sabiduría.
Feature/&ChainsofCarceriTitle	Cadenas de Carceri
Feature/&ClassMonkTongueOfSunAndMoonDescription	Aprendes a tocar el ki de otras mentes para que entiendas todos los idiomas hablados. Además, cualquier criatura que pueda entender un idioma puede entender lo que dices.
Feature/&ClassMonkTongueOfSunAndMoonTitle	Lengua del sol y la luna
Feature/&ClassWarlockArmorProficiencyDescription	Armadura ligera.
Feature/&ClassWarlockArmorProficiencyTitle	Competencias de armadura de brujo
Feature/&ClassWarlockEldritchInvocationReplaceDescription	Seleccione Invocación sobrenatural para reemplazar.
Feature/&ClassWarlockEldritchInvocationReplaceTitle	Reemplazar invocación
Feature/&ClassWarlockEldritchInvocationSetLevelDescription	Añade una invocación sobrenatural.
Feature/&ClassWarlockEldritchInvocationSetLevelTitle	Invocación sobrenatural
Feature/&ClassWarlockEldritchMasterDescription	puedes recurrir a tu reserva interna de poder místico mientras le suplicas a tu patrón que recupere los espacios de conjuros gastados. Puedes pasar 1 minuto pidiéndole ayuda a tu patrón para recuperar todos los espacios de hechizos gastados de tu característica Pact Magic. Una vez que recupera espacios de hechizos con esta función, debe terminar un descanso prolongado antes de poder volver a hacerlo.
Feature/&ClassWarlockEldritchMasterTitle	Maestro sobrenatural
Feature/&ClassWarlockMysticArcanumSetDescription	Tu patrón te otorga un secreto mágico llamado arcano. Puedes lanzar tu conjuro arcano una vez sin gastar un espacio de conjuro. Debes terminar un descanso prolongado antes de poder hacerlo de nuevo. En niveles más altos, obtienes más hechizos de brujo de tu elección que se pueden lanzar de esta manera: un hechizo de nivel 6 en el nivel 11, un hechizo de nivel 7 en el nivel 13, un hechizo de nivel 8 en el nivel 15 y un hechizo de nivel 9 en el nivel 15. Hechizo de nivel a nivel 17.
Feature/&ClassWarlockMysticArcanumSetTitle	Arcano místico
Feature/&ClassWarlockSavingThrowProficiencyDescription	Sabiduría, Carisma.
Feature/&ClassWarlockSavingThrowProficiencyTitle	Competencias en tiradas de salvación
Feature/&ClassWarlockSkillProficiencyDescription	Elige 2 de estas habilidades: Arcanos, Engaño, Historia, Intimidación, Investigación, Naturaleza y Religión.
Feature/&ClassWarlockSkillProficiencyTitle	Habilidades de brujo
Feature/&ClassWarlockSpellcastingDescription	Tu investigación arcana y la magia que te otorgó tu patrón de otro mundo te han dado facilidad con los hechizos.
Feature/&ClassWarlockSpellcastingTitle	Magia del pacto de brujos
Feature/&ClassWarlockToolsProficiencyDescription	Has sido entrenado para preparar remedios a base de hierbas y usar equipos encantadores.
Feature/&ClassWarlockToolsProficiencyTitle	Artesanía mágica de brujo
Feature/&ClassWarlockWeaponProficiencyDescription	Armas simples.
Feature/&ClassWarlockWeaponProficiencyTitle	Competencias con armas de brujo
Feature/&DamageAffinityGiftoftheProtectorsRelentlessEnduranceDescription	Cuando te reducen a 0 HP pero no te matan, puedes bajar a 1 HP en su lugar.
Feature/&DamageAffinityGiftoftheProtectorsRelentlessEnduranceTitle	Resistencia implacable
Feature/&DevilsSightDescription	Puedes ver normalmente en la Oscuridad, tanto mágica como no mágica, a una distancia de 120 pies.
Feature/&DevilsSightTitle	La vista del diablo
Feature/&DH_BlinkDescription	Como acción adicional, te desvaneces de tu actual plano de existencia, previniendo todo daño. Al comienzo de su próximo turno, regresa al espacio del que desapareció.
Feature/&DH_BlinkTitle	Parpadear
Feature/&DH_FadeIntoTheVoidDescription	Cuando te reducen a 0 puntos de golpe pero no te matan directamente, en su lugar, bajas a 1 punto de golpe mientras te desvaneces brevemente en el vacío para disminuir el daño. No puedes volver a usar esta función hasta que finalices un descanso prolongado.
Feature/&DH_FadeIntoTheVoidTitle	Desvanecerse en el vacío
Feature/&DH_RiftCloakDescription	Tu control de los portales de grietas ha aumentado hasta el punto de que ahora puedes otorgar la protección de la grieta a otros. Puedes lanzar un vínculo de protección a voluntad (sin compartir el daño).
Feature/&DH_RiftCloakTitle	Capa de grieta
Feature/&DH_RiftControlDescription	Brevemente rodeado por la energía de la grieta, te teletransportas a un espacio desocupado. Ahora puede traer un aliado con usted cuando se teletransporta y el rango ha aumentado significativamente.
Feature/&DH_RiftControlTitle	Portal de la grieta
Feature/&DH_RiftStrikeDescription	Una vez al día cuando sufres daño cuerpo a cuerpo, puedes usar tu reacción para crear un portal que destierra al atacante durante 1 ronda de tu plano de existencia.
Feature/&DH_RiftStrikeTitle	Golpe de grieta
Feature/&DH_RiftWalkDescription	Brevemente rodeado por la energía del vacío entre mundos, te teletransportas hasta 30 pies a un espacio desocupado que puedes ver.
Feature/&DH_RiftWalkTitle	Paso de grieta
Feature/&DHAncientForestBonusCantripDescription	Tu patrón comparte secretos sobre la naturaleza de cómo se conectan la magia natural y la energía vital. Tu aprende Shillelagh y Chill Touch.
Feature/&DHAncientForestBonusCantripTitle	Cantrips de bonificación del Bosque Antiguo
Feature/&DHConjureMinorElementalsBonusCantripDescription	Tu control de las energías elementales ha aumentado hasta el punto de que ahora tienes dominio sobre los elementales más débiles. Puedes lanzar conjurar elemental menor a voluntad.
Feature/&DHConjureMinorElementalsBonusCantripTitle	Esbirros elementales
Feature/&DHPactOfTheTomeFeatureSetDescription	Tu patrón te da un grimorio llamado Libro de las Sombras. Cuando obtienes este rasgo, elige tres cantrips de la lista de hechizos de cualquier clase. Los cantrips no necesitan ser de la misma lista de hechizos. Mientras el libro está en tu persona, puedes lanzar esos cantrips a voluntad. No cuentan contra el número de cantrips conocidos. Cualquier truco que lances con esta función se considera un truco de brujo para ti.
Feature/&DHPactOfTheTomeFeatureSetTitle	Pacto del Tomo
Feature/&DHWardingBondBonusCantripDescription	Tu control de los portales de grietas ha aumentado hasta el punto de que ahora puedes otorgar la protección de la grieta a otros. Puedes lanzar un vínculo de protección a voluntad (sin compartir el daño).
Feature/&DHWardingBondBonusCantripTitle	Capa de grieta
Feature/&DHWarlockClassPactOfTheChainFeatureSetDescription	Cuando lanzas la invocación de un familiar, puedes elegir una de las siguientes formas especiales: diablillo, pseudodragón, cuasit o sprite.
Feature/&DHWarlockClassPactOfTheChainFeatureSetTitle	Pacto de la Cadena
Feature/&DreadfulWordTitle	palabra terrible
Feature/&EldritchBlastGraspingHandBonusCantripDescription	Cuando golpeas a una criatura con tu explosión sobrenatural, puedes mover esa criatura en línea recta 10 pies más cerca de ti.
Feature/&EldritchBlastGraspingHandBonusCantripTitle	Explosión de agarre
Feature/&EldritchBlastRepellingBlastBonusCantripDescription	Cuando golpeas a una criatura con eldritch blast, puedes empujar a la criatura hasta 10 pies de distancia de ti en línea recta.
Feature/&EldritchBlastRepellingBlastBonusCantripTitle	Explosión repelente
Feature/&EldritchMindDescription	Tienes ventaja en las tiradas de salvación de Constitución que hagas para mantener tu concentración en un hechizo.
Feature/&EldritchMindTitle	Mente sobrenatural
Feature/&EldritchSightTitle	Visión sobrenatural
Feature/&EldritchSmiteDescription	Una vez por turno, cuando golpeas a una criatura con tu arma del pacto, puedes gastar un espacio de conjuro de brujo para infligir 1d8 de daño de fuerza adicional al objetivo, más otros 1d8 por nivel del espacio de conjuro.
Feature/&EldritchSmiteTitle	Golpe sobrenatural
Feature/&ElementalPactAirPlane	avión de aire
Feature/&ElementalPactAstralPlane	Plano astral
Feature/&ElementalPactEarthPlane	plano de la tierra
Feature/&ElementalPactEtherealPlane	Plano etéreo
Feature/&ElementalPactFirePlane	avión de fuego
Feature/&ElementalPactIcePlane	Avión de hielo
Feature/&ElementalPactShadowPlane	Plano de sombra
Feature/&ElementalPatronDummyFeatureSetTitle	elementalista
Feature/&ElementalPatronElementalConditionFormatDescription	Inflige {1} de daño adicional igual a tu bonificación de competencia en un primer golpe cada ronda.
Feature/&ElementalPatronElementalConditionFormatTitle	Canalización {0}
Feature/&ElementalPatronElementalDamageFormatDescription	Al canalizar {0}, inflige {1} de daño adicional igual a tu bonificación de competencia en un primer golpe cada ronda.
Feature/&ElementalPatronElementalDamageFormatTitle	Daño elemental: {0}
Feature/&ElementalPatronElementalFormEnhancedFormatDescription	Al canalizar el {0}, obtienes Inmunidad a {1} y aplicas la bonificación de competencia como daño del mismo tipo al primer golpe de cada ronda.
Feature/&ElementalPatronElementalFormEnhancedFormatTitle	Canalización {0}
Feature/&ElementalPatronElementalFormFormatDescription	Al canalizar el {0}, obtienes resistencia a {1} daño y aplicas la bonificación de competencia como daño del mismo tipo al primer golpe de cada ronda.
Feature/&ElementalPatronElementalFormFormatTitle	{0}
