Condition/&ConditionDualFlurryApplyDescription	Vous créez une dynamique...
Condition/&ConditionDualFlurryApplyTitle	Double rafale !
Condition/&ConditionDualFlurryGrantDescription	Vos ennemis sont sous le choc !
Condition/&ConditionDualFlurryGrantTitle	Double rafale !
Condition/&HelpActionDescription	Cette créature a été distraite.
Condition/&HelpActionTitle	Distraits
CraftyFeats/&ApothecaryIntFeatDescription	Augmentez votre Intelligence de 1, jusqu'à un maximum de 20.\nVous gagnez en compétence avec le kit d'herboristerie et Arcana, ou en expertise si vous êtes déjà compétent.
CraftyFeats/&ApothecaryIntFeatTitle	Apothicaire (Renseignement)
CraftyFeats/&ApothecaryWisFeatDescription	Augmentez votre Sagesse de 1, jusqu'à un maximum de 20.\nVous gagnez en compétence avec le kit d'herboristerie et Arcana, ou en expertise si vous êtes déjà compétent.
CraftyFeats/&ApothecaryWisFeatTitle	Apothicaire (Sagesse)
CraftyFeats/&AttributeDexDescription	+1 DEX jusqu'à un maximum de 20
CraftyFeats/&AttributeDexTitle	Dextérité
CraftyFeats/&AttributeIntDescription	+1 INT jusqu'à un maximum de 20
CraftyFeats/&AttributeIntTitle	Intelligence
CraftyFeats/&AttributeWisDescription	+1 WIS jusqu'à un maximum de 20
CraftyFeats/&AttributeWisTitle	Sagesse
CraftyFeats/&CraftyArcanaDescription	Vous acquérez des compétences/expertises en Arcana.
CraftyFeats/&CraftyBowsDescription	Vous gagnez la maîtrise de tous les arcs et arbalètes.
CraftyFeats/&CraftyBowsTitle	Maîtrise de l'arc
CraftyFeats/&CraftyFletcherFeatDescription	Augmentez votre Dextérité de 1, jusqu'à un maximum de 20.\nVous gagnez en maîtrise des outils de forgeron ou en expertise si vous êtes déjà compétent.\n Vous gagnez la maîtrise de tous les arcs et arbalètes.
CraftyFeats/&CraftyFletcherFeatTitle	Fletcher
CraftyFeats/&CraftyMedicineDescription	Vous acquérez une compétence / expertise en médecine.
CraftyFeats/&CraftyNatureDescription	Vous gagnez en compétence/expertise dans la nature.
CraftyFeats/&CraftyScribeFeatDescription	Augmentez votre Intelligence de 1, jusqu'à un maximum de 20.\nVous gagnez en compétence avec le kit de parchemin et Arcana, ou en expertise si vous êtes déjà compétent.\nNécessite la capacité de lancer des sorts.
CraftyFeats/&CraftyScribeFeatTitle	Scribe
CraftyFeats/&CraftySkillsTitle	Compétences
CraftyFeats/&CraftyToolsTitle	Outils
CraftyFeats/&ManacalonCrafterFeatDescription	Augmentez votre Intelligence de 1, jusqu'à un maximum de 20.\nVous acquérez la maîtrise du chapelet manacolon et des arcanes, ou de l'expertise si vous êtes déjà compétent.\nNécessite la capacité de lancer des sorts.
CraftyFeats/&ManacalonCrafterFeatTitle	Artisan de Manacalon
CraftyFeats/&ToxicologistIntFeatDescription	Augmentez votre Intelligence de 1, jusqu'à un maximum de 20.\nVous gagnez la maîtrise du kit d'empoisonneur et de la Nature, ou l'expertise si vous êtes déjà compétent.
CraftyFeats/&ToxicologistIntFeatTitle	Toxicologue (Renseignement)
CraftyFeats/&ToxicologistWisFeatDescription	Augmentez votre Sagesse de 1, jusqu'à un maximum de 20.\nVous gagnez la maîtrise du kit d'empoisonneur et de la médecine, ou l'expertise si vous êtes déjà compétent.
CraftyFeats/&ToxicologistWisFeatTitle	Toxicologue (Sagesse)
Feat/&AddConstructCantripsDescription	Ajoute des sorts mineurs pour soigner et rejeter vos constructions.
Feat/&AddConstructCantripsTitle	Construire des sorties mineures
Feat/&AddProtectorConstructCantripDescription	Ajoute les sorts mineurs de Mending Construct et Dismiss Construct pour augmenter la flexibilité de vos constructions.
Feat/&AddProtectorConstructCantripTitle	Bonus Construction Cantrips
Feat/&ArmorModePoolDescription	Vous permet d'activer les modes d'armure une fois par repos court.
Feat/&ArmorModePoolTitle	Mode armure
Feat/&ArtificialServantAttackDescription	Attaque à distance 1d6 dégâts de force de votre fidèle acolyte.
Feat/&ArtificialServantAttackTitle	Élingue de force
Feat/&ArtificialServantDescription	Le serviteur est amical avec vous et vos compagnons, et il obéit à vos ordres.
Feat/&ArtificialServantTitle	Serviteur artificiel
Feat/&CancelFlyingConditionDescription	Mettre fin à la condition de vol pour permettre de sauter et de ramper.
Feat/&CancelFlyingConditionTitle	Annuler Voler
Feat/&ChefConDescription	Augmentez votre Constitution de 1, jusqu'à un maximum de 20.\nVous pouvez passer 1 heure à cuisiner un repas pour vous soigner, vous et vos compagnons, de 1d8 PV.\nUne fois par jour, vous pouvez passer une heure à cuisiner des friandises qui fournissent des HP temporaires lorsqu'elles sont consommées.
Feat/&ChefConTitle	Cuisinier (Constitution)
Feat/&ChefShortRestFeastDescription	Vous pouvez passer 1 heure à cuisiner un repas pour vous soigner, vous et vos compagnons, de 1d8 PV.
Feat/&ChefShortRestFeastTitle	Repas de repos court
Feat/&ChefWisDescription	Augmentez votre Sagesse de 1, jusqu'à un maximum de 20.\nVous pouvez passer 1 heure à cuisiner un repas pour vous soigner, vous et vos compagnons, de 1d8 PV.\nUne fois par jour, vous pouvez passer une heure à cuisiner des friandises qui fournissent des HP temporaires lorsqu'elles sont consommées.
Feat/&ChefWisTitle	Cuisinier (Sagesse)
Feat/&ConstructSelectingPoolDescription	Sélectionnez le mode de votre construction.
Feat/&ConstructSelectingPoolTitle	Mode Artillerie
Feat/&DeadeyeFeatDescription	Vous maîtrisez les armes à distance et pouvez effectuer des tirs que d'autres trouvent impossibles.\n• Attaquer à longue distance n'impose pas de désavantage à vos jets d'attaque avec une arme à distance.\n• Vos attaques à distance avec une arme ignorent la moitié et les trois quarts de la couverture.\n• Vous pouvez choisir de subir un malus de -5 à votre jet d'attaque avec une arme à distance. Si l'attaque réussit, vous infligez 10 dégâts supplémentaires du type d'arme.
Feat/&DeadeyeFeatTitle	Deadeye
Feat/&DismissConstructDescription	Désinvoquez votre construction.
Feat/&DismissConstructTitle	Ignorer la construction
Feat/&DualFlurryDescription	Vous êtes un maître du combat avec des armes jumelées. À n'importe quel tour où vous frappez deux fois avec des attaques de mêlée tout en brandissant une arme dans chaque main, vous pouvez effectuer une attaque secondaire supplémentaire lorsque vous attaquez avec votre action bonus.
Feat/&DualFlurryTitle	Double rafale
Feat/&FeatArcaneDefenseDescription	Augmentez votre Intelligence de 1, jusqu'à un maximum de 20.\nTant que vous ne portez pas d'armure, votre CA est égale à 10 + votre modificateur de Dextérité + votre modificateur d'Intelligence.
Feat/&FeatArcaneDefenseTitle	Défense arcanique
Feat/&FeatArcanePrecisionDescription	Vous pouvez utiliser une action bonus pour sélectionner une arme. Ses attaques comptent comme magiques et vous utilisez votre Intelligence pour vos jets d'attaque et de dégâts pendant 1 minute. Cette fonctionnalité peut être utilisée deux fois par repos long.
Feat/&FeatArcanePrecisionTitle	Précision arcanique
Feat/&FeatBlindFightingStlyeDescription	Vous avez la vision aveugle avec une portée de 10 pieds.
Feat/&FeatBlindFightingStlyeTitle	Style de combat : Combat à l'aveugle
Feat/&FeatBrutalThugDescription	Vous portez des coups puissants aux bons endroits.\nVous gagnez des compétences en armes simples et martiales.\nVous pouvez attaquer sournoisement en utilisant des armes martiales.
Feat/&FeatBrutalThugTitle	Voyou brutal
Feat/&FeatChaIncrementDescription	Augmentez votre Charisme de 1, jusqu'à un maximum de 20.
Feat/&FeatChaIncrementTitle	Augmentation de l'attribut de charisme
Feat/&FeatCharismaticDefenseDescription	Augmentez votre Charisme de 1, jusqu'à un maximum de 20.\nTant que vous ne portez pas d'armure, votre CA est égale à 10 + votre modificateur de Dextérité + votre modificateur de Charisme.
Feat/&FeatCharismaticDefenseTitle	Défense charismatique
Feat/&FeatCharismaticPrecisionDescription	Vous pouvez utiliser une action bonus pour sélectionner une arme. Ses attaques comptent comme magiques et vous utilisez votre Charisme pour vos jets d'attaque et de dégâts pendant 1 minute. Cette fonctionnalité peut être utilisée deux fois par repos long.
Feat/&FeatCharismaticPrecisionTitle	Précision charismatique
Feat/&FeatChefConIncrementDescription	Augmentez votre Constitution de 1, jusqu'à un maximum de 20.
Feat/&FeatChefConIncrementTitle	Augmentation d'attribut
Feat/&FeatChefWisIncrementDescription	Augmentez votre Sagesse de 1, jusqu'à un maximum de 20.
Feat/&FeatChefWisIncrementTitle	Augmentation d'attribut
Feat/&FeatCripplingDescription	Lorsque vous touchez avec une attaque au corps à corps, vous pouvez réduire la vitesse de votre adversaire de 3 mètres jusqu'au début de votre prochain tour.
Feat/&FeatCripplingTitle	Style de combat : Paralysant
Feat/&FeatDexIncrementDescription	Augmentez votre Dextérité de 1, jusqu'à un maximum de 20.
Feat/&FeatDexIncrementTitle	Augmentation d'attribut
Feat/&FeatDualWeaponDefenseDescription	Vous gagnez un bonus de +1 à la CA lorsque vous maniez une arme de mêlée distincte dans chaque main.
Feat/&FeatDualWeaponDefenseTitle	Défense à double arme
Feat/&FeatFastHandsDescription	Vous gagnez une action rusée. Vous pouvez utiliser les actions Cacher ou Désengager comme action bonus.\nVous pouvez utiliser votre action rusée pour effectuer un test de dextérité (tourteau de passe-passe), utiliser les outils de vos voleurs pour désarmer un piège ou ouvrir une serrure, ou effectuer l'action utiliser un objet.
Feat/&FeatFastHandsTitle	Mains rapides
