BlueprintCategory/&FlatRoomsTitle	Chambres à plat
Caption/&GadgetParametersCustomRemoveDescription	Retirer:\n{0}.
ContentPack/&CommunityExpansionPackDescription	Le pack Community Expansion ajoute de nouvelles classes, sous-classes, exploits et sorts. Il existe un plafond de niveau supérieur, des fonctionnalités multi-classes, QOL, des corrections de bogues et plus encore. C'est une véritable corne d'abondance (TM)...
ContentPack/&CommunityExpansionPackTitle	Pack d'extension communautaire
Failure/&FailureFlagTargetMeleeWeaponError	Impossible d'effectuer une attaque au corps à corps sur cette cible avec l'arme actuelle
Feature/&AlwaysBeardDescription	{0} % de chances de faire pousser une magnifique barbe !
Feature/&BardSkillsTitle	Compétences de barde
Feature/&EmptyString	VIDE
Format/&LevelAndExperienceFormat	Niveau : {0}\nExpérience : {1}\n{2} points requis pour atteindre le niveau {3}
Format/&LevelAndExperienceMaxedFormat	Niveau : {0}\nExpérience : {1}\nniveau maximum atteint
MainMenu/&ExportPdfDescription	Nivelez ce héros.
MainMenu/&ExportPdfTitle	Descendre d'un niveau
Message/&CharacterExportDuplicateNameErrorDescription	Exportation annulée :\n\nUn héros portant ce nom existe déjà dans le pool.\nVeuillez essayer un autre nom.
Message/&CharacterExportEmptyNameErrorDescription	Exportation annulée :\n\nVeuillez essayer un nom non vide.
Message/&CharacterExportModalContentDescription	Saisissez le nom du héros à exporter :
Message/&CharacterExportModalTitleDescription	Exportation de personnage.
Message/&LevelDownConfirmationDescription	Nivelez ce héros ?
Message/&LevelDownMultiplayerAbortDescription	Impossible de descendre de niveau pendant une session multijoueur.
Message/&MessageModWelcomeDescription	Le Community Expansion Mod regorge de fonctionnalités intéressantes, mais par défaut, aucune n'est activée. Appuyez sur <color=yellow>Ctrl-F10</color> pour ouvrir l'interface utilisateur de Unity Mod Manager [UMM], puis cliquez sur l'icône des paramètres à côté de "Community Expansion" pour ouvrir les pages de paramètres.\n\n Explorez les options et sélectionnez celles que vous aimez. L'interface utilisateur UMM va maintenant s'ouvrir.
Message/&MessageModWelcomeTitle	Mod d'expansion de la communauté
Message/&RespecMultiplayerAbortDescription	Respécialisation impossible pendant une session multijoueur ou sur une carte d'exploration.
Message/&SpawnCustomEncounterDescription	Générer une rencontre aux coordonnées ({0}, {1}) ?
Message/&SpawnCustomEncounterErrorDescription	Impossible de générer des rencontres sur une partie multijoueur. Encore...
Message/&SpawnCustomEncounterTitle	Rencontre
Message/&TeleportPartyDescription	Téléporter le groupe aux coordonnées ({0}, {1}) ?\nVous pourriez casser des quêtes ou des cartes si vous vous téléportez dans un endroit inconnu.
Message/&TeleportPartyTitle	Téléportation
Reaction/&ReadiedAction{0}Description	Prêt {0}
Reaction/&ReadiedAction{0}Title	Prêt {0}
Reaction/&SpendPower{0}Description	Dépensez {0}
Reaction/&SpendPower{0}Title	Dépensez {0}
Reaction/&SubitemSelectPowerBundleTitle	Choix
Reaction/&SubitemSelectSlotLevelTitle	Niveau d'emplacement
Reaction/&Use{0}Description	Utilisez {0}
Reaction/&Use{0}Title	Utilisez {0}
Requirement/&FeatureSelectionRequireCharacterLevel	Niveau {0}
Requirement/&FeatureSelectionRequireClassLevel	Niveau {0} sur {1}
RestActivity/&ZSRespecDescription	Respectez ce héros.
RestActivity/&ZSRespecTitle	Respecter
Screen/&EditorLocationSize3Title	Énorme [MODÉ]
Screen/&EditorLocationSize4Title	Gargantuesque [MODÉ]
Stage/&IdentityMorphotypeEyeHeader	Style des yeux
ToolTip/&CheckBoxDefaultPartyTitle	Cochez cette case pour définir votre groupe par défaut lorsque vous démarrez de nouvelles aventures ou testez des emplacements personnalisés. Vous pouvez sélectionner jusqu'à {0} héros selon le principe du premier entré / premier sorti
Tooltip/&Tag9000Title	Effet personnalisé
Tooltip/&TagCommunityExpansionTitle	Expansion de la communauté
Tooltip/&TagOtherModContentTitle	À partir du module
UI/&CustomFeatureSelectionStageDescription	Sélectionnez des fonctionnalités supplémentaires dans votre classe/sous-classe.
UI/&CustomFeatureSelectionStageFeatures	Fonctionnalités
UI/&CustomFeatureSelectionStageNotDone	Vous devez sélectionner toutes les fonctionnalités disponibles avant de continuer
UI/&CustomFeatureSelectionStageTitle	Sélection de fonctionnalité
UI/&CustomFeatureSelectionTooltipTypeCantrip	cantrip
UI/&CustomFeatureSelectionTooltipTypeFeature	Caractéristique
UI/&CustomFeatureSelectionTooltipTypePower	Du pouvoir
UI/&CustomFeatureSelectionTooltipTypeProficiency	Compétence
UI/&ForcePreferredCantripDescription	Si cette option est activée, seul le cantrip préféré peut se déclencher. Si le sort mineur préféré n'est pas sélectionné, le premier sort mineur valide se déclenchera, quelle que soit cette bascule.
UI/&ForcePreferredCantripTitle	Forcer le sort mineur préféré
Reaction/&SpendPowerBundleTitle	Dépenser de l'énergie
Reaction/&SpendPowerBundleDescription	Dépensez de l'énergie.
