BlueprintCategory/&FlatRoomsTitle	Chambres à plat
Caption/&GadgetParametersCustomRemoveDescription	Retirer:\n{0}.
Condition/&ConditionBarkWardDescription	Protégé par les esprits de la forêt. Gagne 4 PV temporaires pour chaque niveau de Druide, durant 10 minutes.
Condition/&ConditionBarkWardTitle	Bark Ward
Condition/&ConditionDualFlurryApplyDescription	Vous créez une dynamique...
Condition/&ConditionDualFlurryApplyTitle	Double rafale !
Condition/&ConditionDualFlurryGrantDescription	Vos ennemis sont sous le choc !
Condition/&ConditionDualFlurryGrantTitle	Double rafale !
Condition/&ConditionImprovedBarkWardDescription	Les esprits de la forêt infligent 2d8 dégâts perforants aux créatures qui les touchent lors d'une attaque au corps à corps.
Condition/&ConditionImprovedBarkWardTitle	Bark Ward amélioré
Condition/&ConditionMuleDescription	Votre vitesse n'est pas réduite par l'encombrement ou l'armure lourde. Vous pouvez transporter 20 livres supplémentaires.
Condition/&ConditionMuleTitle	Mule
Condition/&ConditionSuperiorBarkWardDescription	Les esprits de la forêt confèrent une immunité au poison et infligent 3d8 dégâts perforants aux créatures qui les touchent lors d'une attaque au corps à corps.
Condition/&ConditionSuperiorBarkWardTitle	Quartier supérieur de l'écorce
Condition/&EWResonatingStrikeDamageDescription	Au niveau 5, les attaques déclenchées par ce sort mineur infligent 1d8 dégâts de tonnerre supplémentaires. Les dégâts augmentent encore de 1d8 aux niveaux 11 et 17.
Condition/&EWResonatingStrikeDamageTitle	Résonance
Condition/&EWSunlightBladeDamageDescription	Au niveau 5, les attaques déclenchées par ce sort mineur infligent 1d8 dégâts radiants supplémentaires. Les dégâts augmentent encore de 1d8 aux niveaux 11 et 17.
Condition/&EWSunlightBladeDamageTitle	Brûlure de la Lame ensoleillée
Condition/&HelpActionDescription	Cette créature a été distraite.
Condition/&HelpActionTitle	Distraits
ContentPack/&CommunityExpansionPackDescription	Le pack Community Expansion ajoute de nouvelles classes, sous-classes, exploits et sorts. Il existe un plafond de niveau supérieur, des fonctionnalités multi-classes, QOL, des corrections de bogues et plus encore. C'est une véritable corne d'abondance (TM)...
ContentPack/&CommunityExpansionPackTitle	Pack d'extension communautaire
Failure/&FailureFlagTargetMeleeWeaponError	Impossible d'effectuer une attaque au corps à corps sur cette cible avec l'arme actuelle
Feature/&AdditionalActionDualFlurryDescription	Vous pouvez effectuer une attaque secondaire supplémentaire.
