ActionAffinity/&DHFeeblemindSpellDescription	Impossible de lancer des sorts.
AttributeModifier/&DHFeeblemindChaSpellDescription	Le score de Charisme est fixé à 1.
AttributeModifier/&DHFeeblemindChaSpellTitle	Charisme faible
AttributeModifier/&DHFeeblemindIntSpellDescription	Le score de Charisme est fixé à 1.
AttributeModifier/&DHFeeblemindIntSpellTitle	Intelligence faible
Condition/&ConditionMuleDescription	Votre vitesse n'est pas réduite par l'encombrement ou l'armure lourde. Vous pouvez transporter 20 livres supplémentaires.
Condition/&ConditionMuleTitle	Mule
Condition/&DHFeeblemindSpellDescription	Les valeurs d'Intelligence et de Charisme de la créature deviennent 1. La créature ne peut pas lancer de sorts, activer d'objets magiques, comprendre le langage ou communiquer de manière intelligible.
Condition/&DHFeeblemindSpellTitle	Faiblesse d'esprit
Condition/&DHForesightSpellDescription	Avantage sur tous les jets d'attaque, les tests de capacité et les jets de sauvegarde. Les autres créatures ont un désavantage aux jets d'attaque.
Condition/&DHForesightSpellTitle	Prévoyance
Condition/&DHHolyAuraSpellDescription	Avantage à tous les jets de sauvegarde. Les autres créatures ont un désavantage aux jets d'attaque. Lorsqu'un fiélon ou un mort-vivant touche une créature affectée avec une attaque au corps à corps, l'attaquant doit réussir un jet de sauvegarde de Constitution ou être aveuglé jusqu'à la fin du sort.
Condition/&DHHolyAuraSpellTitle	Protégé par Holy Aura
Condition/&DHMindBlankSpellDescription	Immunisé contre les dégâts psychiques et l'état charmé.
Condition/&DHMindBlankSpellTitle	Vide d'esprit
Condition/&DHReverseGravitySpellDescription	Je ne peux pas bouger.
Condition/&DHReverseGravitySpellTitle	Pris par gravité inverse
Condition/&DHTimeStopSpellDescription	Le temps est gelé pour la créature affectée.
Condition/&DHTimeStopSpellTitle	Temps arrêté
Condition/&DHWeirdSpellDescription	Effrayé. À la fin de chaque tour, effectuez un jet de sauvegarde de Sagesse. En cas d'échec, subissez 4d10 dégâts psychiques. En cas de succès, cette condition prend fin.
Condition/&DHWeirdSpellTitle	Bizarre
Condition/&EWResonatingStrikeDamageDescription	Au niveau 5, les attaques déclenchées par ce sort mineur infligent 1d8 dégâts de tonnerre supplémentaires. Les dégâts augmentent encore de 1d8 aux niveaux 11 et 17.
Condition/&EWResonatingStrikeDamageTitle	Résonance
