Item/&CEHalberd+1Title	Alabarda +1
Item/&CEHalberd+1UnidentifiedTitle	Alabarda di qualità
Item/&CEHalberd+2Title	Alabarda +2
Item/&CEHalberd+2UnidentifiedTitle	Magnifica alabarda
Item/&CEHalberdLightningTitle	Alabarda Fulmine
Item/&CEHalberdLightningUnidentifiedTitle	Magnifica alabarda
Item/&CEHalberdPrimedTitle	Alabarda innescata
Item/&CEHalberdTitle	Alabarda
Item/&CEHandXbow+1Title	Balestra a mano +1
Item/&CEHandXbow+1UnidentifiedTitle	Balestra a mano di qualità
Item/&CEHandXbow+2Title	Balestra a mano +2
Item/&CEHandXbow+2UnidentifiedTitle	Magnifica balestra a mano
Item/&CEHandXbowAcidTitle	Balestra a mano acida
Item/&CEHandXbowAcidUnidentifiedTitle	Magnifica balestra a mano
Item/&CEHandXbowPrimedTitle	Balestra a mano innescata
Item/&CEHandXbowTitle	Balestra a mano
Item/&CELongMace+1Title	Mazza lunga +1
Item/&CELongMace+1UnidentifiedTitle	Mazza lunga di qualità
Item/&CELongMace+2Title	Mazza lunga +2
Item/&CELongMace+2UnidentifiedTitle	Magnifica mazza lunga
Item/&CELongMacePrimedTitle	Mazza lunga innescata
Item/&CELongMaceThunderTitle	Mazza Lunga Tonante
Item/&CELongMaceThunderUnidentifiedTitle	Magnifica mazza lunga
Item/&CELongMaceTitle	Mazza lunga
Item/&CEPike+1Title	Luccio +1
Item/&CEPike+1UnidentifiedTitle	Luccio di qualità
Item/&CEPike+2Title	Luccio +2
Item/&CEPike+2UnidentifiedTitle	Magnifico luccio
Item/&CEPikePrimedTitle	Luccio innescato
Item/&CEPikePsychicTitle	Luccio psichico
Item/&CEPikePsychicUnidentifiedTitle	Magnifico luccio
Item/&CEPikeTitle	Luccio
Item/&Handwraps+1Title	Fasce +1
Item/&Handwraps+1UnidentifiedTitle	Fasce di buona qualità
Item/&Handwraps+2Title	Fasce +2
Item/&Handwraps+2UnidentifiedTitle	Fasce magnifiche
Item/&HandwrapsOfForceTitle	Impacchi energici
Item/&HandwrapsOfForceUnidentifiedTitle	Fasce magnifiche
Item/&HandwrapsOfPullingTitle	Impacchi di trazione
Item/&HandwrapsOfPullingUnidentifiedTitle	Fasce magnifiche
