ModUi/&AddAllToStore	Aggiungi tutti al negozio
ModUi/&AddBleedingToLesserRestoration	Aggiungere la condizione <color=#FFA500>Sanguinamento</color> alle condizioni rimosse da <color=#FFA500>Restauro maggiore e minore</color>.
ModUi/&AddHelpActionToAllRaces	Aggiungere l'azione <color=#FFA500>Aiuto</color> a tutte le razze
ModUi/&AddNewWeaponsAndRecipesToShops	Aggiungere nuove armi e ricette ai negozi <i><color=#FFFF00>[fasce a mano, alabarde, picche, mazze lunghe, balestre a mano]</color></i> <b><i><color=#C04040E0>[Richiede il riavvio]</color></i></b>
ModUi/&AddPickpocketableLoot	Aggiungi bottino borseggiabile <i><color=#FFFF00>[suggerito se l'impresa <color=#FFA500>Borseggio</color> è abilitata]</color></i>
ModUi/&AddToStore	Aggiungi al negozio
ModUi/&Advanced	<color=#FFFF00>Avanzato:</color>
ModUi/&AdvancedHelp	. <b><color=#C04040E0>ATTENZIONE:</color></b> Questa impostazione richiede che il giocatore abbia installato questa mod.
ModUi/&Adventure	<color=#FFFF00>Avventura:</color> .
ModUi/&AllItemInDm	Tutti gli oggetti in DM
ModUi/&AllowAnyClassToWearSylvanArmor	Permettere a qualsiasi classe di indossare armature silvane o abiti da lightbringer
ModUi/&AllowDruidToWearMetalArmor	Consentire al <color=#FFA500>Druido</color> di indossare armature di metallo
ModUi/&AllowDungeonsMaxLevel20	Consentire i dungeon con livello massimo 20 <b><i><color=#C04040E0>[Richiede Riavvio]</color></i></b>
ModUi/&AllowGadgetsAndPropsToBePlacedAnywhere	Consentire il posizionamento di gadget e oggetti di scena in qualsiasi punto della mappa <i><color=#FFFF00>[premere <color=#00FFFF>CTRL</color> durante il posizionamento per aggirare qualsiasi controllo]</color></i>
ModUi/&AllowStackedMaterialComponent	Consentire la componente materiale impilata <i><color=#FFFF00>[ad esempio, 2x500gp di diamante equivalgono a 1000gp di diamante]</color></i>
ModUi/&AllowTargetingSelectionWhenCastingChainLightningSpell	Consentire la selezione del bersaglio quando si lancia l'incantesimo <color=#FFA500>Lampo a catena</color>.
ModUi/&AllowUnmarkedSorcerers	Consentire l'uso di <color=#FFA500>stregoni non marcati</color>.
ModUi/&AllRecipesInDm	Tutte le ricette in DM
ModUi/&AltOnlyHighlightItemsInPartyFieldOfView	<color=#00FFFF>Tasto ALT</color> evidenzia solo i gadget nel campo visivo del party <i><color=#FFFF00>[solo nei dungeon personalizzati]</color></i>
ModUi/&Ammunition	<color=#FFFF00>Munizioni</color>
ModUi/&Armor	<color=#FFFF00>Armatura</color>
ModUi/&AutoPauseOnVictory	Mettere in pausa l'interfaccia utente quando si vince in battaglia
ModUi/&Basic	<color=#FFFF00>Basic:</color>
ModUi/&Battle	<color=#FFFF00>Battaglia:</color>
ModUi/&Bestiary	Bestiario
ModUi/&BestowCurseNoConcentrationRequiredForSlotLevel5OrAbove	<color=#FFA500>La maledizione di Bestow</color> non richiede concentrazione quando viene lanciata con uno slot incantesimi L5+.
ModUi/&BlindedConditionDontAllowAttackOfOpportunity	La condizione <color=#FFA500>Accecato</color> non consente l'attacco di opportunità.
ModUi/&Blueprints	Impronte blu
ModUi/&Campaigns	<color=yellow>Campagne:</color>
ModUi/&CampaignsAndLocations	<color=#FFFF00>Campagne e luoghi:</color>
ModUi/&Character	Personaggi
ModUi/&CharactersPool	Pool di personaggi
ModUi/&Classes	<color=#FFFF00>Classi</color>
ModUi/&Crafting	<color=#FFFF00>Crafting:</color>
ModUi/&CraftingHelp	. Premere il pulsante per imparare istantaneamente le ricette del party attivo\n. Gli oggetti aggiunti ai negozi potrebbero richiedere che il gruppo si allontani dal luogo e vi faccia ritorno.
ModUi/&Credits	Crediti
ModUi/&CreditsAndDiagnostics	Crediti e diagnostica
ModUi/&DisableAutoEquip	Disabilita l'equipaggiamento automatico degli oggetti nell'inventario
ModUi/&DisableSenseDarkVisionFromAllRaces	Disabilita <color=#FFA500>Senso Visione Oscura</color> da tutte le razze <b><i><color=#C04040E0>[Richiede Riavvio]</color></i></b>
ModUi/&DisableSenseSuperiorDarkVisionFromAllRaces	Disabilita <color=#FFA500>Superior Sense Dark Vision</color> da tutte le razze <b><i><color=#C04040E0>[Richiede Riavvio]</color></i></b>
ModUi/&DisplayAllKnownSpellsDuringLevelUp	Visualizza tutti gli incantesimi conosciuti di altre classi durante l'aumento di livello
ModUi/&DontFollowCharacterInBattle	La telecamera di battaglia non segue quando il personaggio è già sullo schermo
ModUi/&DontFollowMargin	<i><color=#FFFFFF>+ A meno che l'eroe non sia fuori o entro il % del bordo dello schermo</color></i>
ModUi/&DungeonMaker	<color=#FFFF00>Dungeon Maker:</color>
ModUi/&DungeonMakerBasicHelp	. Queste impostazioni non richiedono che il giocatore abbia installato questa mod\n. È possibile incorporare qualsiasi variabile della campagna nei dialoghi, nelle descrizioni, ecc\n. CE le sostituirà con il loro valore durante il gioco <i><color=#FFFF00>[cioè: Ciao {Saluto} Eroe!]</color></i>.
ModUi/&DungeonMakerMenu	Creatore di dungeon
ModUi/&EmpressGarbAppearance	Aspetto <color=#FFA500>Garba dell'Imperatrice</color>
ModUi/&EnableAdditionalIconsOnLevelMap	Abilitazione di icone aggiuntive per accampamenti, uscite e teletrasporti sulla mappa del livello
ModUi/&EnableAdditionalItemsInDungeonMaker	<i>+ Aggiungere nuovi oggetti a Dungeon Maker</i>
ModUi/&EnableAlternateHuman	Abilita l'umano alternativo <i><color=#FFFF00>[+1 impresa / +2 scelte di attributi / +1 abilità]</color></i>
ModUI/&EnableBetaContent	Abilita i contenuti beta <i><color=#FFFF00>[tieni presente che i salvataggi o gli eroi potrebbero rompersi in futuro]</color></i> <b><i><color=#C04040E0>[Richiede il riavvio]</color></i></b>
ModUi/&EnableCancelEditOnRightMouseClick	Abilita l'azione di annullamento con il clic del tasto destro del mouse
ModUi/&EnableCharacterChecker	Abilita la schermata di controllo dei caratteri
ModUi/&EnableCharacterExport	Abilita <color=#00FFFF>CTRL-SHIFT-(E</color>)xportare il personaggio <i><color=#FFFF00>[solo nella schermata di controllo dei personaggi]</color></i>
ModUi/&EnableCheatMenu	Abilitare il menu dei trucchi
ModUi/&EnableCtrlClickBypassAttackReactionPanel	Abilita <color=#00FFFF>CTRL</color> a fare clic sugli attacchi per ignorare il pannello di reazione.
ModUi/&EnableCtrlClickBypassMetamagicPanel	Abilita <color=#00FFFF>CTRL</color> a cliccare sugli incantesimi per ignorare il pannello metamagico dello <color=#FFA500>Sorcerer</color>.
ModUi/&EnableCtrlClickOnlySwapsMainHand	Abilitazione del <color=#00FFFF>CTRL</color> click per mantenere gli oggetti fuori mano quando si scambiano le configurazioni brandite
ModUi/&EnableDungeonMakerModdedContent	Abilita Dungeon Maker Pro <b><i><color=#C04040E0>[Richiede il Riavvio]</color></i></b>\n\ninclude stanze piatte, dimensioni del dungeon 150x150 e 200x200 e non ci sono fronzoli nel mescolare le risorse di tutte le ambientazioni\ndevi avere almeno una stanza all'aperto se scegli un'ambientazione esterna
ModUi/&EnableEpicPointsAndArray	Abilita un sistema di acquisto di 35 punti epici e un array <i><color=#FFFF00>[17,15,13,12,10,8]</color></i> <b><i><color=#C04040E0>[Richiede il riavvio]</color></i></b>
ModUi/&EnableExtraHighLevelMonsters	Abilita mostri aggiuntivi di alto livello (+20 CR) per le campagne di livello 3 e 4 <b><i><color=#C04040E0>[Richiede il riavvio]</color></i></b>
ModUi/&EnableFeatsAtEvenLevels	Abilitazione della selezione delle imprese ai livelli di classe 2, 6, 10 e 14
ModUi/&EnableFlexibleBackgrounds	Abilita sfondi flessibili <i><color=#FFFF00>[seleziona le competenze delle abilità e degli strumenti dagli sfondi]</color></i>
ModUi/&EnableFlexibleRaces	Abilita le razze flessibili <i><color=#FFFF00>[assegna punti abilità invece dei valori predefiniti della razza]</color></i>
ModUi/&EnableHotkeyDebugOverlay	Abilita la sovrapposizione <color=#00FFFF>CTRL-SHIFT-(D</color>)ebug
ModUi/&EnableHotkeyToggleHud	Abilita <color=#00FFFF>CTRL-SHIFT-(H</color>)ud per attivare la visibilità di tutti i pannelli dell'interfaccia utente.
ModUi/&EnableHotkeyToggleIndividualHud	Abilitare <color=#00FFFF>CTRL-SHIFT-(C</color>)ontrol Panel, <color=#00FFFF>CTRL-SHIFT-(L</color>)og, <color=#00FFFF>CTRL-SHIFT-(M</color>)ap e <color=#00FFFF>CTRL-SHIFT-(P</color>)arty per attivare la visibilità di ciascun pannello dell'interfaccia utente.
ModUi/&EnableHotkeyZoomCamera	Abilitare <color=#00FFFF>CTRL-SHIFT-(Z</color>)oom fotocamera <i><color=#FFFF00>[utile quando si scattano schermate di dungeon per la pubblicazione]</color></i>
ModUi/&EnableIgnoreCtrlClickOnCriticalHit	<i>+ bypassare solo se non è un colpo critico</i>
ModUi/&EnableInventoryFilteringAndSorting	Abilita il filtraggio e l'ordinamento dell'inventario
ModUi/&EnableInventoryTaintNonProficientItemsRed	<i>+ Colorare di rosso ogni oggetto con cui l'eroe non è esperto</i>.
ModUi/&EnableInvisibleCrownOfTheMagister	Nascondere la <color=#FFA500>Corona del Magister</color> nell'interfaccia del gioco
ModUi/&EnableLevel20	Abilita il livello 20 <b><i><color=#C04040E0>[Richiede il riavvio]</color></i></b>
ModUi/&EnableLogDialoguesToConsole	Abilita i dialoghi di log alla console di gioco durante le sequenze narrative
ModUi/&EnableMinInOutAttributes	Applicare i punteggi minimi di abilità e i pre-requisiti di entrata e uscita
ModUi/&EnableOnTheFlyTranslations	Abilita la traduzione in tempo reale dei contenuti personalizzati
ModUi/&EnableRelearnSpells	Possibilità di selezionare i cantrips o gli incantesimi già appresi da altre classi
ModUi/&EnableRespec	Abilitare le azioni RESPEC e Level Down dopo il riposo
ModUi/&EnablesAsiAndFeat	Abilita sia l'aumento dei punteggi degli attributi sia la selezione delle imprese <i><color=#FFFF00>[invece di una scelta esclusiva]</color></i>
