BlueprintCategory/&FlatRoomsTitle	Camere piatte
Caption/&GadgetParametersCustomRemoveDescription	Rimuovere:\n{0}.
Condition/&ConditionBarkWardDescription	Protetto dagli spiriti della foresta. Guadagna 4 HP temporanei per ogni livello di Druid, della durata di 10 minuti.
Condition/&ConditionBarkWardTitle	Bark Ward
Condition/&ConditionDualFlurryApplyDescription	Stai prendendo slancio...
Condition/&ConditionDualFlurryApplyTitle	Doppio colpo!
Condition/&ConditionDualFlurryGrantDescription	I tuoi nemici stanno vacillando!
Condition/&ConditionDualFlurryGrantTitle	Doppio colpo!
Condition/&ConditionImprovedBarkWardDescription	Gli spiriti della foresta infliggono 2d8 danni perforanti alle creature che colpiscono con un attacco in mischia.
Condition/&ConditionImprovedBarkWardTitle	Bark Ward migliorato
Condition/&ConditionMuleDescription	La tua velocità non è ridotta da ingombro o armature pesanti. Puoi trasportare 20 sterline in più.
Condition/&ConditionMuleTitle	Mulo
Condition/&ConditionSuperiorBarkWardDescription	Gli spiriti della foresta concedono immunità al veleno e infliggono 3d8 danni perforanti alle creature che colpiscono con un attacco in mischia.
Condition/&ConditionSuperiorBarkWardTitle	Superiore Bark Ward
Condition/&EWResonatingStrikeDamageDescription	Al 5° livello, gli attacchi innescati da questo trucchetto infliggono 1d8 danni da tuono addizionali. Il danno aumenta ulteriormente di 1d8 all'11° e al 17° livello.
Condition/&EWResonatingStrikeDamageTitle	Risonanza
Condition/&EWSunlightBladeDamageDescription	Al 5° livello, gli attacchi innescati da questo trucchetto infliggono 1d8 danni radianti aggiuntivi. Il danno aumenta ulteriormente di 1d8 all'11° e al 17° livello.
Condition/&EWSunlightBladeDamageTitle	L'ustione di Sunlit Blade
Condition/&HelpActionDescription	Questa creatura è stata distratta.
Condition/&HelpActionTitle	Distratto
ContentPack/&CommunityExpansionPackDescription	Il pacchetto di espansione della comunità aggiunge nuove classi, sottoclassi, talenti e incantesimi. C'è un limite di livello superiore, multi-classe, funzionalità QOL, correzioni di bug e altro ancora. È un vero e proprio Horn of Plenty (TM)...
