ActionAffinity/&DHFeeblemindSpellDescription	Impossibile lanciare incantesimi.
ActionAffinity/&DHFeeblemindSpellTitle	Mente debole
AttributeModifier/&AncientForestAttributeModifierBarkskinDescription	AC è impostato su 16.
AttributeModifier/&AncientForestAttributeModifierBarkskinTitle	Pelle di corteccia
AttributeModifier/&DHFeeblemindChaSpellDescription	Il punteggio di Carisma è impostato su 1.
AttributeModifier/&DHFeeblemindChaSpellTitle	Carisma debole
AttributeModifier/&DHFeeblemindIntSpellDescription	Il punteggio di Carisma è impostato su 1.
AttributeModifier/&DHFeeblemindIntSpellTitle	Intelligenza debole
BlueprintCategory/&FlatRoomsTitle	Camere piatte
Caption/&GadgetParametersCustomRemoveDescription	Rimuovere:\n{0}.
Class/&ClassMonkDescription	I monaci sono uniti nella loro capacità di sfruttare magicamente l'energia che scorre nei loro corpi. Che sia incanalata come una sorprendente dimostrazione di abilità in combattimento o un focus più sottile di abilità e velocità difensive, questa energia infonde tutto ciò che fa un Mistico.
Class/&ClassMonkTitle	Monaco
Class/&ClassWarlockDescription	Gli stregoni sono alla ricerca della conoscenza che giace nascosta nel tessuto del multiverso. Attraverso patti fatti con misteriosi esseri dal potere soprannaturale, gli stregoni sbloccano effetti magici sia sottili che spettacolari.
Class/&ClassWarlockTitle	Stregone
Class/&TinkererDescription	I riparatori sono inventori, alchimisti e altro ancora. Collegano lo spazio tra magia e tecnologia.
Class/&TinkererTitle	Pensiero
Class/&WitchArmorProficiencyDescription	Armatura leggera.
Class/&WitchArmorProficiencyTitle	Competenze nelle armature delle streghe
Class/&WitchBurnedFireResistanceDescription	Hai resistenza ai danni da fuoco.
Class/&WitchBurnedFireResistanceTitle	Bruciato: Resistenza al fuoco
Class/&WitchBurnedProduceFlameDescription	Conosci il trucchetto Produce Flame, che non conta sul numero totale di trucchetti conosciuti.
Class/&WitchBurnedProduceFlameTitle	Bruciato: produce fiamma
Class/&WitchCacklePowerDescription	Puoi usare la tua azione bonus per ridacchiare. La durata della tua Maledizione si estende di 1 round per ogni creatura colpita entro 18 metri da te.\nNon tutte le streghe ridono in modo maniacale quando ridacchiano, ma tutte le risatine richiedono una componente verbale, come un incantesimo. Questi vanno da maledizioni e insulti banali, al mormorio di lingue morte e al parlare al contrario.
Class/&WitchCacklePowerTitle	Schiamazzare
Class/&WitchDescription	Afflitte da una sinistra maledizione, le streghe possono trasformare la magia oscura in Maledictions, che usano per debilitare i nemici. Sono anche accompagnati dai loro famigli, leali compagni magici che usano per assestare il colpo mortale.
Class/&WitchFamiliarPowerDescription	Impari l'incantesimo Strega Famiglio, ovvero un incantesimo Trova Famiglio migliorato, e puoi lanciarlo come rituale senza componenti materiali. L'incantesimo non conta nel numero di incantesimi conosciuti. L'incantesimo migliora Trova Famiglio nei seguenti modi:\n• Il tuo famiglio svolge il suo turno immediatamente prima o dopo il tuo turno ogni round (a tua scelta).\n• Una volta per turno come azione o azione bonus, puoi comandare mentalmente al tuo famiglio di usare la sua reazione per effettuare un attacco.\n• Quando lanci un incantesimo, puoi consegnarlo tramite il tuo famiglio come se avesse lanciato l'incantesimo, anche se l'incantesimo non ha un raggio di contatto.\n• Il tuo famiglio può usare il tuo bonus di attacco con incantesimo per i suoi tiri per colpire.\n• Il tuo famiglio aggiunge il tuo bonus di competenza alla sua Classe Armatura, ai tiri salvezza e ai tiri per i danni.\n• Aggiungi il doppio del tuo livello da Strega ai punti ferita massimi del tuo famiglio.
Class/&WitchFamiliarPowerTitle	Familiare
Class/&WitchFeatureSetBurnedCurseDescription	Quasi tutto il tuo corpo è stato bruciato da fiamme arcane, lasciandoti con straordinarie cicatrici nere e braci di magia che bruciano sotto la pelle. Di conseguenza, hai resistenza ai danni da fuoco e conosci il trucchetto Produce Flame, che non conta sul numero totale di trucchetti conosciuti.
Class/&WitchFeatureSetBurnedCurseTitle	Bruciato
Class/&WitchFeatureSetLovelessCurseDescription	Sei maledetto per non trovare mai il vero amore. Stanco e disamorato, nemmeno la magia può far girare il tuo cuore; di conseguenza, sei immune all'essere incantato.
Class/&WitchFeatureSetLovelessCurseTitle	Senza amore
Class/&WitchFeatureSetRitualCastingDescription	Puoi lanciare qualsiasi incantesimo da strega che conosci come rituale se quell'incantesimo ha l'etichetta rituale.
Class/&WitchFeatureSetRitualCastingTitle	Strega: casting rituale
Class/&WitchFeatureSetVisionsCurseDescription	Sei maledetto per avere visioni terribili del futuro, presagire la morte dei tuoi amici, della tua famiglia e di te stesso. Per quanto molte di queste visioni siano inganni crudeli, a volte sono cupamente accurate. Puoi aggiungere il tuo modificatore di Carisma, oltre al tuo modificatore di Destrezza, ai tuoi tiri di iniziativa.
Class/&WitchFeatureSetVisionsCurseTitle	Visioni
Class/&WitchLovelessCharmImmunityDescription	Sei immune all'essere affascinato.
Class/&WitchLovelessCharmImmunityTitle	Senza amore: Immunità al fascino
Class/&WitchMaledictionAbateDescription	Come azione, scegli una creatura che puoi vedere entro 18 metri da te per effettuare un tiro salvezza di Carisma. Se fallisce il tiro salvezza, la creatura non può reagire fino alla fine del tuo prossimo turno.
Class/&WitchMaledictionAbateTitle	Cattura la maledizione
Class/&WitchMaledictionApathyDescription	Come azione, scegli una creatura che puoi vedere entro 18 metri da te per effettuare un tiro salvezza di Carisma. Se fallisce il tiro salvezza, fino alla fine del tuo prossimo turno, la creatura diventa indifferente verso una creatura a tua scelta verso la quale è ostile. Questa indifferenza termina se il bersaglio viene attaccato o danneggiato da un incantesimo dalla creatura a cui è indifferente.
Class/&WitchMaledictionApathyTitle	Maledizione dell'apatia
Class/&WitchMaledictionCharmDescription	Come azione, scegli una creatura che puoi vedere entro 18 metri per effettuare un tiro salvezza su Saggezza. Se fallisce il tiro salvezza, la creatura rimane affascinata da te fino alla fine del tuo prossimo turno.
Class/&WitchMaledictionCharmTitle	Fascino Maledizione
Class/&WitchMaledictionDisorientDescription	Come azione, scegli una creatura che puoi vedere entro 18 metri per effettuare un tiro salvezza su Costituzione. Se fallisce il tiro salvezza, ogni volta che questo bersaglio effettua un tiro per colpire prima della fine del tuo prossimo turno, deve tirare un d6 e sottrarre il numero ottenuto dal tiro per colpire.
Class/&WitchMaledictionDisorientTitle	Disorienta la maledizione
Class/&WitchMaledictionEvilEyeDescription	Come azione, scegli una creatura visibile e in grado di vederti entro 18 metri per effettuare un tiro salvezza su Saggezza. Se fallisce il tiro salvezza, la creatura ha paura di te fino alla fine del tuo prossimo turno.
Class/&WitchMaledictionEvilEyeTitle	Maledizione del malocchio
Class/&WitchMaledictionObfuscateDescription	Come azione, crei una sfera di nebbia di 20 piedi di raggio centrata su te stesso. La sfera si estende dietro gli angoli e la sua area è fortemente oscurata. Questo effetto dura fino alla fine del tuo prossimo turno o finché un vento di velocità moderata o maggiore (almeno 10 miglia orarie) non lo disperde.
Class/&WitchMaledictionObfuscateTitle	Maledizione offuscata
Class/&WitchMaledictionPoxDescription	Come azione, scegli una creatura che puoi vedere entro 1,5 metri per effettuare un tiro salvezza su Costituzione. Se fallisce il tiro salvezza, la creatura viene avvelenata fino alla fine del tuo prossimo turno.
Class/&WitchMaledictionPoxTitle	Maledizione del vaiolo
Class/&WitchMaledictionRuinDescription	Come azione, scegli una creatura che puoi vedere entro 18 metri per effettuare un tiro salvezza su Costituzione. Se fallisce il tiro salvezza, la Classe Armatura della creatura diminuisce di 3, fino a un minimo di 10, fino alla fine del tuo prossimo turno.
Class/&WitchMaledictionRuinTitle	Maledizione della rovina
Class/&WitchRitualCastingMagicAffinityDescription	Puoi lanciare un incantesimo da strega come rituale se quell'incantesimo ha l'etichetta rituale e hai l'incantesimo preparato.
Class/&WitchRitualCastingMagicAffinityTitle	Casting rituale
Class/&WitchSavingthrowProficiencyDescription	Saggezza, Carisma.
Class/&WitchSavingthrowProficiencyTitle	Competenze nei tiri salvezza delle streghe
Class/&WitchSkillProficiencyDescription	Scegline due tra Arcana, Inganno, Perspicacia, Intimidazione, Persuasione, Natura e Religione.
Class/&WitchSkillProficiencyTitle	Abilità delle streghe
Class/&WitchSpellcastingDescription	Sei una strega capace di lanciare incantesimi dalla lista degli incantesimi da strega.
Class/&WitchSpellcastingTitle	Incantesimi di streghe
Class/&WitchTitle	Strega
Class/&WitchToolProficiencyDescription	Scegline uno dal Kit dell'erborista e dal Kit dell'avvelenatore.
Class/&WitchToolProficiencyTitle	Competenze degli strumenti per streghe
Class/&WitchVisionsInitiativeDescription	Aggiungi il tuo modificatore di Carisma ai tuoi tiri di iniziativa.
Class/&WitchVisionsInitiativeTitle	Iniziativa Visioni
Class/&WitchWeaponProficiencyDescription	Armi semplici.
Class/&WitchWeaponProficiencyTitle	Competenze con le armi da strega
Condition/&AbateDescription	Non è possibile utilizzare le reazioni.
Condition/&AbateTitle	Abate
Condition/&AncientForestPhotosynthesisDescription	Puoi assorbire energia dalla luce solare. Mentre sei in piena luce diretta, recuperi 2 HP all'inizio del tuo turno.
