Class/&WitchArmorProficiencyDescription	Armatura leggera.
Class/&WitchArmorProficiencyTitle	Competenze nelle armature delle streghe
Class/&WitchBurnedFireResistanceDescription	Hai resistenza ai danni da fuoco.
Class/&WitchBurnedFireResistanceTitle	Bruciato: Resistenza al fuoco
Class/&WitchBurnedProduceFlameDescription	Conosci il trucchetto Produce Flame, che non conta sul numero totale di trucchetti conosciuti.
Class/&WitchBurnedProduceFlameTitle	Bruciato: produce fiamma
Class/&WitchCacklePowerDescription	Puoi usare la tua azione bonus per ridacchiare. La durata della tua Maledizione si estende di 1 round per ogni creatura colpita entro 18 metri da te.\nNon tutte le streghe ridono in modo maniacale quando ridacchiano, ma tutte le risatine richiedono una componente verbale, come un incantesimo. Questi vanno da maledizioni e insulti banali, al mormorio di lingue morte e al parlare al contrario.
Class/&WitchCacklePowerTitle	Schiamazzare
Class/&WitchDescription	Afflitte da una sinistra maledizione, le streghe possono trasformare la magia oscura in Maledictions, che usano per debilitare i nemici. Sono anche accompagnati dai loro famigli, leali compagni magici che usano per assestare il colpo mortale.
Class/&WitchFamiliarPowerDescription	Impari l'incantesimo Strega Famiglio, ovvero un incantesimo Trova Famiglio migliorato, e puoi lanciarlo come rituale senza componenti materiali. L'incantesimo non conta nel numero di incantesimi conosciuti. L'incantesimo migliora Trova Famiglio nei seguenti modi:\n• Il tuo famiglio svolge il suo turno immediatamente prima o dopo il tuo turno ogni round (a tua scelta).\n• Una volta per turno come azione o azione bonus, puoi comandare mentalmente al tuo famiglio di usare la sua reazione per effettuare un attacco.\n• Quando lanci un incantesimo, puoi consegnarlo tramite il tuo famiglio come se avesse lanciato l'incantesimo, anche se l'incantesimo non ha un raggio di contatto.\n• Il tuo famiglio può usare il tuo bonus di attacco con incantesimo per i suoi tiri per colpire.\n• Il tuo famiglio aggiunge il tuo bonus di competenza alla sua Classe Armatura, ai tiri salvezza e ai tiri per i danni.\n• Aggiungi il doppio del tuo livello da Strega ai punti ferita massimi del tuo famiglio.
Class/&WitchFamiliarPowerTitle	Familiare
Class/&WitchFeatureSetBurnedCurseDescription	Quasi tutto il tuo corpo è stato bruciato da fiamme arcane, lasciandoti con straordinarie cicatrici nere e braci di magia che bruciano sotto la pelle. Di conseguenza, hai resistenza ai danni da fuoco e conosci il trucchetto Produce Flame, che non conta sul numero totale di trucchetti conosciuti.
Class/&WitchFeatureSetBurnedCurseTitle	Bruciato
Class/&WitchFeatureSetLovelessCurseDescription	Sei maledetto per non trovare mai il vero amore. Stanco e disamorato, nemmeno la magia può far girare il tuo cuore; di conseguenza, sei immune all'essere incantato.
Class/&WitchFeatureSetLovelessCurseTitle	Senza amore
Class/&WitchFeatureSetRitualCastingDescription	Puoi lanciare qualsiasi incantesimo da strega che conosci come rituale se quell'incantesimo ha l'etichetta rituale.
Class/&WitchFeatureSetRitualCastingTitle	Strega: casting rituale
Class/&WitchFeatureSetVisionsCurseDescription	Sei maledetto per avere visioni terribili del futuro, presagire la morte dei tuoi amici, della tua famiglia e di te stesso. Per quanto molte di queste visioni siano inganni crudeli, a volte sono cupamente accurate. Puoi aggiungere il tuo modificatore di Carisma, oltre al tuo modificatore di Destrezza, ai tuoi tiri di iniziativa.
Class/&WitchFeatureSetVisionsCurseTitle	Visioni
Class/&WitchLovelessCharmImmunityDescription	Sei immune all'essere affascinato.
Class/&WitchLovelessCharmImmunityTitle	Senza amore: Immunità al fascino
Class/&WitchMaledictionAbateDescription	Come azione, scegli una creatura che puoi vedere entro 18 metri da te per effettuare un tiro salvezza di Carisma. Se fallisce il tiro salvezza, la creatura non può reagire fino alla fine del tuo prossimo turno.
Class/&WitchMaledictionAbateTitle	Cattura la maledizione
Class/&WitchMaledictionApathyDescription	Come azione, scegli una creatura che puoi vedere entro 18 metri da te per effettuare un tiro salvezza di Carisma. Se fallisce il tiro salvezza, fino alla fine del tuo prossimo turno, la creatura diventa indifferente verso una creatura a tua scelta verso la quale è ostile. Questa indifferenza termina se il bersaglio viene attaccato o danneggiato da un incantesimo dalla creatura a cui è indifferente.
Class/&WitchMaledictionApathyTitle	Maledizione dell'apatia
Class/&WitchMaledictionCharmDescription	Come azione, scegli una creatura che puoi vedere entro 18 metri per effettuare un tiro salvezza su Saggezza. Se fallisce il tiro salvezza, la creatura rimane affascinata da te fino alla fine del tuo prossimo turno.
Class/&WitchMaledictionCharmTitle	Fascino Maledizione
