Condition/&ConditionDualFlurryApplyDescription	Você está ganhando impulso...
Condition/&ConditionDualFlurryApplyTitle	Turbilhão duplo!
Condition/&ConditionDualFlurryGrantDescription	Seus inimigos estão cambaleando!
Condition/&ConditionDualFlurryGrantTitle	Turbilhão duplo!
Condition/&HelpActionDescription	Esta criatura foi distraída.
Condition/&HelpActionTitle	Distraído
CraftyFeats/&ApothecaryIntFeatDescription	Aumente sua Inteligência em 1, até um máximo de 20.\nVocê ganha proficiência com kit de herbalismo e Arcana, ou perícia se já for proficiente.
CraftyFeats/&ApothecaryIntFeatTitle	Boticário (Inteligência)
CraftyFeats/&ApothecaryWisFeatDescription	Aumente sua Sabedoria em 1, até um máximo de 20.\nVocê ganha proficiência com kit de herbalismo e Arcana, ou perícia se já for proficiente.
CraftyFeats/&ApothecaryWisFeatTitle	Boticário (Sabedoria)
CraftyFeats/&AttributeDexDescription	+1 DES até um máximo de 20
CraftyFeats/&AttributeDexTitle	Destreza
CraftyFeats/&AttributeIntDescription	+1 INT até um máximo de 20
CraftyFeats/&AttributeIntTitle	Inteligência
CraftyFeats/&AttributeWisDescription	+1 WIS até um máximo de 20
CraftyFeats/&AttributeWisTitle	Sabedoria
CraftyFeats/&CraftyArcanaDescription	Você ganha proficiência/experiência em Arcana.
CraftyFeats/&CraftyBowsDescription	Você ganha proficiência com todos os arcos e bestas.
CraftyFeats/&CraftyBowsTitle	Proficiência em Arco
CraftyFeats/&CraftyFletcherFeatDescription	Aumente sua Destreza em 1, até um máximo de 20.\nVocê ganha proficiência com ferramentas de ferreiro, ou perícia se já for proficiente.\n Você ganha proficiência com todos os arcos e bestas.
CraftyFeats/&CraftyFletcherFeatTitle	Fletcher
CraftyFeats/&CraftyMedicineDescription	Você ganha proficiência/experiência em Medicina.
CraftyFeats/&CraftyNatureDescription	Você ganha proficiência/experiência em Natureza.
CraftyFeats/&CraftyScribeFeatDescription	Aumente sua Inteligência em 1, até um máximo de 20.\nVocê ganha proficiência com kit de pergaminho e Arcana, ou perícia se já for proficiente.\nRequer a habilidade de lançar feitiços.
CraftyFeats/&CraftyScribeFeatTitle	Escriba
CraftyFeats/&CraftySkillsTitle	Habilidades
CraftyFeats/&CraftyToolsTitle	Ferramentas
CraftyFeats/&ManacalonCrafterFeatDescription	Aumente sua Inteligência em 1, até um máximo de 20.\nVocê ganha proficiência com rosário manacolon e Arcana, ou perícia se já for proficiente.\nRequer a habilidade de lançar feitiços.
CraftyFeats/&ManacalonCrafterFeatTitle	Manacalon Crafter
CraftyFeats/&ToxicologistIntFeatDescription	Aumente sua Inteligência em 1, até um máximo de 20.\nVocê ganha proficiência com kit de envenenador e Natureza, ou perícia se já for proficiente.
CraftyFeats/&ToxicologistIntFeatTitle	Toxicologista (Inteligência)
CraftyFeats/&ToxicologistWisFeatDescription	Aumente sua Sabedoria em 1, até um máximo de 20.\nVocê ganha proficiência com kit de envenenador e Medicina, ou perícia se já for proficiente.
CraftyFeats/&ToxicologistWisFeatTitle	Toxicologista (Sabedoria)
Feat/&AddConstructCantripsDescription	Adiciona truques para curar e dispensar suas construções.
Feat/&AddConstructCantripsTitle	Construir Truques
Feat/&AddProtectorConstructCantripDescription	Adiciona os truques Mending Construct e Dismiss Construct para aumentar a flexibilidade de suas construções.
Feat/&AddProtectorConstructCantripTitle	Truques de construção de bônus
Feat/&ArmorModePoolDescription	Permite ativar os modos de armadura uma vez por descanso curto.
Feat/&ArmorModePoolTitle	Modo de armadura
Feat/&ArtificialServantAttackDescription	Ataque à distância 1d6 de dano de força do seu fiel ajudante.
Feat/&ArtificialServantAttackTitle	Eslinga de Força
Feat/&ArtificialServantDescription	O servo é amigável com você e seus companheiros e obedece às suas ordens.
Feat/&ArtificialServantTitle	Servo Artificial
Feat/&CancelFlyingConditionDescription	Termine a condição de vôo para permitir pular e rastejar.
Feat/&CancelFlyingConditionTitle	Cancelar voo
Feat/&ChefConDescription	Aumente sua Constituição em 1, até um máximo de 20.\nVocê pode gastar 1 hora para cozinhar uma refeição para curar você e seus companheiros em 1d8 HP.\nUma vez por dia, você pode gastar uma hora para cozinhar guloseimas que fornecem HP temporário quando ingeridas.
Feat/&ChefConTitle	Cozinheiro (Constituição)
Feat/&ChefShortRestFeastDescription	Você pode gastar 1 hora para cozinhar uma refeição para curar você e seus companheiros em 1d8 HP.
Feat/&ChefShortRestFeastTitle	Refeição de Descanso Curto
Feat/&ChefWisDescription	Aumente sua Sabedoria em 1, até um máximo de 20.\nVocê pode gastar 1 hora para cozinhar uma refeição para curar você e seus companheiros em 1d8 HP.\nUma vez por dia, você pode gastar uma hora para cozinhar guloseimas que fornecem HP temporário quando ingeridas.
Feat/&ChefWisTitle	Chef (Sabedoria)
Feat/&ConstructSelectingPoolDescription	Selecione o modo para o seu Construct.
Feat/&ConstructSelectingPoolTitle	Modo Artilharia
Feat/&DeadeyeFeatDescription	Você dominou armas de longo alcance e pode fazer tiros que outros acham impossíveis.\n• Atacar a longa distância não impõe desvantagem em suas jogadas de ataque à distância.\n• Seus ataques com armas à distância ignoram meia cobertura e três quartos de cobertura.\n• Você pode escolher receber uma penalidade de -5 em sua jogada de ataque com arma de longo alcance. Se o ataque acertar, você causa mais 10 de dano do tipo da arma.
Feat/&DeadeyeFeatTitle	Deadeye
Feat/&DismissConstructDescription	Desinvoque sua construção.
Feat/&DismissConstructTitle	Dispensar construção
Feat/&DualFlurryDescription	Você é um mestre da luta com armas emparelhadas. Em qualquer turno em que você acertar duas vezes com ataques corpo a corpo enquanto empunha uma arma em cada mão, você pode fazer um ataque adicional com a mão inábil ao atacar com sua ação bônus.
Feat/&DualFlurryTitle	Dupla rajada
Feat/&FeatArcaneDefenseDescription	Aumente sua Inteligência em 1, até um máximo de 20.\nEnquanto você não estiver usando nenhuma armadura, sua CA é igual a 10 + seu modificador de Destreza + seu modificador de Inteligência.
Feat/&FeatArcaneDefenseTitle	Defesa Arcana
Feat/&FeatArcanePrecisionDescription	Você pode usar uma ação bônus para selecionar uma arma. Seus ataques contam como mágicos e você usa sua Inteligência para suas jogadas de ataque e dano por 1 minuto. Esta característica pode ser usada duas vezes por descanso longo.
Feat/&FeatArcanePrecisionTitle	Precisão Arcana
Feat/&FeatBlindFightingStlyeDescription	Você tem visão às cegas com alcance de 3 metros.
Feat/&FeatBlindFightingStlyeTitle	Estilo de luta: Luta às cegas
Feat/&FeatBrutalThugDescription	Você acerta golpes poderosos nos lugares certos.\nVocê ganha proficiência em armas simples e marciais.\nVocê pode atacar furtivamente usando armas marciais.
Feat/&FeatBrutalThugTitle	bandido brutal
Feat/&FeatChaIncrementDescription	Aumente seu Carisma em 1, até um máximo de 20.
Feat/&FeatChaIncrementTitle	Aumento do Atributo Carisma
Feat/&FeatCharismaticDefenseDescription	Aumente seu Carisma em 1, até um máximo de 20.\nEnquanto você não estiver usando nenhuma armadura, sua CA é igual a 10 + seu modificador de Destreza + seu modificador de Carisma.
Feat/&FeatCharismaticDefenseTitle	Defesa Carismática
Feat/&FeatCharismaticPrecisionDescription	Você pode usar uma ação bônus para selecionar uma arma. Seus ataques contam como mágicos e você usa seu Carisma para suas jogadas de ataque e dano por 1 minuto. Esta característica pode ser usada duas vezes por descanso longo.
Feat/&FeatCharismaticPrecisionTitle	Precisão Carismática
