Item/&CEHalberd+1Title	Alabarda +1
Item/&CEHalberd+1UnidentifiedTitle	Alabarda de qualidade
Item/&CEHalberd+2Title	Alabarda +2
Item/&CEHalberd+2UnidentifiedTitle	Alabarda Magnífica
Item/&CEHalberdLightningTitle	Alabarda Relâmpago
Item/&CEHalberdLightningUnidentifiedTitle	Alabarda Magnífica
Item/&CEHalberdPrimedTitle	Alabarda Preparada
Item/&CEHalberdTitle	Alabarda
Item/&CEHandXbow+1Title	Besta de Mão +1
Item/&CEHandXbow+1UnidentifiedTitle	Besta de mão de qualidade
Item/&CEHandXbow+2Title	Besta de Mão +2
Item/&CEHandXbow+2UnidentifiedTitle	Besta de mão magnífica
Item/&CEHandXbowAcidTitle	Besta de Mão Ácida
Item/&CEHandXbowAcidUnidentifiedTitle	Besta de mão magnífica
Item/&CEHandXbowPrimedTitle	Besta de mão preparada
Item/&CEHandXbowTitle	Besta de mão
Item/&CELongMace+1Title	Maça Longa +1
Item/&CELongMace+1UnidentifiedTitle	Maça Longa de Qualidade
Item/&CELongMace+2Title	Maça Longa +2
Item/&CELongMace+2UnidentifiedTitle	Maça Longa Magnífica
Item/&CELongMacePrimedTitle	Maça Longa Preparada
Item/&CELongMaceThunderTitle	Maça Longa Trovejante
Item/&CELongMaceThunderUnidentifiedTitle	Maça Longa Magnífica
Item/&CELongMaceTitle	Maça Longa
Item/&CEPike+1Title	Pique +1
Item/&CEPike+1UnidentifiedTitle	Pique de qualidade
Item/&CEPike+2Title	Pique +2
Item/&CEPike+2UnidentifiedTitle	Lúcio Magnífico
Item/&CEPikePrimedTitle	Pique Preparado
Item/&CEPikePsychicTitle	Pique Psíquico
Item/&CEPikePsychicUnidentifiedTitle	Lúcio Magnífico
Item/&CEPikeTitle	Pique
Item/&Handwraps+1Title	Bandagens +1
Item/&Handwraps+1UnidentifiedTitle	Almofadas de mão de boa qualidade
Item/&Handwraps+2Title	Alças +2
Item/&Handwraps+2UnidentifiedTitle	Algemas Magníficas
Item/&HandwrapsOfForceTitle	Algemas Fortes
Item/&HandwrapsOfForceUnidentifiedTitle	Algemas Magníficas
Item/&HandwrapsOfPullingTitle	Alças de Puxar
Item/&HandwrapsOfPullingUnidentifiedTitle	Algemas Magníficas
