BlueprintCategory/&FlatRoomsTitle	Apartamentos
Caption/&GadgetParametersCustomRemoveDescription	Remover:\n{0}.
Condition/&ConditionBarkWardDescription	Protegido pelos espíritos da floresta. Ganhe 4 HP temporários para cada nível de Druida, com duração de 10 minutos.
Condition/&ConditionBarkWardTitle	Ala de Latidos
Condition/&ConditionDualFlurryApplyDescription	Você está ganhando impulso...
Condition/&ConditionDualFlurryApplyTitle	Turbilhão duplo!
Condition/&ConditionDualFlurryGrantDescription	Seus inimigos estão cambaleando!
Condition/&ConditionDualFlurryGrantTitle	Turbilhão duplo!
Condition/&ConditionImprovedBarkWardDescription	Os espíritos da floresta causam 2d8 de dano perfurante às criaturas que atingirem com um ataque corpo a corpo.
Condition/&ConditionImprovedBarkWardTitle	Sentido de Latido Aprimorado
Condition/&ConditionMuleDescription	Sua velocidade não é reduzida por sobrecarga ou armadura pesada. Você pode carregar 20 quilos adicionais.
Condition/&ConditionMuleTitle	Mula
Condition/&ConditionSuperiorBarkWardDescription	Os espíritos da floresta concedem imunidade a venenos e causam 3d8 de dano perfurante às criaturas que atingirem com um ataque corpo a corpo.
Condition/&ConditionSuperiorBarkWardTitle	Ala do Latido Superior
Condition/&EWResonatingStrikeDamageDescription	No 5º nível, os ataques desencadeados por este truque causam 1d8 de dano trovejante adicional. O dano aumenta ainda mais em 1d8 no 11º e 17º níveis.
Condition/&EWResonatingStrikeDamageTitle	Ressonância
Condition/&EWSunlightBladeDamageDescription	No 5º nível, os ataques desencadeados por este truque causam 1d8 de dano radiante adicional. O dano aumenta ainda mais em 1d8 no 11º e 17º níveis.
Condition/&EWSunlightBladeDamageTitle	Queimadura de Sunlit Blade
Condition/&HelpActionDescription	Esta criatura foi distraída.
Condition/&HelpActionTitle	Distraído
ContentPack/&CommunityExpansionPackDescription	O pacote de expansão da comunidade adiciona novas classes, subclasses, talentos e feitiços. Há um limite de nível mais alto, multiclasse, recursos de QOL, correções de bugs e muito mais. É um verdadeiro Horn of Plenty (TM)...
ContentPack/&CommunityExpansionPackTitle	Pacote de Expansão da Comunidade
Failure/&FailureFlagTargetMeleeWeaponError	Não é possível realizar ataques corpo a corpo neste alvo com a arma atual
Feature/&AdditionalActionDualFlurryDescription	Você pode fazer um ataque adicional com a mão inábil.
Feature/&AdditionalActionDualFlurryTitle	Turbilhão duplo!
Feature/&AdditionalDamageFeatShadySneakAttackDescription	Uma vez por turno, você pode causar 1d6 de dano extra a uma criatura que você acertar com um ataque que atenda ao Ataque Furtivo do Ladino. No 7º nível este dano aumenta para 2d6 e no 14º nível para 3d6. Isso pode acumular com o ataque furtivo de Rogue.
Feature/&AdditionalDamageFeatShadySneakAttackTitle	Ataque sorrateiro
Feature/&AlwaysBeardDescription	{0}% de chances de crescer uma barba gloriosa!
Feature/&ArmorofShadowsTitle	Armadura das Sombras
Feature/&AscendantStepTitle	Passo Ascendente
Feature/&AttributeModifier{0}Description	{0}
Feature/&BarbarianIndomitableMightDescription	Se seu total para um teste de Força for menor que seu valor de Força, você pode usar esse valor no lugar do total.
Feature/&BarbarianIndomitableMightTitle	Força Indomável
Feature/&BardSkillsTitle	Habilidades de Bardo
Feature/&DeadeyeDescription	Atacar a longa distância não impõe desvantagem em suas jogadas de ataque à distância. Suas armas de longo alcance ignoram meia cobertura e três quartos de cobertura. Você pode escolher receber uma penalidade de -5 de bônus para acertar para causar um bônus de +10 de dano.
Feature/&DeadeyeTitle	Deadeye
Feature/&DHConjureMinorElementalsBonusCantripDescription	Seu controle das energias elementais aumentou a tal ponto que agora você tem domínio sobre os elementais mais fracos. Você pode conjurar elemental menor à vontade.
Feature/&DHConjureMinorElementalsBonusCantripTitle	Lacaios Elementais
Feature/&DHHolyAuraBlindingPowerDescription	Quando um demônio ou um morto-vivo atinge uma criatura afetada com um ataque corpo a corpo, a aura pisca com uma luz brilhante. O atacante deve ter sucesso em um teste de resistência de Constituição ou ficará cego até que a magia termine.
Feature/&DHHolyAuraBlindingPowerTitle	Retaliação da Aura Sagrada
Feature/&DHWardingBondBonusCantripDescription	Seu controle dos portais da fenda aumentou a ponto de agora você poder conceder a proteção da fenda a outros. Você pode lançar vínculo de proteção à vontade (sem compartilhar o dano).
Feature/&DHWardingBondBonusCantripTitle	Manto da Fenda
Feature/&DreadfulWordTitle	Palavra terrível
Feature/&DualFlurryDescription	Você é um mestre da luta com armas emparelhadas. Em qualquer turno em que você acertar duas vezes com ataques corpo a corpo enquanto empunha uma arma em cada mão, você pode fazer um ataque adicional com a mão inábil.
Feature/&DualFlurryTitle	Dupla rajada
