ActionAffinity/&DHFeeblemindSpellDescription	Incapaz de lançar feitiços.
ActionAffinity/&DHFeeblemindSpellTitle	Mente fraca
AttributeModifier/&AncientForestAttributeModifierBarkskinDescription	AC está definido para 16.
AttributeModifier/&AncientForestAttributeModifierBarkskinTitle	Barkskin
AttributeModifier/&DHFeeblemindChaSpellDescription	A pontuação de carisma é definida como 1.
AttributeModifier/&DHFeeblemindChaSpellTitle	Carisma fraco
AttributeModifier/&DHFeeblemindIntSpellDescription	A pontuação de carisma é definida como 1.
AttributeModifier/&DHFeeblemindIntSpellTitle	Inteligência fraca
BlueprintCategory/&FlatRoomsTitle	Apartamentos
Caption/&GadgetParametersCustomRemoveDescription	Remover:\n{0}.
Class/&ClassMonkDescription	Os monges estão unidos em sua capacidade de aproveitar magicamente a energia que flui em seus corpos. Seja canalizada como uma demonstração impressionante de proeza de combate ou um foco mais sutil de habilidade defensiva e velocidade, essa energia infunde tudo o que um monge faz.
Class/&ClassMonkTitle	Monge
Class/&ClassWarlockDescription	Bruxos são buscadores do conhecimento que está escondido no tecido do multiverso. Através de pactos feitos com seres misteriosos de poder sobrenatural, os feiticeiros desbloqueiam efeitos mágicos sutis e espetaculares.
Class/&ClassWarlockTitle	Bruxo
Class/&TinkererDescription	Tinkerers são inventores, alquimistas e muito mais. Eles preenchem o espaço entre magia e tecnologia.
Class/&TinkererTitle	Pensamento
Class/&WitchArmorProficiencyDescription	Armadura leve.
Class/&WitchArmorProficiencyTitle	Proficiências em Armadura de Bruxa
Class/&WitchBurnedFireResistanceDescription	Você tem resistência a dano de fogo.
Class/&WitchBurnedFireResistanceTitle	Queimado: Resistência ao Fogo
Class/&WitchBurnedProduceFlameDescription	Você conhece o truque Produzir Chama, que não conta para o número total de truques conhecidos.
Class/&WitchBurnedProduceFlameTitle	Queimado: Produzir Chama
Class/&WitchCacklePowerDescription	Você pode usar sua ação bônus para gargalhar. A duração de sua Maldição se estende por 1 rodada para cada criatura afetada a até 18 metros de você.\nNem todas as bruxas riem loucamente quando cacarejam, mas todas as gargalhadas requerem um componente verbal, como um feitiço. Estes variam de maldições e insultos mundanos, ao murmúrio de línguas mortas e falar de trás para frente.
Class/&WitchCacklePowerTitle	Cacarejo
Class/&WitchDescription	Afligidas por uma maldição sinistra, as bruxas podem transformar magia negra em Maldições, que elas usam para debilitar os inimigos. Eles também são acompanhados por seus familiares, companheiros mágicos leais que eles usam para dar o golpe mortal.
Class/&WitchFamiliarPowerDescription	Você aprende o feitiço Witch Familiar, ou seja, um feitiço Find Familiar melhorado, e pode lançá-lo como um ritual sem componentes materiais. A magia não conta para o seu número de magias conhecidas. O feitiço melhora Encontrar Familiar das seguintes maneiras:\n• Seu familiar tem seu turno imediatamente antes ou depois do seu turno a cada rodada (sua escolha).\n• Uma vez por turno como uma ação ou ação bônus, você pode comandar mentalmente seu familiar para usar sua reação para fazer um ataque.\n• Quando você conjura um feitiço, você pode lançá-lo através de seu familiar como se ele tivesse conjurado o feitiço, mesmo que o feitiço não tenha alcance de toque.\n• Seu familiar pode usar seu bônus de ataque mágico para suas jogadas de ataque.\n• Seu familiar adiciona seu bônus de proficiência à sua Classe de Armadura, testes de resistência e jogadas de dano.\n• Você adiciona o dobro do seu nível de Bruxa aos pontos de vida máximos do seu familiar.
Class/&WitchFamiliarPowerTitle	Familiar
Class/&WitchFeatureSetBurnedCurseDescription	Quase todo o seu corpo foi queimado por chamas arcanas, deixando-o com cicatrizes negras marcantes e brasas de magia que queimam sob a pele. Como resultado, você tem resistência a dano de fogo e conhece o truque Produzir Chama, que não conta para o número total de truques conhecidos.
Class/&WitchFeatureSetBurnedCurseTitle	Queimado
Class/&WitchFeatureSetLovelessCurseDescription	Você está amaldiçoado a nunca encontrar o amor verdadeiro. Cansado e insatisfeito, nem mesmo a magia pode transformar seu coração; como resultado, você é imune a ser enfeitiçado.
Class/&WitchFeatureSetLovelessCurseTitle	sem amor
Class/&WitchFeatureSetRitualCastingDescription	Você pode lançar qualquer feitiço de Bruxa que você conheça como um ritual se esse feitiço tiver a etiqueta ritual.
Class/&WitchFeatureSetRitualCastingTitle	Bruxa: Casting Ritual
Class/&WitchFeatureSetVisionsCurseDescription	Você está amaldiçoado a ter visões terríveis do futuro, pressagiando a morte de seus amigos, familiares e você mesmo. Por mais que muitas dessas visões sejam enganos cruéis, às vezes são sombriamente precisas. Você pode adicionar seu modificador de Carisma, além do seu modificador de Destreza, às suas jogadas de iniciativa.
Class/&WitchFeatureSetVisionsCurseTitle	Visões
Class/&WitchLovelessCharmImmunityDescription	Você é imune a ser enfeitiçado.
Class/&WitchLovelessCharmImmunityTitle	Loveless: Imunidade a Charme
Class/&WitchMaledictionAbateDescription	Com uma ação, escolha uma criatura que você possa ver a até 18 metros de você para fazer um teste de resistência de Carisma. Se falhar na resistência, a criatura não pode realizar reações até o final do seu próximo turno.
Class/&WitchMaledictionAbateTitle	Pegue a maldição
Class/&WitchMaledictionApathyDescription	Com uma ação, escolha uma criatura que você possa ver a até 18 metros de você para fazer um teste de resistência de Carisma. Se falhar na resistência, até o final do seu próximo turno, a criatura se torna indiferente a uma criatura de sua escolha à qual ela é hostil. Essa indiferença termina se o alvo for atacado ou ferido por uma magia da criatura à qual é indiferente.
Class/&WitchMaledictionApathyTitle	Maldição da Apatia
Class/&WitchMaledictionCharmDescription	Com uma ação, escolha uma criatura que você possa ver a até 18 metros para fazer um teste de resistência de Sabedoria. Se falhar na resistência, a criatura fica enfeitiçada por você até o final do seu próximo turno.
Class/&WitchMaledictionCharmTitle	Amuleto Maldição
Class/&WitchMaledictionDisorientDescription	Com uma ação, escolha uma criatura que você possa ver a até 18 metros para fazer um teste de resistência de Constituição. Em uma falha na resistência, sempre que este alvo fizer uma jogada de ataque antes do final do seu próximo turno, ele deve rolar um d6 e subtrair o número rolado da jogada de ataque.
Class/&WitchMaledictionDisorientTitle	Maldição Desorientar
Class/&WitchMaledictionEvilEyeDescription	Com uma ação, escolha uma criatura que você possa ver que possa vê-lo a até 18 metros para fazer um teste de resistência de Sabedoria. Se falhar na resistência, a criatura fica com medo de você até o final do seu próximo turno.
Class/&WitchMaledictionEvilEyeTitle	Maldição do mau-olhado
Class/&WitchMaledictionObfuscateDescription	Com uma ação, você cria uma esfera de neblina de 6 metros de raio centrada em você. A esfera se espalha pelos cantos e sua área é fortemente obscurecida. Este efeito dura até o final do seu próximo turno ou até que um vento de velocidade moderada ou maior (pelo menos 10 milhas por hora) o disperse.
Class/&WitchMaledictionObfuscateTitle	Ofuscar Maldição
Class/&WitchMaledictionPoxDescription	Com uma ação, escolha uma criatura que você possa ver a até 1,5 metro para fazer um teste de resistência de Constituição. Se falhar na resistência, a criatura fica envenenada até o final do seu próximo turno.
Class/&WitchMaledictionPoxTitle	Maldição da varíola
Class/&WitchMaledictionRuinDescription	Com uma ação, escolha uma criatura que você possa ver a até 18 metros para fazer um teste de resistência de Constituição. Se falhar na resistência, a Classe de Armadura da criatura diminui em 3, para um mínimo de 10, até o final do seu próximo turno.
Class/&WitchMaledictionRuinTitle	Arruinar Maldição
Class/&WitchRitualCastingMagicAffinityDescription	Você pode lançar um feitiço de bruxa como um ritual se esse feitiço tiver a etiqueta ritual e você tiver o feitiço preparado.
Class/&WitchRitualCastingMagicAffinityTitle	Fundição Ritual
Class/&WitchSavingthrowProficiencyDescription	Sabedoria, Carisma.
Class/&WitchSavingthrowProficiencyTitle	Proficiências em Testes de Resistência da Bruxa
Class/&WitchSkillProficiencyDescription	Escolha dois de Arcana, Deception, Insight, Intimidation, Persuasion, Nature e Religion.
Class/&WitchSkillProficiencyTitle	Habilidades de bruxa
Class/&WitchSpellcastingDescription	Você é uma bruxa que é capaz de lançar feitiços da lista de feitiços de bruxa.
Class/&WitchSpellcastingTitle	Feitiço de Bruxa
Class/&WitchTitle	Bruxa
Class/&WitchToolProficiencyDescription	Escolha um do Kit Herbalist e Kit do Poisoner.
Class/&WitchToolProficiencyTitle	Proficiências em Ferramentas de Bruxa
Class/&WitchVisionsInitiativeDescription	Você adiciona seu modificador de Carisma às suas rolagens de iniciativa.
Class/&WitchVisionsInitiativeTitle	Iniciativa Visões
Class/&WitchWeaponProficiencyDescription	Armas Simples.
Class/&WitchWeaponProficiencyTitle	Proficiências com Armas de Bruxa
Condition/&AbateDescription	Não pode usar reações.
Condition/&AbateTitle	Abater
Condition/&AncientForestPhotosynthesisDescription	Você pode absorver energia da luz solar. Enquanto você estiver sob luz direta, você recupera 2 HP no início do seu turno.
Condition/&AncientForestPhotosynthesisTitle	Fotossíntese
Condition/&AncientForestRootedConditionDescription	Gavinhas arbóreas crescem de seus pés e cavam no chão. Você pode lançar emaranhar à vontade. Seu deslocamento se torna 0 e você ganha vantagem em qualquer teste de resistência para empurrá-lo, puxá-lo ou derrubá-lo.
Condition/&AncientForestRootedConditionTitle	Enraizado
Condition/&ApathyDescription	Indiferente à criatura alvo contra a qual é hostil. Essa indiferença termina se o alvo for atacado ou ferido por uma magia da criatura alvo.
Condition/&ApathyTitle	Apatia
Condition/&CharmDescription	Considera o lançador um aliado.
Condition/&CharmTitle	Encantado
Condition/&ClassMonkEmptyBodyConditionDescription	Você tem resistência a todos os danos, exceto a força.
Condition/&ClassMonkEmptyBodyConditionTitle	Corpo Vazio
Condition/&ClassMonkOpenHandDistractConditionDescription	Não pode usar reações.
Condition/&ClassMonkOpenHandDistractConditionTitle	Distraído
Condition/&ClassMonkStepOfTheWindConditionDescription	Você pode realizar a ação Desengajar ou Correr como uma ação bônus e sua distância de salto é dobrada no turno.
Condition/&ClassMonkStepOfTheWindConditionTitle	Passo do vento
Condition/&ClassMonkTanquilityConditionDescription	Você tem vantagem em testes de resistência contra feitiços e inimigos têm desvantagem em atacar você. Removido quando você faz um ataque ou lança um feitiço.
Condition/&ClassMonkTanquilityConditionTitle	Tranqüilidade
Condition/&ClassMonkZenArrowDistractConditionDescription	Tem desvantagem no próximo ataque.
Condition/&ClassMonkZenArrowDistractConditionTitle	Distraído
Condition/&ClassMonkZenArrowUpgradedDistractConditionDescription	Tem desvantagem em todos os ataques.
