Condition/&ConditionDualFlurryApplyDescription Вы набираете	обороты...
Condition/&ConditionDualFlurryApplyTitle Двойной	шквал!
Condition/&ConditionDualFlurryGrantDescription Твои враги	шатаются!
Condition/&ConditionDualFlurryGrantTitle Двойной	шквал!
Condition/&HelpActionDescription Это существо было	отвлечено.
Condition/&HelpActionTitle	Оказать помощь
CraftyFeats/&ApothecaryIntFeatDescription Увеличьте свой Интеллект на 1, максимум до 20.\nВы приобретаете мастерство в использовании набора для травничества и Арканы или опыта, если уже владеете	им.
CraftyFeats/&ApothecaryIntFeatTitle Аптекарь	(Интеллект)
CraftyFeats/&ApothecaryWisFeatDescription Увеличьте свою Мудрость на 1, максимум до 20.\nВы приобретаете мастерство в использовании набора для травничества и Арканы или опыта, если уже владеете	им.
CraftyFeats/&ApothecaryWisFeatTitle Аптекарь	(Мудрость)
CraftyFeats/&AttributeDexDescription +1 ЛОВ до максимум	20
CraftyFeats/&AttributeDexTitle	Ловкость
CraftyFeats/&AttributeIntDescription +1 ИНТ до максимум	20
CraftyFeats/&AttributeIntTitle	Интеллект
CraftyFeats/&AttributeWisDescription +1 МУД до максимум	20
CraftyFeats/&AttributeWisTitle	Мудрость
CraftyFeats/&CraftyArcanaDescription Вы получаете мастерство/опыт в	Аркана.
CraftyFeats/&CraftyBowsDescription Вы получаете владение всеми луками и	арбалетами.
CraftyFeats/&CraftyBowsTitle Владение	луком
CraftyFeats/&CraftyFletcherFeatDescription Увеличьте свою Ловкость на 1, максимум до 20.\nВы получаете владение кузнечными инструментами или опыт, если вы уже владеете им.\n Вы получаете владение всеми луками и	арбалетами.
CraftyFeats/&CraftyFletcherFeatTitle	Флетчер
CraftyFeats/&CraftyMedicineDescription Вы получаете мастерство/опыт в	медицине.
CraftyFeats/&CraftyNatureDescription Вы получаете мастерство/опыт в	Природе.
CraftyFeats/&CraftyScribeFeatDescription Увеличьте свой Интеллект на 1, максимум до 20.\nВы получаете владение набором свитков и Арканой или опыт, если уже владеете им.\nТребует умения произносить	заклинания.
CraftyFeats/&CraftyScribeFeatTitle	Писарь
CraftyFeats/&CraftySkillsTitle Навыки и	умения
CraftyFeats/&CraftyToolsTitle	Инструменты
CraftyFeats/&ManacalonCrafterFeatDescription Увеличьте свой Интеллект на 1, максимум до 20.\nВы получаете владение четками манаколона и Арканами или опыт, если уже владеете ими.\nТребует умения произносить	заклинания.
CraftyFeats/&ManacalonCrafterFeatTitle Создатель	манакалона
CraftyFeats/&ToxicologistIntFeatDescription Увеличьте свой Интеллект на 1, максимум до 20.\nВы получаете мастерство с набором отравителя и Природой, или мастерство, если уже	владеете.
CraftyFeats/&ToxicologistIntFeatTitle Токсиколог	(Интеллект)
CraftyFeats/&ToxicologistWisFeatDescription Увеличьте свою Мудрость на 1, максимум до 20.\nВы получаете владение набором отравителя и лекарством или опыт, если уже владеете	им.
CraftyFeats/&ToxicologistWisFeatTitle Токсиколог	(Мудрость)
Feat/&AddConstructCantripsDescription Добавляет колдовство для исцеления и освобождения ваших	конструкций.
Feat/&AddConstructCantripsTitle Создание	колдовства
Feat/&AddProtectorConstructCantripDescription Добавляет заклинания Mending Construct и Dismiss Construct, чтобы повысить гибкость ваших	конструкций.
Feat/&AddProtectorConstructCantripTitle Бонусные колдовские	конструкции
Feat/&ArmorModePoolDescription Позволяет активировать режимы брони один раз за короткий	отдых.
Feat/&ArmorModePoolTitle Режим	брони
Feat/&ArtificialServantAttackDescription Атака дальнего боя 1d6 силового урона от вашего верного	помощника.
Feat/&ArtificialServantAttackTitle Силовая	праща
Feat/&ArtificialServantDescription Слуга дружелюбен к вам и вашим спутникам и подчиняется вашим	командам.
Feat/&ArtificialServantTitle Искусственный	слуга
Feat/&CancelFlyingConditionDescription Завершите состояние полета, чтобы разрешить прыжки и	ползание.
Feat/&CancelFlyingConditionTitle Отменить	полет
Feat/&ChefConDescription Увеличьте ваше Телосложение на 1, максимум до 20.\nВы можете потратить 1 час на приготовление еды, которая исцелит вас и ваших спутников на 1d8 HP.\nРаз в день вы можете потратить час на приготовление угощений, которые при употреблении дают временный	ОЗ.
Feat/&ChefConTitle Шеф	(Телосложение)
Feat/&ChefShortRestFeastDescription Вы можете потратить 1 час на приготовление еды, которая исцелит вас и ваших спутников на 1d8	ОЗ.
Feat/&ChefShortRestFeastTitle Короткий прием	пищи
Feat/&ChefWisDescription Увеличьте свою Мудрость на 1, максимум до 20.\nВы можете потратить 1 час на приготовление еды, которая исцелит вас и ваших спутников на 1d8 ОЗ.\nРаз в день вы можете потратить час на приготовление угощений, которые при употреблении дают временные	ОЗ.
Feat/&ChefWisTitle Шеф-повар	(Мудрость)
Feat/&ConstructSelectingPoolDescription Выберите режим для вашей	конструкции.
Feat/&ConstructSelectingPoolTitle Артиллерийский	режим
Feat/&DeadeyeFeatDescription Вы освоили оружие дальнего боя и можете делать выстрелы, которые другие считают невозможными.\n• Атака на большом расстоянии не накладывает помехи на ваши броски атаки оружием дальнего боя.\n• Ваши атаки оружием дальнего боя игнорируют половину укрытия и укрытие на три четверти.\n• Вы можете получить штраф -5 к броску атаки оружием дальнего боя. Если атака попадает, вы наносите дополнительные 10 единиц урона типа	оружия.
Feat/&DeadeyeFeatTitle Меткий	глаз
Feat/&DismissConstructDescription Отзовите свою	конструкцию.
Feat/&DismissConstructTitle Отклонить	конструкцию
Feat/&DualFlurryDescription Вы мастер боя спаренным оружием. В любой ход, когда вы дважды наносите удары рукопашными атаками, держа по оружию в каждой руке, вы можете совершить дополнительную атаку левой рукой при атаке бонусным	действием.
Feat/&DualFlurryTitle Двойной	шквал
Feat/&FeatArcaneDefenseDescription Увеличьте свой Интеллект на 1, максимум до 20.\nПока вы не носите никаких доспехов, ваш КД равен 10 + ваш модификатор Ловкости + ваш модификатор	Интеллекта.
Feat/&FeatArcaneDefenseTitle Защита	Арканы
