ModUi/&AddAllToStore	Добавить все в магазин
ModUi/&AddBleedingToLesserRestoration	Добавить состояние <color=orange>Кровотечение</color> к состояниям, снимаемым <color=orange>Большим и Малым восстановлением</color>
ModUi/&AddHelpActionToAllRaces	Добавить действие <color=orange>Помощь</color> всем расам.
ModUi/&AddNewWeaponsAndRecipesToEditor	<i>+ Также добаить их в Создатель Подземелий</i>
ModUi/&AddPickpocketableLoot	Добавить добычу для карманных краж <i><color=yellow>[рекомендуется, если умение <color=orange>Карманная Кража</color> включено]</color></i>
ModUi/&AddToStore	Добавить в магазин
ModUi/&Advanced	<color=yellow>Дополнительно:</color>
ModUi/&AdvancedHelp	. <b><color=#C04040E0>ВНИМАНИЕ:</color></b> Эти настройки потребуют, чтобы у игрока был установлен этот мод.
ModUi/&Adventure	<color=yellow>Приключение:</color>
ModUi/&AllItemInDm	Все предметы в Создателе Подземелий
ModUi/&AllowAnyClassToWearSylvanArmor	Разрешить любому классу носить Лесной доспех или одежду Несущего Свет.
ModUi/&AllowDruidToWearMetalArmor	Разрешить <color=orange>Друидам</color> носить металлические доспехи
ModUi/&AllowDungeonsMaxLevel20	Разрешить подземелья с максимальным уровнем 20 <b><i><color=#C04040E0>[Требуется перезапуск]</color></i></b>
ModUi/&AllowGadgetsAndPropsToBePlacedAnywhere	Разрешить размещение гаджетов и объектов в любом месте на карте <i><color=yellow>[нажмите <color=cyan>CTRL</color> во время размещения, чтобы обойти любую проверку]</color></i>
ModUi/&AllowStackedMaterialComponent	Разрешить составной материальный компонент <i><color=yellow>[например, 2 алмаза по 500 зм эквивалентны бриллианту за 1000 зм]</color></i>
ModUi/&AllowTargetingSelectionWhenCastingChainLightningSpell	Разрешить выбор целей при использовании заклинания <color=orange>Цепная молния</color>
ModUi/&AllowUnmarkedSorcerers	Разрешить неотмеченных <color=orange>Заклинателей</color>
ModUi/&AllRecipesInDm	Все рецепты в Создателе Подземелий
ModUi/&AltOnlyHighlightItemsInPartyFieldOfView	Клавиша <color=cyan>ALT</color> выделяет гаджеты только в поле зрения группы [только в пользовательских подземельях]
ModUi/&Ammunition	<color=yellow>Боеприпасы</color>
ModUi/&Armor	<color=yellow>Доспехи</color>
ModUi/&AutoPauseOnVictory	Ставить паузу после победы в бою
ModUi/&Basic	<color=yellow>Основное:</color>
ModUi/&Battle	<color=yellow>Битва:</color>
ModUi/&Bestiary	Бестиарий
ModUi/&BestowCurseNoConcentrationRequiredForSlotLevel5OrAbove	<color=orange>Наложить Проклятие</color> не требует концентрации при использовании ячейки заклинания 5+ уровня
ModUi/&BlindedConditionDontAllowAttackOfOpportunity	Состояние <color=orange>Ослепённый</color> не позволяет совершать провоцированные атаки (атаки по возможности)
ModUi/&Blueprints	Чертежи
ModUi/&CampaignsAndLocations	<color=yellow>Кампании и локации:</color>
ModUi/&Character	Персонаж
ModUi/&CharactersPool	Пул персонажей
ModUi/&Classes	<color=yellow>Классы</color>
ModUi/&Crafting	<color=yellow>Изготовление:</color>
ModUi/&CraftingHelp	. Нажмите кнопку, чтобы мгновенно изучить рецепты активной группой\n. Предметы, добавленные в магазины, могут потребовать, чтобы группа ушла из локации и вернулась.
ModUi/&Credits	Благодарности
ModUi/&CreditsAndDiagnostics	Благодарности и диагностика
ModUi/&DisableAutoEquip	Отключить автоэкипировку предметов в инвентаре
ModUi/&DisableSenseDarkVisionFromAllRaces	Отключить <color=orange>Чувство Тёмное зрение</color> для всех рас <b><i><color=#C04040E0>[Требуется перезагрузка]</color></i></b>
ModUi/&DisableSenseSuperiorDarkVisionFromAllRaces	Отключить <color=orange>Чувство Превосходное тёмное зрение</color> для всех рас <b><i><color=#C04040E0>[Требуется перезагрузка]</color></i></b>
ModUi/&DisplayAllKnownSpellsDuringLevelUp	Отображать все известные заклинания других классов при повышении уровня
ModUi/&DontFollowCharacterInBattle	Боевая камера не следует за персонажем, когда он уже на экране
ModUi/&DontFollowMargin	<i><color=white>+ Если только герой не за экраном или находится в пределах % от края экрана</color></i>
ModUi/&DungeonMaker	<color=yellow>Создатель Подземелий:</color>
ModUi/&DungeonMakerBasicHelp	. Эти настройки не потребуют от игрока установки этого мода.\n. Вы можете встроить любую переменную кампании в свои диалоги, описания и т.д.\n. CE заменит их на их значения во время игры <i><color=yellow>[т.е.: Привет, {Приветствие}, герой!]</color></i>
ModUi/&DungeonMakerMenu	Создатель Подземелий
ModUi/&EmpressGarbAppearance	Внешний вид <color=orange>Одеяния Императрицы</color>
ModUi/&EnableAdditionalFociInDungeonMaker	<i>+ Добавить новые предметы фокусоровки в Создатель Подземелий</i>
ModUi/&EnableAdditionalIconsOnLevelMap	Включить дополнительные значки для лагерей, выходов и телепортов на карте уровня
ModUi/&EnableAlternateHuman	Разрешить альтернативные особенности человека <i><color=yellow>[+1 бонусная особенность (черта) / +1 к двум характеристикам на выбор / +1 навык]</color></i>
ModUI/&EnableBetaContent	Включить контент бета-версии <i><color=yellow>[имейте в виду, что ваши сохранения или герои могут сломаться в будущем]</color></i> <b><i><color=#C04040E0>[Требуется перезагрузка]</color></i></b>
ModUi/&EnableCancelEditOnRightMouseClick	Включить отмену действия по щелчку правой кнопкой мыши
ModUi/&EnableCharacterChecker	Включить экран инспектора персонажа
ModUi/&EnableCharacterExport	Включить экспорт персонажа по <color=cyan>CTRL-SHIFT-(E)</color> <i><color=yellow>[только на экране проверки персонажа]</color></i>
ModUi/&EnableCheatMenu	Включить меню читов
ModUi/&EnableCtrlClickBypassAttackReactionPanel	При атаке с зажатой <color=cyan>CTRL</color> игнорировать всплывающие панели реакций
ModUi/&EnableCtrlClickBypassMetamagicPanel	При наложении заклинаний с зажатой <color=cyan>CTRL</color> игнорировать всплывающие панели метамагии <color=orange>Заклинателя</color>
ModUi/&EnableCtrlClickOnlySwapsMainHand	При смене набора оружия с зажатой <color=cyan>CTRL</color> сохранять предмет во второй руке
ModUi/&EnableDungeonMakerModdedContent	Включить Создатель Подземелий Pro <b><i><color=#C04040E0>[Требуется перезагрузка]</color></i></b>\n\nвключает в себя плоские комнаты, размеры подземелий 150x150 и 200x200 и простое совмещение элементов из разных сред\nу вас должна быть хотя бы одна комната на открытой местности, если вы выбираете среду на открытой местности
ModUi/&EnableEpicPointsAndArray	Включить эпическую систему покупки характеристик на 35 очков и набор значений <i><color=yellow>[17,15,13,12,10,8]</color></i> <b><i><color=#C04040E0> [Требуется перезагрузка]</color></i></b>
ModUi/&EnableExtraHighLevelMonsters	Включить дополнительных монстров высокого уровня (Опасность 20+) для кампаний 3 и 4 тира (11+ уровня) <b><i><color=#C04040E0>[Требуется перезапуск]</color></i></b>
ModUi/&EnableFeatsAtEvenLevels	Включить выбор бонусных особенностей (черт) на уровнях класса 2, 6, 10 и 14
ModUi/&EnableFlexibleBackgrounds	Включить гибкие предыстории <i><color=yellow>[выбор владений навыками и инструментами из предысторий]</color></i>
ModUi/&EnableFlexibleRaces	Включить гибкие расы <i><color=yellow>[выбирать распределение очков характеристик вместо использования стандартный расовых бонусов]</color></i>
ModUi/&EnableHotkeyDebugOverlay	Открывать оверлей отладки по <color=cyan>CTRL-SHIFT-(D)</color>
ModUi/&EnableHotkeyToggleHud	Открывать худ по <color=cyan>CTRL-SHIFT-(H)</color>, чтобы переключать видимость всех панелей пользовательского интерфейса
ModUi/&EnableHotkeyToggleIndividualHud	Изменять видимость панелей пользовательского интерфейса по: <color=cyan>CTRL-SHIFT-(C)</color> - панель управления, <color=cyan>CTRL-SHIFT-(L)</color> - лог, <color=cyan>CTRL-SHIFT-(M)</color> - карта, <color=cyan>CTRL-SHIFT-(P)</color> - партия
ModUi/&EnableHotkeyZoomCamera	Включить приближение камеры по <color=cyan>CTRL-SHIFT-(Z)</color> <i><color=yellow>[полезно при создании скриншотов подземелий для публикации]</color></i>
ModUi/&EnableIgnoreCtrlClickOnCriticalHit	<i>+ игнорировать только если не критическое попадание</i>
ModUi/&EnableInventoryFilteringAndSorting	Включить фильтрацию и сортировку инвентаря
ModUi/&EnableInventoryTaintNonProficientItemsRed	<i>+ Выделять красным любой предмет, которым герой не владеет</i>
ModUi/&EnableInvisibleCrownOfTheMagister	Скрывать <color=orange>Корону Магистра</color> в интерфейсе игры
