Message/&AbortCreationDescription	Отменить создание персонажа?
Message/&AbortCreationTitle	Отмена создания персонажа
Message/&AbortLevelUpDescription	Отменить получение персонажем нового уровня?
Message/&AbortLevelUpTitle	Отмена получения персонажем нового уровня
Message/&AmountGainedFormat	
Message/&AttunementLostDescription	Предмет «{0}» больше не связан с персонажем.
Message/&AttunementLostTitle	Связь утеряна
Message/&AttunementRemovalDescription	Отменить связь с этим предметом?
Message/&AttunementRemovalTitle	Удаление связи
Message/&AttunementReplacementDescription	У этого предмета есть связь ({0}). Создать новую связь ({1})?
Message/&AttunementReplacementTitle	Замена связи
Message/&CannotLoad	Сейчас загрузка невозможна
Message/&CannotSave	Сейчас сохранение невозможно
Message/&CharacterDeletionDescription	Удалить этого персонажа? Действие нельзя отменить.
Message/&CharacterDeletionTitle	Удаление персонажа
Message/&ConcentrationLossDescription	Наложив заклинание «{0}», вы перестанете концентрироваться на заклинании «{1}». Продолжить?
Message/&ConcentrationLossTitle	Потеря концентрации
Message/&CraftingAbortDescription	Отменить создание предмета? Весь прогресс и потраченные ингредиенты будут утеряны.
Message/&CraftingAbortTitle	Отмена создания
Message/&FastTravelConfirmationDescription	Быстро переместиться в это место? Время будет соответствующим образом перемотано вперёд. 
Message/&FastTravelConfirmationTitle	Быстрое перемещение
Message/&FastTravelErrorPathNotFoundDescription	Невозможно быстро переместиться в это место — путь заблокирован.
Message/&FastTravelErrorTitle	Быстрое перемещение
Message/&FastTravelExitLocationDescription	Быстро переместиться к выходу и покинуть область? Время будет соответствующим образом перемотано вперёд. 
Message/&FastTravelExitLocationTitle	Быстрое перемещение и выход из области
Message/&IdentificationCancelledTitle	Опознание предмета отменено.
Message/&IncompletePreparationDescription	Вы можете подготовить больше заклинаний. Продолжить?
Message/&IncompletePreparationTitle	Неполная подготовка заклинаний
Message/&ItemsOnGroundDescription	Если выйти из этого места, предметы, лежащие на земле, будут утеряны. Продолжить?
Message/&ItemsOnGroundTitle	Потеря предметов
Message/&LegalDisagreeAndQuitDescription	Поскольку вы не приняли условия соглашения, приложение закроется.
Message/&LegalDisagreeAndQuitTitle	Выход из игры
Message/&MessageCancelTitle	Отмена
Message/&MessageNoTitle	Нет
Message/&MessageOkTitle	OK
Message/&MessageYesTitle	Да
Message/&PartyLosesGoldPieces	Отряд теряет {0} зол. мон.
Message/&QuitLocationDescription	Вы собираетесь покинуть текущую область. Продолжить?
Message/&QuitLocationTitle	Покинуть область
Message/&ResumeCampDescription	Хотите продолжить отдых?
Message/&ResumeCampTitle	Продолжить отдых
Message/&ResumeRestDescription	Хотите продолжить долгий отдых?
Message/&ResumeRestTitle	Продолжить долгий отдых
Message/&SavedGameDeleteDescription	Удалить сохранённую игру «{0}» навсегда?
Message/&SavedGameDeleteTitle	Удалить сохранённую игру
Message/&SavedGameOverwriteDescription	Перезаписать сохранённую игру «{0}» с текущим прогрессом?
Message/&SavedGameOverwriteTitle	Перезаписать сохранённую игру
Message/&ScrollScribeDestructionDescription	Запись заклинания в выбранную книгу уничтожит свиток. Продолжить?
Message/&ScrollScribeDestructionTitle	Перепись свитка
Message/&SessionCancelDescription	Выйти из нового приключения?
Message/&SessionCancelTitle	Отменить приключение
Message/&SettingConfirmSettingsDescription	Сохранить выбранные настройки?
Message/&SettingConfirmSettingsTitle	Подтвердить настройки
Message/&SettingExitWithoutApplyDescription	Закрыть это окно и отменить все внесённые изменения?
Message/&SettingExitWithoutApplyTitle	Отмена изменений
Message/&SkipLevelUpFormat	Вы не завершили повышение уровня персонажа {0}. Выйти?
Message/&SkipLevelUpTitle	Пропуск повышения уровня персонажа
Message/&WaitForLongRestDescription	Сегодня вы уже располагались на долгий отдых. Подождать начала следующего дня?
Message/&WaitForLongRestTitle	Ожидание долгого отдыха
Message/&EndEarlyAccessDescription	Вы прошли весь игровой материал версии раннего доступа. Сейчас вы вернётесь в главное меню.
Message/&EndEarlyAccessTitle	Конец раннего доступа
Message/&EndEarlyAccessMainMenuTitle	Главное меню
Message/&EndEarlyAccessContinuePlayingTitle	Продолжить игру
Message/&MessageKeyAlreadyBoundTitle	Клавиша уже используется
Message/&MessageKeyAlreadyBoundDescription	Клавиша {0} уже используется для команды «{1}»
Message/&MessageOverrideTitle	Изменить
Message/&SettingDefaultSettingsDescription	Вы точно хотите вернуть значения по умолчанию для данной категории настроек?
Message/&SettingDefaultSettingsTitle	Возвращение настроек по умолчанию
Message/&RestartRequiredDescription	Для вступления изменений в силу необходимо перезапустить программу
Message/&RestartRequiredTitle	Требуется перезагрузка
Message/&ScrollScribeAlreadyInSpellbookDescription	Заклинание «{0}» уже есть в книге заклинаний
Message/&ScrollScribeAlreadyInSpellbookTitle	Уже в книге заклинаний
Message/&MandatoryDestinationFormat	Вам необходимо отправиться в «{0}»
Message/&CharacterCannotMove	{0} не может двигаться.
Message/&OverrideCustomDifficultyTitle	Изменить пользовательские настройки
Message/&OverrideCustomDifficultyDescription	Вы сбросите все пользовательские настройки, выбранные в меню настроек игры. Продолжить?
Message/&SteamInitFailedDescription	Не удаётся подключиться к клиенту Steam. Убедитесь, что вы запускаете игру с помощью Steam. Попробуйте перезапустить клиент. Игра будет закрыта.
Message/&SteamInitFailedTitle	Ошибка инициализации Steam
Message/&NativeCrashDetectedTitle	Некорректный выход из игры
Message/&NativeCrashDetectedDescription	Выход из игры совершён некорректно. Если вы видите это сообщение впервые, мы рекомендуем снизить настройки качества графики и сообщить об ошибке нашей команде на форуме.
Message/&EndEarlyAccessDescription2	Вы прошли версию для раннего доступа. Основной сюжет для вас закончен, но вы можете путешествовать, искать предметы и выполнять необязательные задания.
