NamedPlace/&AerElai_Title	АЭР-ЭЛАЙ
NamedPlace/&BADLANDS_Title	ПУСТОШИ
NamedPlace/&CopperheadRoad_Title	ДОРОГА\nКОППЕРХЕД
NamedPlace/&DUCHY_caercyflen_Title	Герцогство\nКаэр Кифлен
NamedPlace/&DUCHY_easternforests_Title	Герцогство\nВосточных лесов
NamedPlace/&DUCHY_northernhills_Title	Герцогство\nСеверных холмов
NamedPlace/&DUCHY_northernplains_Title	Герцогство\nСеверных равнин
NamedPlace/&DUCHY_southmarsh_Title	Герцогство\nЮжной трясины
NamedPlace/&DUCHY_westernfields_Title	Герцогство\nЗападных полей
NamedPlace/&Einarium_Title	Эйнариум
NamedPlace/&GALLIVAN_Title	КОРОЛЕВСТВО\nГАЛЛИВАН
NamedPlace/&Kaupaapunki_Title	КАУПААПУНКИ
NamedPlace/&MASGARTH_Title	КНЯЖЕСТВО\nМАСГАРТ
NamedPlace/&NEWEMPIRE_Title	НОВАЯ ИМПЕРИЯ
NamedPlace/&Sandreed_Title	СЭНДРИД
NamedPlace/&SNOWALLIANCE_Title	СНЕЖНЫЙ СОЮЗ
NamedPlace/&MARCHES_Title	Пограничье
NamedPlace/&Jungle_Title	Джунгли
NamedPlace/&City_Title	Холмы Хайфрида
NamedPlace/&Swamp_Title	Болота Гесса
