Prop/&CandelabraTitle	Канделябр
Prop/&CandelabraDescription	Декоративный канделябр
Prop/&ColumnATitle	Колонна A
Prop/&ColumnADescription	Декоративная колонна
Prop/&ColumnBTitle	Колонна B
Prop/&ColumnBDescription	Декоративная колонна
Prop/&FireBasinTitle	Жаровня
Prop/&FireBasinDescription	Горящая жаровня, освещающая окрестности
Prop/&BenchTitle	Скамейка
Prop/&BenchDescription	Декоративная скамейка
Prop/&GuardrailsATitle	Поручни
Prop/&GuardrailsADescription	Низкая стена, которую можно использовать как тяжёлое укрытие
Prop/&DebrisATitle	Обломки
Prop/&DebrisADescription	Куча камня, мешающая передвижению
Prop/&GuardrailsBrokenATitle	Сломанный поручень A
Prop/&GuardrailsBrokenADescription	Короткая и сломанная низкая стена, которую можно использовать как тяжёлое укрытие
Prop/&GuardrailsBrokenBTitle	Сломанный поручень B
Prop/&GuardrailsBrokenBDescription	Длинная и сломанная низкая стена, которую можно использовать как тяжёлое укрытие
Prop/&GuardrailsLinkTitle	Часть поручня
Prop/&GuardrailsLinkDescription	Колонна для низкой стены
Prop/&GuardrailsStraightATitle	Прямой поручень A
Prop/&GuardrailsStraightADescription	Короткая низкая стена, которую можно использовать как тяжёлое укрытие
Prop/&GuardrailsStraightBTitle	Прямой поручень B
Prop/&GuardrailsStraightBDescription	Длинная низкая стена, которую можно использовать как тяжёлое укрытие
Prop/&MausoleumTitle	Мавзолей
Prop/&MausoleumDescription	Недоступный погребальный монумент
Prop/&StatueTitle	Статуя
Prop/&StatueDescription	Декоративная статуя
Prop/&TombATitle	Гробница A
Prop/&TombADescription	Гробница, в которую нельзя войти
Prop/&TombBTitle	Гробница B
Prop/&TombBDescription	Декоративная гробница, мешающая передвижению
Prop/&TombCTitle	Гробница C
Prop/&VaseTitle	Ваза
Prop/&VaseDescription	Декоративная погребальная ваза
Prop/&WallBlockerATitle	Стена-заслон
Prop/&WallBlockerADescription	Широкая стена, загораживающая проход
Prop/&WallBlockerBTitle	Стена-заслон
Prop/&WallBlockerBDescription	Широкая стена, загораживающая проход
Prop/&WallChainTitle	Цепь
Prop/&WallChainDescription	Кусок металла, висящий на стене
Prop/&WallCrawl	Стена с дырой для заползания
Prop/&WallCrawlDescription	Широкая стена с дырой, сквозь которую можно проползти
Prop/&WallTorchTitle	Настенный факел
Prop/&WallTorchDescription	Вечно горящий факел, который можно разместить на стене
Prop/&BlockTitle	Блок
Prop/&BlockDescription	Предмет, с помощью которого можно делить комнату на подразделы
Prop/&AltarTitle	Алтарь
Prop/&AltarDescription	Религиозная постройка для молитв божеству
Prop/&AlchemyTableTitle	Алхимический стол
Prop/&ArmorStandTitle	Стойка для доспехов
Prop/&BannerTitle	Знамя
Prop/&BarrelsTitle	Бочки
Prop/&BarrelStackTitle	Штабель бочек
Prop/&BedTitle	Кровать
Prop/&BirdCageTitle	Птичья клетка
Prop/&BookShelfTitle	Книжная полка
Prop/&BookStackTitle	Стопка книг
Prop/&CabinetTitle	Шкаф
Prop/&CarpetTitle	Ковёр
Prop/&ChairTitle	Стул
Prop/&CorpseTitle	Труп
Prop/&CouchTitle	Диван
Prop/&CrateTitle	Ящик
Prop/&CrateStackTitle	Штабель ящиков
Prop/&CushionsTitle	Подушки
Prop/&FakeDoorTitle	Фальшивая дверь
Prop/&FakeDoorDescription	Фальшивая дверь для обозначения входа/выхода из подземелья. Для использования в сочетании с устройством входа/выхода
Prop/&FakeStairsTitle	Фальшивые ступени
Prop/&FakeStairsDescription	Фальшивые ступени для обозначения входа/выхода из подземелья. Для использования в сочетании с устройством входа/выхода
Prop/&FireplaceTitle	Камин
Prop/&GlobeTitle	Глобус
Prop/&GreenHouseTitle	Теплица
Prop/&HarpTitle	Арфа
Prop/&MirrorTitle	Зеркало
Prop/&PaintingTitle	Картина
Prop/&PlantTitle	Растение
Prop/&PrisonFenceTitle	Тюремный забор
Prop/&ShelvesTitle	Полки
Prop/&StillTitle	Дистиллятор
Prop/&StoolTitle	Табурет
Prop/&StoveTitle	Печь
Prop/&TableTitle	Стол
Prop/&TelescopeTitle	Телескоп
Prop/&TreasurePedestalTitle	Подставка для сокровища
Prop/&WindowTitle	Окно
Prop/&WorkTableTitle	Рабочий стол
Prop/&WallSimpleTitle	Свободная стена
Prop/&WallThinTitle	Тонкая стена
Prop/&ReadingDeskTitle	Стол для чтения
Prop/&SpinningWheelTitle	Прялка
Prop/&DeskTitle	Стол
Prop/&SpiderWebsTitle	Паутина
Prop/&BasketTitle	Корзина
Prop/&BedrollTitle	Скатка
Prop/&BraseroTitle	Жаровня
Prop/&CageTitle	Клетка
Prop/&CartTitle	Тележка
Prop/&CocoonTitle	Кокон
Prop/&HutTitle	Хижина
Prop/&LavaBasinTitle	Бассейн с лавой
Prop/&MarketBoothTitle	Торговый ларёк
Prop/&MushroomsTitle	Грибы
Prop/&RocksTitle	Камни
Prop/&SkinsTitle	Кожи
Prop/&SpiderEggsTitle	Паучьи яйца
Prop/&RockTitle	Камень
Prop/&StalagmiteTitle	Сталагмит
Prop/&StoneTitle	Камень
Prop/&StrawTitle	Солома
Prop/&StructureTitle	Сооружение
Prop/&TotemTitle	Тотем
Prop/&WoodenPlatformTitle	Деревянная платформа
