Rules/&AbilityAndSkillFormat	{0} ({1})
Rules/&AbilityCheckFormat	{0} к20{1}
Rules/&AbilityCheckVersusDcFormat	{0} к20{1} против КС {2}
Rules/&AbilityScoreBonusFormat	+ бонус к характеристике
Rules/&ActivationTypeActionTitle	Действие
Rules/&ActivationTypeBonusActionTitle	Бонусное действие.
Rules/&ActivationTypeHours1Title	1 час
Rules/&ActivationTypeHours24Title	24 часа
Rules/&ActivationTypeMinute10Title	10 минут
Rules/&ActivationTypeMinute1Title	1 минута
Rules/&ActivationTypeNoCostTitle	Свободное действие.
Rules/&ActivationTypeOnAttackHitTitle	При попадании
Rules/&ActivationTypeOnAttackHitWithBowTitle	При попадании (лук)
Rules/&ActivationTypePermanentUnlessIncapacitatedTitle	Постоянное
Rules/&ActivationTypeReactionTitle	Реакция
Rules/&ActivationTypeRestDescription	Эту способность можно активировать во время отдыха.
Rules/&ActivationTypeRestTitle	Отдых
Rules/&AlignmentDescription	Типичное существо в мире игры обладает мировоззрением, примерно описывающим его моральные и личностные наклонности. Мировоззрение — сочетание двух факторов: морали (добро, нейтралитет, зло) и отношения к обществу и порядку (законопослушность, нейтралитет, хаотичность).
Rules/&AlignmentTitle	Мировоззрение
Rules/&AlterationFormExtinguishFireFormat	Гасит огни
Rules/&AlterationFormExtinguishLightFormat	Гасит свет
Rules/&AlterationFormRemoveDarknessFormat	Убирает тьму
Rules/&AlterationFormRevealTrapFormat	Показывает ловушки
Rules/&AlterationFormUnlockFormat	Отпирает выбранный объект
Rules/&ChallengeDifficultyDeadlyTitle	Смертоносный
Rules/&ChallengeDifficultyEasyTitle	Низкий
Rules/&ChallengeDifficultyHardTitle	Высокий
Rules/&ChallengeDifficultyMediumTitle	Средняя длина
Rules/&ConditionAcidifiedDescription	Получает урон кислотой каждый ход до завершения эффекта.
Rules/&ConditionAcidifiedTitle	Поражение кислотой
Rules/&ConditionAidedDescription	Очки здоровья (максимальные/текущие) повышаются на 5+.
Rules/&ConditionAidedTitle	Получает помощь
Rules/&ConditionAntitoxin	Преимущество к спасброскам на телосложение против отравления.
Rules/&ConditionAsleepDescription	Не может действовать до пробуждения.
Rules/&ConditionAsleepTitle	Спит
Rules/&ConditionAuraOfCourageDescription	Невосприимчивость к испугу.
Rules/&ConditionAuraOfCourageTitle	Аура отваги
Rules/&ConditionAuraOfProtectionDescription	Даёт бонусный модификатор +ХАР спасброскам существа.
Rules/&ConditionAuraOfProtectionTitle	Аура защиты
Rules/&ConditionBackFromTheDead1Description	Штраф в -1 к броскам атаки, спасброскам и проверкам характеристик. Устройте долгий отдых, чтобы снизить штраф.
