AttributeModifier/&AncientForestAttributeModifierBarkskinDescription Класс Доспеха устанавливается на	16.
AttributeModifier/&AncientForestAttributeModifierBarkskinTitle Дубовая	кожа
Class/&ClassWarlockDescription Чернокнижники — искатели знаний, скрытых в ткани мультивселенной. Благодаря договорам, заключенным с таинственными существами, обладающими сверхъестественной силой, колдуны открывают магические эффекты, как тонкие, так и	впечатляющие.
Class/&ClassWarlockTitle	Чернокнижник
Condition/&AncientForestPhotosynthesisDescription Вы можете поглощать энергию солнечного света. Пока вы находитесь под прямым ярким светом, вы восстанавливаете 2 ОЗ в начале своего	хода.
Condition/&AncientForestPhotosynthesisTitle	Фотосинтез
Condition/&AncientForestRootedConditionDescription Древесные усики растут из ваших ног и впиваются в землю. Вы можете использовать запутывание по желанию. Ваша скорость становится равной 0, и вы получаете преимущество в любых спасбросках, которые толкают вас, притягивают или сбивают с	ног.
Condition/&AncientForestRootedConditionTitle	Укорененный
Condition/&MoonTouchedConditionDescription Отсутствие	гравитации.
Condition/&MoonTouchedConditionTitle Касание	Луны
Equipment/&HerbalBrewDamageAffinityAcidResistanceDescription Получите сопротивление кислотному урону на 1	час.
Equipment/&HerbalBrewDamageAffinityAcidResistanceTitle Отвар кислотной	защиты
Equipment/&HerbalBrewDamageAffinityLightningResistanceDescription Получите сопротивление урону от молнии на 1	час.
Equipment/&HerbalBrewDamageAffinityLightningResistanceTitle Отвар защиты от	молнии
Equipment/&HerbalBrewDamageAffinityNecroticResistanceDescription Получите сопротивление некротическому урону на 1	час.
Equipment/&HerbalBrewDamageAffinityNecroticResistanceTitle Отвар некротической	защиты
Equipment/&HerbalBrewDamageAffinityPoisonResistanceDescription Получите сопротивление яду на 1	час.
Equipment/&HerbalBrewDamageAffinityPoisonResistanceTitle Отвар защиты от	яда
Equipment/&HerbalBrewDamageAffinityRadiantResistanceDescription Получите сопротивление к урону излучением на 1	час.
Equipment/&HerbalBrewDamageAffinityRadiantResistanceTitle Отвар сияющей	защиты
Equipment/&HerbalBrewHealingTitle Отвар	ускорения
Equipment/&HerbalBrewToxifyingTitle Отравляющий	отвар
Feat/&MoonlitBonusCantripsDescription Ваш контроль над лунным светом поднялся на новый уровень. Вы можете накладывать заклинания лунного луча и волшебного огня по	желанию.
Feat/&MoonlitBonusCantripsTitle Управление лунным	светом
Feature/&AdditionalDamageAgonizingBlastDescription Вы добавляете свой модификатор Харизмы к первому броску урона при атаке сверхъестественным	взрывом.
Feature/&AdditionalDamageAgonizingBlastTitle Мучительный	взрыв
Feature/&AdditionalDamageHinderingBlastDescription Когда вы поражаете существо своим сверхъестественным взрывом, вы можете уменьшить скорость этого существа на 10 футов до конца своего следующего	хода.
Feature/&AdditionalDamageHinderingBlastTitle Сдерживающий	взрыв
Feature/&AgonizingBlastDescription Добавьте свой модификатор Харизмы к урону Мучительный	взрыв.
Feature/&AgonizingBlastTitle Мучительный	взрыв
Feature/&AHSoulBladeEmpowerDamageBonusDescription Вы наделены силой и наносите бонус к урону, равный вашему мастерству, во всех ваших	атаках.
Feature/&AHSoulBladeEmpowerWeaponConditionDescription Вы наделены силой и наносите бонус к урону, равный вашему мастерству, во всех ваших	атаках.
Feature/&AHSoulBladeEmpowerWeaponConditionTitle Сила	души
Feature/&AHSoulBladeEmpowerWeaponDamageBonusDescription Вы наделены силой и наносите бонус к урону, равный вашему мастерству, во всех ваших	атаках.
Feature/&AHSoulBladeEmpowerWeaponDamageBonusTitle Сила	души
Feature/&AHSoulBladeSummonPactWeaponPowerDescription Один раз за короткий отдых вы можете призвать духовную форму оружия из вашего договора в качестве свободного действия. В качестве бонусного действия вы можете направить оружие по своему желанию, чтобы атаковать своих противников. Оружие перемещается на 20 футов каждый раз перед	ударом.
Feature/&AHSoulBladeSummonPactWeaponPowerTitle Оружие духовного	договора
Feature/&AHWarlockClassPactBoonSetDescription На 3 уровне ваш потусторонний покровитель преподносит вам подарок за вашу верную службу. Вы можете выбрать	между:
Feature/&AHWarlockClassPactBoonSetTitle Благословение	договора
Feature/&AHWarlockClassPactOfTheBladeSetDescription Вы становитесь опытным со всем оружием, и ваши атаки оружием считаются	магическими.
Feature/&AHWarlockClassPactOfTheBladeSetTitle Пакт	клинка
Feature/&AHWarlockSoulBladePactEmpowerWeaponPowerDescription Один раз за продолжительный отдых вы можете усилить оружие силой душ. Это оружие использует модификатор Харизмы для бросков атаки и урона и считается магическим до длительного	отдыха.
Feature/&AHWarlockSoulBladePactEmpowerWeaponPowerTitle Сила	души
Feature/&AHWarlockSoulBladePactExtendedSpellListDescription Лезвие души позволяет вам выбирать из расширенного списка заклинаний, когда вы изучаете заклинание чернокнижника. Следующие заклинания добавлены для вас в список заклинаний Чернокнижника:	{0}
Feature/&AHWarlockSoulBladePactExtendedSpellListTitle Заклинания клинка	души
Feature/&AHWarlockSoulBladePactSoulShieldPowerDescription Один раз за короткий отдых вы используете силу душ, чтобы защитить себя. Используя бонусное действие, вы получаете временные очки здоровья, равные вашему уровню + модификатор	Харизмы.
Feature/&AHWarlockSoulBladePactSoulShieldPowerTitle Щит	души
Feature/&AncientForestExpandedSpelllistAfinityDescription Вы выбираете из расширенного списка заклинаний, когда изучаете заклинание Чернокнижника. Следующие заклинания добавлены для вас в список заклинаний Чернокнижника:	{0}
Feature/&AncientForestExpandedSpelllistAfinityTitle Древние лесные	заклинания
Feature/&AncientForestLightAffinityDescription Вы можете поглощать энергию солнечного света. Пока вы находитесь под прямым ярким светом, вы получаете 2 HP за	раунд.
Feature/&AncientForestLightAffinityTitle	Фотосинтез
Feature/&AncientForestRegrowthDescription У вас есть запас исцеляющей силы, который пополняется при длительном отдыхе. С помощью этого запаса вы можете восстановить общее количество очков жизни, равное вашему уровню Чернокнижника ×	5.
Feature/&AncientForestRegrowthTitle	Отрастание
Feature/&ArmorofShadowsTitle Броня	теней
Feature/&AscendantStepTitle Восходящий	шаг
Feature/&AspectoftheMoonDescription Вам больше не нужно спать, и вы можете нести вахту, снижая вероятность нападения и гарантируя, что вы бодрствуете, если лагерь подвергнется	нападению.
Feature/&AspectoftheMoonTitle Аспект	Луны
Feature/&BeguilingInfluenceDescription Вы получаете владение навыками Обмана и	Убеждения.
Feature/&BeguilingInfluenceTitle Обманчивое	влияние
Feature/&BondoftheTalismanDescription Телепорт на расстояние до 30	футов.
Feature/&BondoftheTalismanTitle Телепорт	Талисман
Feature/&ChainsofCarceriDescription Парализует небожителя, демона или элементаля, если тот не преуспевает в спасброске	Мудрости.
Feature/&ChainsofCarceriTitle Цепи	Карцери
Feature/&ClassMonkTongueOfSunAndMoonDescription Вы учитесь прикасаться к ки других умов, чтобы понимать все разговорные языки. Более того, любое существо, понимающее язык, может понять и то, что вы	говорите.
Feature/&ClassMonkTongueOfSunAndMoonTitle Язык Солнца и	Луны
Feature/&ClassWarlockArmorProficiencyDescription Легкая	броня.
Feature/&ClassWarlockArmorProficiencyTitle Навыки доспехов	чернокнижника
Feature/&ClassWarlockEldritchInvocationReplaceDescription Выберите Eldritch Invocation для	замены.
Feature/&ClassWarlockEldritchInvocationReplaceTitle Заменить	вызов
Feature/&ClassWarlockEldritchInvocationSetLevelDescription Добавьте сверхъестественное	заклинание.
Feature/&ClassWarlockEldritchInvocationSetLevelTitle Жуткий	призыв
Feature/&ClassWarlockEldritchMasterDescription вы можете использовать свой внутренний резерв мистической силы, умоляя своего покровителя вернуть израсходованные слоты заклинаний. Вы можете потратить 1 минуту на то, чтобы умолять своего покровителя о помощи, чтобы восстановить все ваши израсходованные ячейки заклинаний из вашей функции Pact Magic. Как только вы восстановите ячейки заклинаний с помощью этой функции, вы должны закончить продолжительный отдых, прежде чем сможете сделать это	снова.
Feature/&ClassWarlockEldritchMasterTitle Жуткий	Мастер
