Class/&WitchArmorProficiencyDescription Легкая	броня.
Class/&WitchArmorProficiencyTitle Навыки доспехов	Ведьмы
Class/&WitchBurnedFireResistanceDescription У вас есть сопротивление урону от	огня.
Class/&WitchBurnedFireResistanceTitle Сожжено: сопротивление	огню
Class/&WitchBurnedProduceFlameDescription Вы знаете колдовство «Создать пламя», которое не учитывается при подсчете общего количества известных вам	колдовств.
Class/&WitchBurnedProduceFlameTitle Сожжено: создать	пламя
Class/&WitchCacklePowerDescription Вы можете использовать бонусное действие, чтобы кудахтать. Продолжительность вашего Проклятия увеличивается на 1 раунд за каждое затронутое существо в пределах 60 футов от вас.\nНе все ведьмы маниакально смеются, когда кудахчут, но все кудахтанья требуют словесного компонента, как заклинание. Они варьируются от приземленных проклятий и оскорблений до бормотания мертвых языков и речи задом	наперед.
Class/&WitchCacklePowerTitle	кудахтанье
Class/&WitchDescription Пораженные зловещим проклятием, ведьмы могут превращать темную магию в проклятия, которые они используют для ослабления противников. Их также сопровождают их фамильяры, верные магические компаньоны, которых они используют для нанесения смертельного	удара.
Class/&WitchFamiliarPowerDescription Вы изучаете заклинание Ведьма-фамильяр, т. е. улучшенное заклинание «Найти фамильяра», и можете использовать его как ритуал без материальных компонентов. Заклинание не засчитывается в число известных вам заклинаний. Заклинание улучшает функцию «Найти фамильяра» следующими способами:\n• Ваш фамильяр совершает свой ход непосредственно перед или после вашего хода в каждом раунде (по вашему выбору).\n• Один раз за ход в качестве действия или бонусного действия вы можете мысленно приказать своему фамильяру использовать его реакцию для совершения одной атаки.\n• Когда вы накладываете заклинание, вы можете передать его через своего фамильяра, как если бы он наложил заклинание, даже если у заклинания нет диапазона касания.\n• Ваш фамильяр может использовать ваш бонус атаки заклинаний для своих бросков атаки.\n• Ваш фамильяр добавляет ваш бонус мастерства к своему Классу Доспеха, спасброскам и броскам урона.\n• Вы добавляете удвоенный уровень Ведьмы к максимальному количеству хитов вашего	фамильяра.
Class/&WitchFamiliarPowerTitle	Фамильяр Ведьмы
Class/&WitchFeatureSetBurnedCurseDescription Почти все ваше тело было выжжено тайным пламенем, оставив на вас поразительные черные шрамы и угольки магии, горящие под кожей. В результате у вас есть сопротивление урону от огня, и вы знаете колдовство «Создать пламя», которое не учитывается при подсчете общего количества известных вам	заклинаний.
Class/&WitchFeatureSetBurnedCurseTitle	Сожжённая
Class/&WitchFeatureSetLovelessCurseDescription Обречена никогда не найти настоящую любовь. Измучена и недовольна, даже магия не может успокоить её сердце. В результате вы невосприимчивы к	очарованию.
Class/&WitchFeatureSetLovelessCurseTitle	Нелюбимая
Class/&WitchFeatureSetRitualCastingDescription Вы можете разыграть любое известное вам заклинание Ведьмы как ритуал, если у этого заклинания есть пометка	«Ритуал».
Class/&WitchFeatureSetRitualCastingTitle Ведьма: проведение	ритуала
Class/&WitchFeatureSetVisionsCurseDescription Вы обречены на ужасные видения будущего, предвещающие смерть ваших друзей, семьи и вас самих. Хотя многие из этих видений являются жестоким обманом, иногда они мрачно точны. Вы можете добавить модификатор Харизмы в дополнение к модификатору Ловкости к броскам	инициативы.
Class/&WitchFeatureSetVisionsCurseTitle	Наваждения
Class/&WitchLovelessCharmImmunityDescription Вы невосприимчивы к	очарованию.
Class/&WitchLovelessCharmImmunityTitle Нелюбимая: Иммунитет к	очарованию
Class/&WitchMaledictionAbateDescription В качестве действия выберите одно существо, которое вы можете видеть в пределах 60 футов от себя, чтобы совершить спасбросок Харизмы. При провале существо не может совершать реакции до конца вашего следующего	хода.
Class/&WitchMaledictionAbateTitle поймать	проклятие
Class/&WitchMaledictionApathyDescription В качестве действия выберите одно существо, которое вы можете видеть в пределах 60 футов от себя, чтобы совершить спасбросок Харизмы. При провале до конца вашего следующего хода существо становится безразличным к одному существу по вашему выбору, к которому оно враждебно. Это безразличие заканчивается, если цель подвергается нападению или повреждению заклинанием существа, к которому она	безразлична.
Class/&WitchMaledictionApathyTitle	Проклятие Апатия
Class/&WitchMaledictionCharmDescription В качестве действия выберите одно существо, которое вы можете видеть в пределах 60 футов, чтобы совершить спасбросок Мудрости. При провале существо очаровано вами до конца вашего следующего	хода.
Class/&WitchMaledictionCharmTitle Проклятие Очарование
Class/&WitchMaledictionDisorientDescription В качестве действия выберите одно существо, которое вы можете видеть в пределах 60 футов, чтобы совершить спасбросок Телосложения. При провале всякий раз, когда эта цель совершает бросок атаки до конца вашего следующего хода, она должна бросить d6 и вычесть выпавшее число из броска	атаки.
Class/&WitchMaledictionDisorientTitle Проклятие Дезориентация
Class/&WitchMaledictionEvilEyeDescription В качестве действия выберите одно видимое вам существо, которое может видеть вас в пределах 60 футов, чтобы совершить спасбросок Мудрости. При провале существо боится вас до конца вашего следующего	хода.
Class/&WitchMaledictionEvilEyeTitle Проклятие	Сглаз
Class/&WitchMaledictionObfuscateDescription Вы действием создаете туманную сферу радиусом 20 футов с центром на себе. Сфера распространяется по углам, и ее площадь сильно затемнена. Этот эффект длится до конца вашего следующего хода или до тех пор, пока ветер средней или большей скорости (по крайней мере, 10 миль в час) не рассеет	его.
Class/&WitchMaledictionObfuscateTitle Проклятие Затемнение
Class/&WitchMaledictionPoxDescription В качестве действия выберите одно существо, которое вы можете видеть в пределах 5 футов, чтобы совершить спасбросок Телосложения. При провале существо становится отравленным до конца вашего следующего	хода.
Class/&WitchMaledictionPoxTitle Проклятие Чума
Class/&WitchMaledictionRuinDescription В качестве действия выберите одно существо, которое вы можете видеть в пределах 60 футов, чтобы совершить спасбросок Телосложения. При провале Класс Защиты существа уменьшается на 3, минимум до 10, до конца вашего следующего	хода.
Class/&WitchMaledictionRuinTitle Проклятие	Порча
Class/&WitchRitualCastingMagicAffinityDescription Вы можете сотворить заклинание ведьмы как ритуал, если у этого заклинания есть тег ритуала, и у вас есть подготовленное	заклинание.
Class/&WitchRitualCastingMagicAffinityTitle Подготовка	ритуала
Class/&WitchSavingthrowProficiencyDescription Мудрость,	Харизма.
Class/&WitchSavingthrowProficiencyTitle Навыки спасброска	ведьмы
Class/&WitchSkillProficiencyDescription Выберите два из списка: Аркана, Обман, Проницательность, Запугивание, Убеждение, Природа и	Религия.
Class/&WitchSkillProficiencyTitle Навыки	Ведьмы
Class/&WitchSpellcastingDescription Ведьма способна произносить заклинания из списка ведьмовских	заклинаний.
Class/&WitchSpellcastingTitle Колдовство	Ведьмы
