Item/&CEHalberd+1Title	戟+1
Item/&CEHalberd+1UnidentifiedTitle	精制戟
Item/&CEHalberd+2Title	戟+2
Item/&CEHalberd+2UnidentifiedTitle	华丽的戟
Item/&CEHalberdLightningTitle	闪电之戟
Item/&CEHalberdLightningUnidentifiedTitle	华丽的戟
Item/&CEHalberdPrimedTitle	已制备的戟
Item/&CEHalberdTitle	戟
Item/&CEHandXbow+1Title	手弩+1
Item/&CEHandXbow+1UnidentifiedTitle	精制手弩
Item/&CEHandXbow+2Title	手弩+2
Item/&CEHandXbow+2UnidentifiedTitle	华丽的手弩
Item/&CEHandXbowAcidTitle	强酸之手弩
Item/&CEHandXbowAcidUnidentifiedTitle	华丽的手弩
Item/&CEHandXbowPrimedTitle	已制备的手弩
Item/&CEHandXbowTitle	手弩
Item/&CELongMace+1Title	长钉头锤+1
Item/&CELongMace+1UnidentifiedTitle	精制长钉头锤
Item/&CELongMace+2Title	长钉头锤+2
Item/&CELongMace+2UnidentifiedTitle	华丽的长钉头锤
Item/&CELongMacePrimedTitle	已制备的长钉头锤
Item/&CELongMaceThunderTitle	雷鸣之长钉头锤
Item/&CELongMaceThunderUnidentifiedTitle	华丽的长钉头锤
Item/&CELongMaceTitle	长钉头锤
Item/&CEPike+1Title	长矛+1
Item/&CEPike+1UnidentifiedTitle	精制长矛
Item/&CEPike+2Title	长矛+2
Item/&CEPike+2UnidentifiedTitle	华丽的长矛
Item/&CEPikePrimedTitle	已制备的长矛
Item/&CEPikePsychicTitle	心灵之长矛
Item/&CEPikePsychicUnidentifiedTitle	华丽的长矛
Item/&CEPikeTitle	长矛
Item/&Handwraps+1Title	裹手+1
Item/&Handwraps+1UnidentifiedTitle	精制裹手
Item/&Handwraps+2Title	裹手+2
Item/&Handwraps+2UnidentifiedTitle	华丽的裹手
Item/&HandwrapsOfForceTitle	力场之裹手
Item/&HandwrapsOfForceUnidentifiedTitle	华丽的裹手
Item/&HandwrapsOfPullingTitle	牵引之裹手
Item/&HandwrapsOfPullingUnidentifiedTitle	华丽的裹手
