Reaction/&CoordinatedAttackDescription	{0}受到协同攻击，一些角色能使用其反应来加入此攻击
Reaction/&CoordinatedAttackReactDescription	使用反应攻击目标
Reaction/&CoordinatedAttackReactTitle	攻击
Reaction/&CoordinatedAttackTitle	协同攻击
Reaction/&SubitemSelectCoordinatedAttackTitle	选择动作
Subclass/&FighterMarshalCoordinatedAttackDescription	当你以近身攻击命中敌人时，你的队伍成员能以其反应对此目标进行一次借机攻击
Subclass/&FighterMarshalCoordinatedAttackTitle	协作攻击
Subclass/&FighterMarshalDescription	擅长研究敌人的弱点并协调其他队伍成员的攻击以利用这些弱点，接受过这一统帅训练的战士是著名的战场策划者
Subclass/&FighterMarshalEncouragementPowerDescription	统帅的勇气激励了他的队伍成员。在其10英尺内的盟友在攻击和豁免骰上获得1d4加值。
Subclass/&FighterMarshalEncouragementPowerTitle	激励
Subclass/&FighterMarshalEternalComradeFeatureSetDescription	统帅和其战友间的联系跨越生死界限。以一个附赠动作，统帅能召唤他一位牺牲的战友的灵魂帮助其战斗
Subclass/&FighterMarshalEternalComradeFeatureSetTitle	永恒战友
Subclass/&FighterMarshalFearlessCommanderFeatureSetDescription	你对恐惧效果免疫
Subclass/&FighterMarshalFearlessCommanderFeatureSetTitle	无畏司令
Subclass/&FighterMarshalKnowYourEnemyFeatureSetDescription	你将你对当前目标的学识程度加至你的攻击和伤害骰上
Subclass/&FighterMarshalKnowYourEnemyFeatureSetTitle	知己知彼
Subclass/&FighterMarshalStudyYourEnemyPowerDescription	你能以附赠动作尝试通过一次生存检定提高对于目标的了解。每短休2次。
Subclass/&FighterMarshalStudyYourEnemyPowerTitle	研究敌人
Subclass/&FighterMarshalSummonEternalComradePowerDescription	召唤统帅一位牺牲的战友的灵魂。灵魂具有45+2倍战士职业等级的生命值并且其AC为16+熟练加值。此外，灵魂对毒素、冷冻、黯蚀、倒地、麻痹、束缚免疫，并且对火焰、强酸、闪电、雷鸣伤害有抗力。同时，其对非魔法的挥砍、钝击和穿刺伤害也有抗力。在其回合内，其能飞行最多50英尺并进行一次攻击加值为5+熟练加值的的魔法攻击，造成2d6+5挥砍伤害。
Subclass/&FighterMarshalSummonEternalComradePowerTitle	召唤永恒战友
Subclass/&FighterMarshalTitle	统帅
Subclass/&MarshalEternalComradeDescription	牺牲的战友
Subclass/&MarshalEternalComradeTitle	牺牲的战友
