BlueprintCategory/&FlatRoomsTitle	平房
Caption/&GadgetParametersCustomRemoveDescription	移除:\n{0}
Condition/&ConditionBarkWardDescription	受到森灵的保护。获得等同于4倍德鲁伊等级的临时生命，持续10分钟
Condition/&ConditionBarkWardTitle	树灵守卫
Condition/&ConditionDualFlurryApplyDescription	你气势如虹
Condition/&ConditionDualFlurryApplyTitle	飘逸双持！
Condition/&ConditionDualFlurryGrantDescription	你的敌人吓坏了!
Condition/&ConditionDualFlurryGrantTitle	飘逸双持！
Condition/&ConditionImprovedBarkWardDescription	森灵对造成近战伤害的生物造成2d8点穿刺伤害
Condition/&ConditionImprovedBarkWardTitle	强化树灵守卫
Condition/&ConditionMuleDescription	你的速度不会因为负重或重甲而降低。你能额外携带20磅
Condition/&ConditionMuleTitle	承重术
Condition/&ConditionSuperiorBarkWardDescription	森灵赋予毒素免疫，并对造成近战伤害的生物造成3d8点穿刺伤害
Condition/&ConditionSuperiorBarkWardTitle	高等树灵守卫
Condition/&EWResonatingStrikeDamageDescription	在5级时，由此法术触发的攻击会造成额外1d8点雷鸣伤害。在11级和17级时伤害额外增加1d8点
Condition/&EWResonatingStrikeDamageTitle	共鸣
Condition/&EWSunlightBladeDamageDescription	在5级时，由此法术触发的攻击会造成额外1d8点光耀伤害。在11级和17级时伤害额外增加1d8点
Condition/&EWSunlightBladeDamageTitle	炙阳之锋灼烧
Condition/&HelpActionDescription	此生物分心了
Condition/&HelpActionTitle	分心
ContentPack/&CommunityExpansionPackDescription	社区扩展包增加了新的职业、子职、专长和法术。它引入了更高的等级上限、兼职、QOL功能、Bug修复和更多特性。这是一个名副其实的丰饶之角
ContentPack/&CommunityExpansionPackTitle	社区扩展包
Failure/&FailureFlagTargetMeleeWeaponError	不能用当前武器对此目标进行近战攻击
Feature/&AdditionalActionDualFlurryDescription	你能进行一次额外的副手攻击
Feature/&AdditionalActionDualFlurryTitle	飘逸双持
Feature/&AdditionalDamageFeatShadySneakAttackDescription	每回合一次，你能对一名符合游荡者偷袭目标的生物造成额外1d6点伤害。在12级时，这个伤害骰增至2d6，20级时增至4d6。其能与游荡者的偷袭叠加
Feature/&AdditionalDamageFeatShadySneakAttackTitle	背刺攻击
Feature/&AlwaysBeardDescription	{0}%	概率长出光荣的胡须
