ActionAffinity/&DHFeeblemindSpellDescription	Kann keine Zauber wirken
ActionAffinity/&DHFeeblemindSpellTitle	Schwache Zauberei
AttributeModifier/&AncientForestAttributeModifierBarkskinDescription	AC ist auf 16 eingestellt
AttributeModifier/&AncientForestAttributeModifierBarkskinTitle	Rindenleder
AttributeModifier/&DHFeeblemindChaSpellDescription	Charismawert ist gleich 1
AttributeModifier/&DHFeeblemindChaSpellTitle	Schwaches Charisma
AttributeModifier/&DHFeeblemindIntSpellDescription	Intelligenzwert ist gleich 1
AttributeModifier/&DHFeeblemindIntSpellTitle	Schwache Intelligenz
BlueprintCategory/&FlatRoomsTitle	Flache Zimmer
Caption/&GadgetParametersCustomRemoveDescription	Entfernen:\n{0}
Class/&ClassWarlockDescription	Hexenmeister sind Sucher des Wissens, das im Gefüge des Multiversums verborgen liegt. Durch Pakte, die mit mysteriösen Wesen mit übernatürlichen Kräften geschlossen werden, entfesseln Warlocks sowohl subtile als auch spektakuläre magische Effekte
Class/&ClassWarlockTitle	Hexenmeister
Class/&TinkererDescription	Tüftler sind Erfinder, Alchemisten und mehr. Sie überbrücken den Raum zwischen Magie und Technologie
Class/&TinkererTitle	Denken
Class/&WitchArmorProficiencyDescription	Leichte Rüstung
Class/&WitchArmorProficiencyTitle	Hexenrüstungskenntnisse
Class/&WitchBurnedFireResistanceDescription	Verbrannte Feuerbeständigkeit
Class/&WitchBurnedFireResistanceTitle	Feuer Beständigkeit
Class/&WitchBurnedProduceFlameDescription	Verbrannte Produkte Flammenkraft
Class/&WitchBurnedProduceFlameTitle	Flamme produzieren
Class/&WitchCacklePowerDescription	Sie können Ihre Bonusaktion zum Gackern verwenden. Die Dauer deines Fluchs verlängert sich um 1 Runde für jede betroffene Kreatur innerhalb von 60 Fuß von dir.\nNicht alle Hexen lachen wahnsinnig, wenn sie gackern, aber jedes Gackern erfordert eine verbale Komponente als Zauber. Diese reichen von weltlichen Flüchen und Beleidigungen bis hin zum Murmeln toter Sprachen und Rückwärtssprechen
Class/&WitchCacklePowerTitle	Gackern
Class/&WitchDescription	Von einem finsteren Fluch heimgesucht, können Hexen dunkle Magie in Verwünschungen verwandeln, die sie verwenden, um Feinde zu schwächen. Sie werden auch von ihren Vertrauten begleitet, treuen magischen Gefährten, mit denen sie den Todesstoß versetzen
Class/&WitchFamiliarPowerDescription	Du lernst den Witch Familiar-Zauber, also einen verbesserten Find Familiar-Zauber, und kannst ihn als Ritual ohne materielle Komponenten wirken. Der Zauber zählt nicht zu deiner Anzahl bekannter Zauber. Der Zauber verbessert Find Familiar auf folgende Weise:\n• Dein Vertrauter ist in jeder Runde unmittelbar vor oder nach deinem Zug an der Reihe (deine Wahl).\n• Einmal pro Zug als Aktion oder Bonusaktion kannst du deinem Vertrauten im Geiste befehlen, seine Reaktion zu nutzen, um einen Angriff auszuführen.\n• Wenn du einen Zauber wirkst, kannst du ihn durch deinen Vertrauten übermitteln, als ob er den Zauber gewirkt hätte, selbst wenn der Zauber keine Reichweite hat.\n• Ihr Vertrauter kann Ihren Zauberangriffsbonus für seine Angriffswürfe verwenden.\n• Ihr Vertrauter addiert Ihren Fertigkeitsbonus zu seiner Rüstungsklasse, Rettungswürfen und Schadenswürfen.\n• Du addierst das Doppelte deiner Hexenstufe zu den maximalen Trefferpunkten deines Vertrauten
Class/&WitchFamiliarPowerTitle	Vertraut
