ATTACKER SENSE,ATTACKER LIGHT,DEFENDER SENSE,DEFENDER LIGHT,ATTACK MODIFIER
NORMAL,BRIGHT,NORMAL,BRIGHT,NONE
NORMAL,BRIGHT,NORMAL,DIM,NONE
NORMAL,BRIGHT,NORMAL,UNLIT,NONE
NORMAL,BRIGHT,NORMAL,DARKNESS,DISADVANTAGE
NORMAL,BRIGHT,DARKVISION,BRIGHT,NONE
NORMAL,BRIGHT,DARKVISION,DIM,NONE
NORMAL,BRIGHT,DARKVISION,UNLIT,NONE
NORMAL,BRIGHT,DARKVISION,DARKNESS,DISADVANTAGE
NORMAL,BRIGHT,SUPERIOR DARKVISION,BRIGHT,NONE
NORMAL,BRIGHT,SUPERIOR DARKVISION,DIM,NONE
NORMAL,BRIGHT,SUPERIOR DARKVISION,UNLIT,NONE
NORMAL,BRIGHT,SUPERIOR DARKVISION,DARKNESS,DISADVANTAGE
NORMAL,BRIGHT,TRUE SIGHT,BRIGHT,NONE
NORMAL,BRIGHT,TRUE SIGHT,DIM,NONE
NORMAL,BRIGHT,TRUE SIGHT,UNLIT,NONE
NORMAL,BRIGHT,TRUE SIGHT,DARKNESS,DISADVANTAGE
NORMAL,BRIGHT,BLIND SIGHT,BRIGHT,NONE
NORMAL,BRIGHT,BLIND SIGHT,DIM,NONE
NORMAL,BRIGHT,BLIND SIGHT,UNLIT,DISADVANTAGE
NORMAL,BRIGHT,BLIND SIGHT,DARKNESS,DISADVANTAGE
NORMAL,BRIGHT,TREMOR SENSE,BRIGHT,NONE
NORMAL,BRIGHT,TREMOR SENSE,DIM,NONE
NORMAL,BRIGHT,TREMOR SENSE,UNLIT,DISADVANTAGE
NORMAL,BRIGHT,TREMOR SENSE,DARKNESS,DISADVANTAGE
NORMAL,BRIGHT,DETECT INVISIBILITY,BRIGHT,NONE
NORMAL,BRIGHT,DETECT INVISIBILITY,DIM,NONE
NORMAL,BRIGHT,DETECT INVISIBILITY,UNLIT,NONE
NORMAL,BRIGHT,DETECT INVISIBILITY,DARKNESS,DISADVANTAGE
NORMAL,DIM,NORMAL,BRIGHT,NONE
NORMAL,DIM,NORMAL,DIM,NONE
NORMAL,DIM,NORMAL,UNLIT,NONE
NORMAL,DIM,NORMAL,DARKNESS,DISADVANTAGE
NORMAL,DIM,DARKVISION,BRIGHT,NONE
NORMAL,DIM,DARKVISION,DIM,NONE
NORMAL,DIM,DARKVISION,UNLIT,NONE
NORMAL,DIM,DARKVISION,DARKNESS,DISADVANTAGE
NORMAL,DIM,SUPERIOR DARKVISION,BRIGHT,NONE
NORMAL,DIM,SUPERIOR DARKVISION,DIM,NONE
NORMAL,DIM,SUPERIOR DARKVISION,UNLIT,NONE
NORMAL,DIM,SUPERIOR DARKVISION,DARKNESS,DISADVANTAGE
NORMAL,DIM,TRUE SIGHT,BRIGHT,NONE
NORMAL,DIM,TRUE SIGHT,DIM,NONE
NORMAL,DIM,TRUE SIGHT,UNLIT,NONE
NORMAL,DIM,TRUE SIGHT,DARKNESS,DISADVANTAGE
NORMAL,DIM,BLIND SIGHT,BRIGHT,NONE
NORMAL,DIM,BLIND SIGHT,DIM,NONE
NORMAL,DIM,BLIND SIGHT,UNLIT,DISADVANTAGE
NORMAL,DIM,BLIND SIGHT,DARKNESS,DISADVANTAGE
NORMAL,DIM,TREMOR SENSE,BRIGHT,NONE
NORMAL,DIM,TREMOR SENSE,DIM,NONE
NORMAL,DIM,TREMOR SENSE,UNLIT,DISADVANTAGE
NORMAL,DIM,TREMOR SENSE,DARKNESS,DISADVANTAGE
NORMAL,DIM,DETECT INVISIBILITY,BRIGHT,NONE
NORMAL,DIM,DETECT INVISIBILITY,DIM,NONE
NORMAL,DIM,DETECT INVISIBILITY,UNLIT,NONE
NORMAL,DIM,DETECT INVISIBILITY,DARKNESS,DISADVANTAGE
NORMAL,UNLIT,NORMAL,BRIGHT,NONE
NORMAL,UNLIT,NORMAL,DIM,NONE
NORMAL,UNLIT,NORMAL,UNLIT,NONE
NORMAL,UNLIT,NORMAL,DARKNESS,NONE
NORMAL,UNLIT,DARKVISION,BRIGHT,NONE
NORMAL,UNLIT,DARKVISION,DIM,NONE
NORMAL,UNLIT,DARKVISION,UNLIT,NONE
NORMAL,UNLIT,DARKVISION,DARKNESS,NONE
NORMAL,UNLIT,SUPERIOR DARKVISION,BRIGHT,NONE
NORMAL,UNLIT,SUPERIOR DARKVISION,DIM,NONE
NORMAL,UNLIT,SUPERIOR DARKVISION,UNLIT,NONE
NORMAL,UNLIT,SUPERIOR DARKVISION,DARKNESS,NONE
NORMAL,UNLIT,TRUE SIGHT,BRIGHT,NONE
NORMAL,UNLIT,TRUE SIGHT,DIM,NONE
NORMAL,UNLIT,TRUE SIGHT,UNLIT,NONE
NORMAL,UNLIT,TRUE SIGHT,DARKNESS,NONE
NORMAL,UNLIT,BLIND SIGHT,BRIGHT,DISADVANTAGE
NORMAL,UNLIT,BLIND SIGHT,DIM,DISADVANTAGE
NORMAL,UNLIT,BLIND SIGHT,UNLIT,DISADVANTAGE
NORMAL,UNLIT,BLIND SIGHT,DARKNESS,DISADVANTAGE
NORMAL,UNLIT,TREMOR SENSE,BRIGHT,DISADVANTAGE
NORMAL,UNLIT,TREMOR SENSE,DIM,DISADVANTAGE
NORMAL,UNLIT,TREMOR SENSE,UNLIT,DISADVANTAGE
NORMAL,UNLIT,TREMOR SENSE,DARKNESS,DISADVANTAGE
NORMAL,UNLIT,DETECT INVISIBILITY,BRIGHT,NONE
NORMAL,UNLIT,DETECT INVISIBILITY,DIM,NONE
NORMAL,UNLIT,DETECT INVISIBILITY,UNLIT,NONE
NORMAL,UNLIT,DETECT INVISIBILITY,DARKNESS,NONE
NORMAL,DARKNESS,NORMAL,BRIGHT,ADVANTAGE
NORMAL,DARKNESS,NORMAL,DIM,ADVANTAGE
NORMAL,DARKNESS,NORMAL,UNLIT,NONE
NORMAL,DARKNESS,NORMAL,DARKNESS,NONE
NORMAL,DARKNESS,DARKVISION,BRIGHT,NONE
NORMAL,DARKNESS,DARKVISION,DIM,NONE
NORMAL,DARKNESS,DARKVISION,UNLIT,NONE
NORMAL,DARKNESS,DARKVISION,DARKNESS,DISADVANTAGE
NORMAL,DARKNESS,SUPERIOR DARKVISION,BRIGHT,NONE
NORMAL,DARKNESS,SUPERIOR DARKVISION,DIM,NONE
NORMAL,DARKNESS,SUPERIOR DARKVISION,UNLIT,NONE
NORMAL,DARKNESS,SUPERIOR DARKVISION,DARKNESS,DISADVANTAGE
NORMAL,DARKNESS,TRUE SIGHT,BRIGHT,NONE
NORMAL,DARKNESS,TRUE SIGHT,DIM,NONE
NORMAL,DARKNESS,TRUE SIGHT,UNLIT,NONE
NORMAL,DARKNESS,TRUE SIGHT,DARKNESS,DISADVANTAGE
NORMAL,DARKNESS,BLIND SIGHT,BRIGHT,NONE
NORMAL,DARKNESS,BLIND SIGHT,DIM,NONE
NORMAL,DARKNESS,BLIND SIGHT,UNLIT,DISADVANTAGE
NORMAL,DARKNESS,BLIND SIGHT,DARKNESS,DISADVANTAGE
NORMAL,DARKNESS,TREMOR SENSE,BRIGHT,NONE
NORMAL,DARKNESS,TREMOR SENSE,DIM,NONE
NORMAL,DARKNESS,TREMOR SENSE,UNLIT,DISADVANTAGE
NORMAL,DARKNESS,TREMOR SENSE,DARKNESS,DISADVANTAGE
NORMAL,DARKNESS,DETECT INVISIBILITY,BRIGHT,ADVANTAGE
NORMAL,DARKNESS,DETECT INVISIBILITY,DIM,ADVANTAGE
NORMAL,DARKNESS,DETECT INVISIBILITY,UNLIT,NONE
NORMAL,DARKNESS,DETECT INVISIBILITY,DARKNESS,NONE
DARKVISION,BRIGHT,NORMAL,BRIGHT,NONE
DARKVISION,BRIGHT,NORMAL,DIM,NONE
DARKVISION,BRIGHT,NORMAL,UNLIT,NONE
DARKVISION,BRIGHT,NORMAL,DARKNESS,NONE
DARKVISION,BRIGHT,DARKVISION,BRIGHT,NONE
DARKVISION,BRIGHT,DARKVISION,DIM,NONE
DARKVISION,BRIGHT,DARKVISION,UNLIT,NONE
DARKVISION,BRIGHT,DARKVISION,DARKNESS,NONE
